Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2883 凱基金,18.85,+ 0.55,+3.01%,"118,590","42,917","75,673"
2,2367 燿華,53.50,0.00,0.00%,"156,062","99,917","56,145"
3,8422 可寧衛*,32.55,-2.15,-6.20%,"63,192","18,896","44,296"
4,00878 國泰永續高股息,23.07,+ 0.37,+1.63%,"102,271","61,395","40,875"
5,2887 台新新光金,23.80,+ 0.45,+1.93%,"98,989","59,372","39,617"
6,1802 台玻,44.55,-3.05,-6.41%,"112,930","80,639","32,290"
7,0056 元大高股息,38.03,+ 0.51,+1.36%,"67,478","40,426","27,051"
8,2303 聯電,62.40,+ 0.50,+0.81%,"142,787","121,008","21,779"
9,2515 中工,14.95,+ 1.05,+7.55%,"27,918","8,192","19,726"
10,2464 盟立,74.60,+ 3.10,+4.34%,"40,121","20,688","19,433"
11,2890 永豐金,30.00,+ 0.50,+1.69%,"38,376","19,007","19,370"
12,00881 國泰台灣科技龍頭,34.40,+ 0.77,+2.29%,"34,932","18,229","16,703"
13,0052 富邦科技,43.88,+ 1.17,+2.74%,"50,130","35,439","14,691"
14,00951 台新日本半導體,14.93,+ 1.30,+9.54%,"19,227","4,885","14,343"
15,00990A主動元大AI新經濟,11.54,+ 0.57,+5.20%,"56,653","42,420","14,232"
16,2885 元大金,43.90,+ 1.25,+2.93%,"28,963","14,791","14,172"
17,2301 光寶科,173.50,+ 9.00,+5.47%,"26,286","12,318","13,969"
18,3037 欣興,347.50,+ 7.50,+2.21%,"80,609","68,396","12,213"
19,0050 元大台灣50,73.95,+ 2.05,+2.85%,"122,341","110,883","11,458"
20,2485 兆赫,39.10,-2.35,-5.67%,"67,064","55,934","11,130"
21,00940 元大台灣價值高息,9.63,+ 0.06,+0.63%,"31,512","20,773","10,739"
22,00919 群益台灣精選高息,23.50,+ 0.24,+1.03%,"59,834","49,488","10,346"
23,00882 中信中國高股息,15.98,+ 0.17,+1.08%,"24,154","13,846","10,307"
24,1711 永光,23.80,+ 1.15,+5.08%,"26,029","16,867","9,162"
25,00665L富邦恒生國企正2,11.19,+ 0.27,+2.47%,"24,642","16,480","8,162"
26,7780 大研生醫*,25.85,-1.25,-4.61%,"11,746","3,617","8,129"
27,8021 尖點,198.50,-2.50,-1.24%,"10,360","2,350","8,009"
28,2884 玉山金,33.70,-0.30,-0.88%,"29,884","22,294","7,589"
29,2867 三商壽,7.96,+ 0.01,+0.13%,"17,341","10,015","7,325"
30,3550 聯穎,20.60,+ 1.85,+9.87%,"21,913","14,599","7,314"
31,2882 國泰金,77.20,+ 1.50,+1.98%,"25,357","18,054","7,303"
32,00713 元大台灣高息低波,51.95,+ 0.25,+0.48%,"15,067","7,935","7,132"
33,2489 瑞軒,23.75,+ 1.00,+4.40%,"10,731","3,700","7,032"
34,2103 台橡,16.10,+ 0.65,+4.21%,"9,091","2,461","6,630"
35,00922 國泰台灣領袖50,29.07,+ 0.84,+2.98%,"14,963","8,389","6,574"
36,2892 第一金,29.00,-0.15,-0.51%,"18,568","12,149","6,418"
37,00939 統一台灣高息動能,15.51,+ 0.24,+1.57%,"12,849","6,678","6,171"
38,2812 台中銀,20.50,+ 0.10,+0.49%,"13,549","7,807","5,742"
39,00830 國泰費城半導體,56.55,+ 3.10,+5.80%,"25,493","20,054","5,439"
40,2208 台船,22.65,+ 0.85,+3.90%,"10,284","4,873","5,411"
41,2801 彰銀,20.55,+ 0.05,+0.24%,"13,519","8,263","5,256"
42,00954 中信日本半導體,15.72,+ 1.08,+7.38%,"7,450","2,196","5,254"
43,1326 台化,42.95,+ 3.90,+9.99%,"44,434","39,425","5,009"
44,5876 上海商銀,40.30,+ 0.35,+0.88%,"8,700","3,752","4,948"
45,2441 超豐,89.70,+ 5.90,+7.04%,"10,084","5,246","4,838"
46,2431 聯昌,15.20,-1.25,-7.60%,"9,631","5,164","4,467"
47,4526 東台,35.00,+ 1.15,+3.40%,"10,723","6,721","4,002"
48,4763 材料*-KY,49.70,-2.30,-4.42%,"11,543","7,624","3,919"
49,2330 台積電,"1,815.00",+ 35.00,+1.97%,"40,350","36,484","3,866"
50,00935 野村臺灣新科技50,35.99,+ 1.24,+3.57%,"10,752","7,096","3,656"
