Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00403A主動統一升級50,11.03,+ 0.28,+2.60%,"4,113,352","1,897,091","2,216,260"
2,00992A主動群益科技創新,18.98,+ 0.33,+1.77%,"722,089","314,969","407,120"
3,00878 國泰永續高股息,33.67,+ 0.40,+1.20%,"787,768","383,985","403,782"
4,2887 台新新光金,32.45,-0.15,-0.46%,"1,438,931","1,068,704","370,226"
5,00999A主動野村臺灣高息,11.31,+ 0.12,+1.07%,"445,694","195,532","250,162"
6,00940 元大台灣價值高息,12.70,+ 0.17,+1.36%,"439,105","190,314","248,791"
7,2883 凱基金,30.75,+ 0.55,+1.82%,"1,519,628","1,281,828","237,799"
8,2618 長榮航,42.55,0.00,0.00%,"728,067","495,090","232,977"
9,2344 華邦電,218.50,+ 19.50,+9.80%,"1,031,201","805,882","225,318"
10,1303 南亞,139.00,+ 12.50,+9.88%,"493,025","294,937","198,087"
11,00982A主動群益台灣強棒,24.83,+ 0.69,+2.86%,"364,953","195,624","169,328"
12,00891 中信關鍵半導體,37.34,+ 0.69,+1.88%,"287,860","128,892","158,968"
13,2892 第一金,32.60,+ 0.10,+0.31%,"670,270","516,783","153,486"
14,00680L元大美債20正2,7.11,+ 0.09,+1.28%,"343,113","195,367","147,745"
15,2884 玉山金,35.40,-0.10,-0.28%,"608,570","461,054","147,515"
16,2610 華航,22.00,+ 0.15,+0.69%,"528,467","395,063","133,403"
17,009820元大納斯達克精選,10.12,-0.03,-0.30%,"379,979","257,539","122,440"
18,2886 兆豐金,45.50,+ 0.40,+0.89%,"503,327","382,958","120,368"
19,00673R期元大S＆P原油反1,14.99,+ 0.14,+0.94%,"311,262","191,697","119,565"
20,2408 南亞科,459.50,+ 22.50,+5.15%,"420,946","303,100","117,845"
21,2890 永豐金,39.80,+ 3.45,+9.49%,"573,423","467,082","106,340"
22,2881 富邦金,138.00,+ 2.50,+1.85%,"633,214","528,371","104,842"
23,2317 鴻海,268.50,-3.50,-1.29%,"494,417","389,662","104,754"
24,5880 合庫金,24.75,0.00,0.00%,"268,793","166,563","102,230"
25,0056 元大高股息,52.80,+ 0.85,+1.64%,"363,983","267,033","96,950"
26,2834 臺企銀,17.50,-0.15,-0.85%,"413,956","319,103","94,852"
27,2801 彰銀,22.85,-0.10,-0.44%,"377,614","291,362","86,252"
28,2337 旺宏,169.00,+ 7.50,+4.64%,"355,879","271,089","84,790"
29,2882 國泰金,115.50,+ 2.00,+1.76%,"481,847","397,130","84,716"
30,3231 緯創,161.50,-1.00,-0.62%,"412,296","328,138","84,158"
31,00713 元大台灣高息低波,61.70,+ 0.65,+1.06%,"159,332","80,685","78,647"
32,00900 富邦特選高股息30,19.58,+ 0.11,+0.56%,"128,412","50,007","78,405"
33,00929 復華台灣科技優息,31.10,+ 0.53,+1.73%,"280,783","203,431","77,351"
34,1605 華新,39.00,+ 0.30,+0.78%,"319,784","248,491","71,293"
35,2891 中信金,71.90,+ 0.90,+1.27%,"575,112","504,428","70,683"
36,2867 三商壽,8.74,+ 0.12,+1.39%,"220,608","151,976","68,631"
37,00400A主動國泰動能高息,15.12,+ 0.25,+1.68%,"282,524","215,499","67,024"
38,2845 遠東銀,12.95,-0.35,-2.63%,"182,749","124,418","58,330"
39,1326 台化,54.20,+ 0.50,+0.93%,"200,087","142,184","57,903"
40,2880 華南金,38.35,+ 0.25,+0.66%,"592,367","537,851","54,516"
41,00993A主動安聯台灣,14.29,+ 0.30,+2.14%,"117,776","63,613","54,163"
42,00688L國泰20年美債正2,7.09,+ 0.10,+1.43%,"132,611","80,499","52,112"
43,1802 台玻,71.30,+ 2.00,+2.89%,"292,160","241,137","51,022"
44,00953B群益優選非投等債,9.61,0.00,0.00%,"317,684","269,430","48,254"
45,00997A主動群益美國增長,14.43,+ 0.43,+3.07%,"193,033","145,087","47,946"
46,00915 凱基優選高股息30,32.28,+ 0.56,+1.77%,"89,358","42,860","46,497"
47,6770 力積電,74.20,+ 4.00,+5.70%,"905,188","864,329","40,859"
48,00980A主動野村臺灣優選,25.05,+ 0.36,+1.46%,"126,111","87,412","38,699"
49,00983A主動中信ARK創新,11.92,+ 0.04,+0.34%,"77,218","38,548","38,669"
50,00939 統一台灣高息動能,21.95,+ 0.23,+1.06%,"74,164","36,894","37,270"
