Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,0050 元大台灣50,103.85,+ 1.35,+1.32%,"152,568","293,748","-141,180"
2,00632R元大台灣50反1,10.39,-0.09,-0.86%,"80,166","209,245","-129,078"
3,0056 元大高股息,50.95,+ 1.40,+2.83%,"68,397","158,740","-90,343"
4,00406A主動中信台灣收益,9.46,+ 0.29,+3.16%,"43,012","125,644","-82,632"
5,3481 群創,52.50,+ 1.80,+3.55%,"80,473","155,076","-74,603"
6,00991A主動復華未來50,17.34,+ 0.63,+3.77%,"80,135","126,820","-46,685"
7,6770 力積電,67.90,+ 2.80,+4.30%,"34,780","80,494","-45,713"
8,2303 聯電,139.00,+ 4.50,+3.35%,"95,368","138,768","-43,400"
9,00929 復華台灣科技優息,29.00,+ 0.73,+2.58%,"30,119","64,242","-34,122"
10,8150 南茂,100.00,-4.00,-3.85%,"15,516","45,156","-29,639"
11,009816凱基台灣TOP50,15.04,+ 0.28,+1.90%,"147,921","170,661","-22,739"
12,00984D主動聯博全球非投,10.25,+ 0.01,+0.10%,"26,233","48,949","-22,716"
13,1718 中纖,12.35,-0.85,-6.44%,"16,317","38,579","-22,261"
14,2409 友達,25.80,+ 0.20,+0.78%,"83,475","103,795","-20,320"
15,00673R期元大S＆P原油反1,12.77,-0.47,-3.55%,"15,682","35,188","-19,506"
16,00403A主動統一升級50,9.99,+ 0.24,+2.46%,"341,232","358,933","-17,701"
17,2885 元大金,63.10,+ 1.80,+2.94%,"81,412","98,397","-16,985"
18,2887 台新新光金,34.60,-0.10,-0.29%,"128,226","142,480","-14,254"
19,9904 寶成,24.25,-0.15,-0.61%,"22,370","33,954","-11,583"
20,00664R國泰臺灣加權反1,1.69,0.00,0.00%,"40,949","52,423","-11,474"
21,2382 廣達,329.00,+ 5.00,+1.54%,"24,255","35,416","-11,161"
22,1102 亞泥,32.45,-0.70,-2.11%,"19,269","29,271","-10,002"
23,2634 漢翔,64.40,-7.10,-9.93%,"58,508","68,114","-9,606"
24,2105 正新,31.25,-1.00,-3.10%,"12,215","20,982","-8,767"
25,1314 中石化,8.42,-0.03,-0.36%,"27,221","33,912","-6,690"
26,1717 長興,62.60,-0.60,-0.95%,"4,536","10,716","-6,179"
27,2515 中工,12.20,-0.10,-0.81%,"12,979","18,715","-5,736"
28,00676R富邦臺灣加權反1,5.72,-0.05,-0.87%,"12,210","17,889","-5,678"
29,6226 光鼎,19.10,+ 0.80,+4.37%,"2,870","8,371","-5,501"
30,2352 佳世達,30.40,-0.25,-0.82%,"7,641","12,569","-4,928"
31,00686R群益臺灣加權反1,1.03,-0.01,-0.96%,"18,269","22,796","-4,526"
32,00885 富邦越南,17.52,-0.30,-1.68%,"6,978","11,353","-4,375"
33,2332 友訊,23.90,+ 1.60,+7.17%,"17,963","22,286","-4,322"
34,1301 台塑,63.50,+ 0.50,+0.79%,"24,163","28,255","-4,092"
35,1714 和桐,15.70,+ 0.50,+3.29%,"13,616","17,573","-3,957"
36,8028 昇陽半導體,308.00,+ 3.00,+0.98%,"3,380","7,095","-3,714"
37,1303 南亞,208.00,+ 12.50,+6.39%,"52,919","56,531","-3,611"
38,2645 長榮航太,195.00,-20.00,-9.30%,"4,734","8,132","-3,397"
39,00935 野村臺灣新科技50,57.00,+ 1.60,+2.89%,"16,665","19,909","-3,243"
40,2481 強茂,157.50,+ 14.00,+9.76%,"13,897","17,099","-3,202"
41,2812 台中銀,20.45,0.00,0.00%,"43,744","46,849","-3,104"
42,1608 華榮,30.45,+ 0.65,+2.18%,"2,455","5,375","-2,920"
43,4989 榮科,72.50,+ 3.50,+5.07%,"4,661","7,389","-2,728"
44,2484 希華,72.10,+ 0.60,+0.84%,"4,424","7,067","-2,643"
45,2327 國巨*,703.00,+ 33.00,+4.93%,"29,651","32,221","-2,570"
46,2313 華通,208.00,-2.00,-0.95%,"13,733","16,181","-2,448"
47,1722 台肥,46.50,-0.60,-1.27%,"2,670","5,117","-2,446"
48,2630 亞航,53.20,-5.70,-9.68%,"6,905","9,188","-2,282"
49,1802 台玻,55.60,+ 1.50,+2.77%,"7,853","9,991","-2,138"
50,8926 台汽電,64.70,-0.50,-0.77%,"3,034","5,154","-2,119"
