Rank,Stock,Price,Change,ChangePercent,NetSell
1,2303 聯電,121.00,+ 11.00,+10.00%,"-21,658"
2,1301 台塑,55.00,+ 1.00,+1.85%,"-14,589"
3,3481 群創,45.50,+ 4.10,+9.90%,"-12,505"
4,1718 中纖,8.73,+ 0.09,+1.04%,"-11,380"
5,6505 台塑化,70.80,-0.80,-1.12%,"-9,623"
6,6116 彩晶,12.45,+ 0.65,+5.51%,"-8,933"
7,1326 台化,57.40,+ 1.00,+1.77%,"-8,349"
8,2481 強茂,117.50,+ 10.50,+9.81%,"-7,867"
9,1714 和桐,13.05,+ 0.45,+3.57%,"-6,655"
10,2344 華邦電,130.00,+ 11.50,+9.70%,"-6,622"
11,2308 台達電,"1,640.00",+ 110.00,+7.19%,"-6,105"
12,6165 浪凡,48.55,+ 1.25,+2.64%,"-5,654"
13,00940 元大台灣價值高息,12.09,+ 0.57,+4.95%,"-4,092"
14,2382 廣達,291.50,+ 12.50,+4.48%,"-4,083"
15,6166 凌華,113.00,-12.50,-9.96%,"-4,045"
16,3035 智原,149.50,-1.00,-0.66%,"-3,969"
17,1409 新纖,20.75,+ 0.55,+2.72%,"-3,947"
18,1802 台玻,45.70,+ 3.10,+7.28%,"-3,938"
19,6770 力積電,54.50,+ 4.95,+9.99%,"-3,878"
20,2369 菱生,29.40,+ 2.50,+9.29%,"-3,745"
21,3711 日月光投控,555.00,+ 50.00,+9.90%,"-3,649"
22,2337 旺宏,100.50,+ 8.70,+9.48%,"-3,527"
23,2426 鼎元,50.30,+ 2.85,+6.01%,"-3,146"
24,3036 文曄,196.50,+ 13.00,+7.08%,"-3,120"
25,6271 同欣電,160.00,+ 11.00,+7.38%,"-3,096"
26,2441 超豐,100.50,+ 6.90,+7.37%,"-3,070"
27,6176 瑞儀,82.30,-2.50,-2.95%,"-3,051"
28,00830 國泰費城半導體,84.00,+ 8.15,+10.74%,"-3,031"
29,1303 南亞,159.50,+ 14.50,+10.00%,"-2,949"
30,2379 瑞昱,683.00,-14.00,-2.01%,"-2,786"
31,1710 東聯,12.90,+ 0.20,+1.57%,"-2,702"
32,1210 大成,56.00,-1.40,-2.44%,"-2,643"
33,3042 晶技,149.50,+ 12.50,+9.12%,"-2,575"
34,00685L群益臺灣加權正2,10.83,+ 1.67,+18.23%,"-2,485"
35,2408 南亞科,360.50,+ 32.50,+9.91%,"-2,483"
36,8261 富鼎,163.50,+ 5.50,+3.48%,"-2,441"
37,2484 希華,61.10,+ 3.50,+6.08%,"-2,429"
38,1434 福懋,17.25,-0.10,-0.58%,"-2,421"
39,8926 台汽電,59.00,+ 0.20,+0.34%,"-2,302"
40,3605 宏致,79.00,+ 0.70,+0.89%,"-2,259"
41,2511 太子,8.60,+ 0.38,+4.62%,"-2,236"
42,2305 全友,30.10,+ 2.55,+9.26%,"-2,082"
43,2478 大毅,108.50,+ 8.60,+8.61%,"-2,082"
44,009820元大納斯達克精選,9.47,+ 0.51,+5.69%,"-2,033"
45,2360 致茂,"2,100.00",+ 190.00,+9.95%,"-1,945"
46,2634 漢翔,61.90,+ 3.30,+5.63%,"-1,902"
47,00900 富邦特選高股息30,18.24,+ 0.69,+3.93%,"-1,888"
48,00985B群益ESG投等債0-5,10.43,+ 0.02,+0.19%,"-1,867"
49,2913 農林,10.95,-0.10,-0.90%,"-1,840"
50,2027 大成鋼,43.20,-0.50,-1.14%,"-1,824"
