Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2303 聯電,118.50,+ 0.50,+0.42%,"21,507,335","44,740,294","-23,232,958"
2,1303 南亞,170.50,+ 5.50,+3.33%,"15,661,862","24,409,586","-8,747,724"
3,4958 臻鼎-KY,444.00,+ 22.50,+5.34%,"15,618,174","23,620,644","-8,002,469"
4,7769 鴻勁,"6,190.00",-235.00,-3.66%,"5,744,198","13,065,213","-7,321,015"
5,2383 台光電,"5,140.00",+ 160.00,+3.21%,"14,831,829","21,241,674","-6,409,845"
6,0050 元大台灣50,100.65,-1.35,-1.32%,"12,269,605","17,265,510","-4,995,904"
7,00981A主動統一台股增長,27.58,+ 0.47,+1.73%,"7,491,153","11,728,206","-4,237,052"
8,2317 鴻海,250.00,-3.00,-1.19%,"10,291,326","13,128,239","-2,836,913"
9,00631L元大台灣50正2,32.15,-0.47,-1.44%,"7,842,130","9,950,911","-2,108,780"
10,3665 貿聯-KY,"2,300.00",+ 205.00,+9.79%,"8,854,887","10,785,231","-1,930,343"
11,00991A主動復華未來50,16.33,+ 0.35,+2.19%,"3,030,387","4,593,838","-1,563,451"
12,00403A主動統一升級50,9.54,+ 0.15,+1.60%,"1,965,391","3,303,864","-1,338,473"
13,6669 緯穎,"6,205.00",+ 280.00,+4.73%,"18,234,879","19,512,006","-1,277,126"
14,2382 廣達,300.50,+ 4.00,+1.35%,"7,447,912","8,667,039","-1,219,127"
15,00410A主動永豐科技趨勢,10.41,+ 0.31,+3.07%,"392,481","1,420,671","-1,028,189"
16,2379 瑞昱,723.00,+ 19.00,+2.70%,"2,957,900","3,972,328","-1,014,427"
17,2404 漢唐,"1,110.00",+ 5.00,+0.45%,"1,941,119","2,937,558","-996,438"
18,6139 亞翔,786.00,+ 21.00,+2.75%,"3,231,758","4,220,782","-989,023"
19,009816凱基台灣TOP50,14.56,-0.05,-0.34%,"2,131,235","3,117,649","-986,414"
20,3661 世芯-KY,"3,390.00",+ 140.00,+4.31%,"5,364,832","6,326,838","-962,005"
21,3481 群創,47.80,+ 2.00,+4.37%,"16,242,834","17,201,598","-958,763"
22,3533 嘉澤,"2,010.00",+ 40.00,+2.03%,"1,692,562","2,561,181","-868,619"
23,6515 穎崴,"6,575.00",+ 325.00,+5.20%,"1,962,028","2,824,780","-862,751"
24,00935 野村臺灣新科技50,54.05,-0.35,-0.64%,"694,845","1,537,134","-842,288"
25,6505 台塑化,68.20,+ 0.50,+0.74%,"1,349,184","2,094,571","-745,386"
26,2883 凱基金,30.55,+ 0.15,+0.49%,"1,133,188","1,767,577","-634,389"
27,6770 力積電,60.10,+ 5.40,+9.87%,"10,831,833","11,461,857","-630,023"
28,2451 創見,284.50,+ 3.50,+1.25%,"2,689,157","3,289,266","-600,109"
29,8150 南茂,82.50,+ 4.90,+6.31%,"3,195,626","3,748,512","-552,886"
30,00881 國泰台灣科技龍頭,50.90,+ 0.05,+0.10%,"1,805,723","2,326,871","-521,147"
31,2472 立隆電,236.00,+ 5.50,+2.39%,"780,350","1,273,035","-492,684"
32,00685L群益臺灣加權正2,10.49,-0.07,-0.66%,"2,722,845","3,214,798","-491,953"
33,1560 中砂,675.00,+ 4.00,+0.60%,"847,790","1,309,246","-461,456"
34,6414 樺漢,436.50,-1.00,-0.23%,"879,559","1,334,821","-455,261"
35,2603 長榮,206.00,-1.50,-0.72%,"1,194,296","1,644,088","-449,792"
36,3035 智原,166.00,+ 6.00,+3.75%,"1,043,750","1,493,495","-449,745"
37,2467 志聖,503.00,+ 5.50,+1.11%,"528,530","966,066","-437,535"
38,2359 所羅門,132.00,-0.50,-0.38%,"574,316","990,275","-415,958"
39,3583 辛耘,699.00,+ 29.00,+4.33%,"568,563","976,796","-408,233"
40,00405A主動富邦台灣龍耀,7.90,+ 0.24,+3.13%,"970,240","1,369,080","-398,840"
41,00919 群益台灣精選高息,29.51,+ 0.06,+0.20%,"1,290,552","1,686,029","-395,476"
42,6415 矽力*-KY,424.00,-0.50,-0.12%,"2,508,291","2,892,099","-383,808"
43,1101 台泥,23.55,-0.25,-1.05%,"597,866","980,513","-382,646"
44,2027 大成鋼,44.25,-0.20,-0.45%,"537,516","913,656","-376,139"
45,3532 台勝科,291.50,+ 26.50,+10.00%,"164,866","539,839","-374,972"
46,00878 國泰永續高股息,32.57,0.00,0.00%,"1,864,958","2,225,832","-360,874"
47,006208富邦台50,230.15,-2.75,-1.18%,"550,302","882,862","-332,559"
48,2233 宇隆,204.00,+ 10.50,+5.43%,"134,244","462,714","-328,469"
49,8271 宇瞻,224.00,+ 4.50,+2.05%,"1,665,161","1,990,296","-325,135"
50,2312 金寶,32.30,+ 0.55,+1.73%,"434,419","758,040","-323,620"
