Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00981A主動統一台股增長,28.84,+ 0.38,+1.34%,"395,999"
2,00991A主動復華未來50,17.16,+ 0.27,+1.60%,"315,316"
3,00632R元大台灣50反1,10.33,+ 0.03,+0.29%,"230,936"
4,2618 長榮航,43.25,-0.55,-1.26%,"203,535"
5,009816凱基台灣TOP50,14.96,-0.04,-0.27%,"168,643"
6,2610 華航,22.15,-0.45,-1.99%,"148,801"
7,00992A主動群益科技創新,16.93,+ 0.38,+2.30%,"139,955"
8,00631L元大台灣50正2,33.85,-0.30,-0.88%,"119,585"
9,3231 緯創,189.50,-3.50,-1.81%,"118,108"
10,2002 中鋼,19.00,+ 0.10,+0.53%,"93,299"
11,5880 合庫金,26.10,-0.50,-1.88%,"87,861"
12,2883 凱基金,30.60,-1.00,-3.16%,"79,145"
13,2867 三商壽,9.77,0.00,0.00%,"74,998"
14,1216 統一,73.00,-0.20,-0.27%,"74,701"
15,2890 永豐金,38.70,-0.85,-2.15%,"68,385"
16,1402 遠東新,27.00,+ 0.30,+1.12%,"66,814"
17,2317 鴻海,264.50,+ 6.00,+2.32%,"60,844"
18,2324 仁寶,37.30,+ 0.35,+0.95%,"59,125"
19,2412 中華電,137.00,0.00,0.00%,"56,552"
20,2891 中信金,64.60,-1.40,-2.12%,"56,131"
21,2887 台新新光金,34.50,-1.20,-3.36%,"54,770"
22,00405A主動富邦台灣龍耀,8.25,+ 0.20,+2.48%,"54,163"
23,2884 玉山金,37.95,-0.15,-0.39%,"53,267"
24,00400A主動國泰動能高息,13.89,+ 0.20,+1.46%,"51,952"
25,5876 上海商銀,43.45,-0.70,-1.59%,"48,822"
26,2301 光寶科,252.50,+ 3.50,+1.41%,"44,347"
27,4904 遠傳,102.00,+ 1.00,+0.99%,"43,071"
28,0052 富邦科技,60.45,-0.20,-0.33%,"42,923"
29,3481 群創,50.00,+ 2.20,+4.60%,"33,643"
30,3045 台灣大,110.50,0.00,0.00%,"32,361"
31,2027 大成鋼,46.10,+ 1.75,+3.95%,"30,554"
32,2356 英業達,65.50,-0.20,-0.30%,"29,010"
33,2408 南亞科,459.00,+ 14.00,+3.15%,"27,706"
34,0056 元大高股息,51.30,-0.15,-0.29%,"27,107"
35,00999A主動野村臺灣高息,10.88,+ 0.13,+1.21%,"26,157"
36,2313 華通,220.50,+ 2.50,+1.15%,"25,753"
37,009819中信數據及電力,10.30,-0.12,-1.15%,"25,068"
38,00403A主動統一升級50,9.91,+ 0.10,+1.02%,"25,066"
39,2845 遠東銀,13.15,-0.15,-1.13%,"23,347"
40,3706 神達,92.90,+ 1.00,+1.09%,"22,098"
41,00980A主動野村臺灣優選,23.73,+ 0.42,+1.80%,"21,575"
42,00982A主動群益台灣強棒,22.71,+ 0.38,+1.70%,"21,503"
43,00995A主動中信台灣卓越,16.84,+ 0.22,+1.32%,"21,480"
44,4938 和碩,88.00,-1.50,-1.68%,"20,604"
45,1101 台泥,24.35,+ 0.30,+1.25%,"20,173"
46,2615 萬海,84.30,-1.10,-1.29%,"19,867"
47,00712 復華富時不動產,8.80,-0.05,-0.56%,"19,766"
48,2609 陽明,50.40,-0.20,-0.40%,"19,729"
49,009821野村稀土關鍵資源,14.12,+ 0.41,+2.99%,"17,373"
50,00993A主動安聯台灣,12.93,+ 0.12,+0.94%,"17,236"
