Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00403A主動統一升級50,10.22,-0.14,-1.35%,"212,129","429,928","-217,799"
2,2303 聯電,129.00,-1.00,-0.77%,"217,808","325,936","-108,128"
3,1312 國喬,15.55,+ 1.40,+9.89%,"108,411","212,554","-104,143"
4,00953B群益優選非投等債,9.64,+ 0.01,+0.10%,"40,927","102,908","-61,981"
5,00407A主動凱基台灣,9.76,-0.11,-1.11%,"42,938","94,839","-51,902"
6,2634 漢翔,66.90,-0.90,-1.33%,"17,759","68,007","-50,248"
7,3481 群創,49.85,+ 1.25,+2.57%,"264,345","314,569","-50,224"
8,1802 台玻,60.80,0.00,0.00%,"28,751","59,327","-30,576"
9,2886 兆豐金,48.55,+ 0.35,+0.73%,"33,911","62,206","-28,294"
10,2301 光寶科,305.00,-12.50,-3.94%,"26,246","50,425","-24,178"
11,3049 精金,13.55,+ 0.05,+0.37%,"31,545","54,731","-23,186"
12,3037 欣興,999.00,-111.00,-10.00%,"5,892","28,941","-23,049"
13,8033 雷虎,187.00,-2.50,-1.32%,"4,731","25,692","-20,960"
14,2481 強茂,151.00,-3.00,-1.95%,"22,083","42,606","-20,523"
15,8039 台虹,327.00,-16.50,-4.80%,"38,784","58,750","-19,966"
16,2313 華通,248.50,+ 7.50,+3.11%,"67,617","87,192","-19,574"
17,1303 南亞,242.50,+ 22.00,+9.98%,"173,676","192,491","-18,815"
18,2449 京元電子,257.00,-13.00,-4.81%,"37,673","56,354","-18,681"
19,2375 凱美,127.00,-6.00,-4.51%,"5,264","19,480","-14,216"
20,00671R富邦NASDAQ反1,2.44,+ 0.01,+0.41%,"3,006","14,083","-11,078"
21,6116 彩晶,14.50,0.00,0.00%,"23,352","34,401","-11,048"
22,00991B貝萊德A級公司債,14.84,+ 0.03,+0.20%,138,"11,163","-11,025"
23,3376 新日興,214.00,-3.00,-1.38%,"7,589","18,185","-10,595"
24,00984D主動聯博全球非投,10.01,0.00,0.00%,"40,590","51,133","-10,543"
25,1709 和益,33.45,-2.70,-7.47%,"12,717","22,958","-10,242"
26,2464 盟立,180.00,-10.00,-5.26%,"15,626","25,845","-10,219"
27,6239 力成,277.00,-10.00,-3.48%,"15,733","25,799","-10,066"
28,4989 榮科,64.70,-3.50,-5.13%,"5,653","15,472","-9,819"
29,2371 大同,28.05,-0.45,-1.58%,"8,630","18,420","-9,789"
30,3090 日電貿,175.00,+ 1.00,+0.57%,"9,615","19,372","-9,757"
31,2327 國巨*,545.00,-52.00,-8.71%,"71,751","81,106","-9,355"
32,0050 元大台灣50,106.25,-0.70,-0.65%,"69,133","78,159","-9,026"
33,2484 希華,74.00,-2.10,-2.76%,"6,596","15,369","-8,773"
34,1504 東元,72.50,-0.10,-0.14%,"4,706","13,064","-8,358"
35,8261 富鼎,178.50,-9.00,-4.80%,"2,779","11,124","-8,345"
36,6213 聯茂,548.00,-34.00,-5.84%,"17,724","25,939","-8,214"
37,1409 新纖,24.60,+ 0.30,+1.23%,"11,611","19,584","-7,973"
38,2478 大毅,123.50,-6.00,-4.63%,"4,272","11,981","-7,709"
39,6668 中揚光,44.00,-0.60,-1.35%,"3,778","10,978","-7,200"
40,8021 尖點,435.00,-19.00,-4.19%,"9,134","16,138","-7,004"
41,3094 聯傑,40.50,-0.30,-0.74%,"4,251","11,057","-6,806"
42,1316 上曜,10.95,-0.20,-1.79%,"2,945","9,614","-6,670"
43,00664R國泰臺灣加權反1,1.61,+ 0.01,+0.63%,"13,669","20,321","-6,652"
44,00405A主動富邦台灣龍耀,8.75,-0.03,-0.34%,"69,916","76,542","-6,625"
45,8150 南茂,89.10,-1.40,-1.55%,"15,778","22,269","-6,491"
46,3532 台勝科,379.00,-20.00,-5.01%,"4,415","10,690","-6,274"
47,4927 泰鼎-KY,40.35,-2.65,-6.16%,"5,683","11,802","-6,119"
48,9945 潤泰新,27.80,-0.20,-0.71%,"4,470","10,360","-5,890"
49,009820元大納斯達克精選,9.76,-0.07,-0.71%,"2,393","7,952","-5,559"
50,2645 長榮航太,173.00,-1.00,-0.57%,"1,761","7,314","-5,553"
