BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-松山,0039003800310070,Buy,4760勤凱,"7271","7479","208"
元大證券,9800,元大-松山,0039003800310070,Buy,2345智邦,"5966","10920","4954"
元大證券,9800,元大-松山,0039003800310070,Buy,2330台積電,"4131","5828","1697"
元大證券,9800,元大-松山,0039003800310070,Buy,0050元大台灣50,"3245","3621","376"
元大證券,9800,元大-松山,0039003800310070,Buy,5439高技,"3170","3177","7"
元大證券,9800,元大-松山,0039003800310070,Buy,8039台虹,"2696","4146","1450"
元大證券,9800,元大-松山,0039003800310070,Buy,2449京元電子,"2537","5868","3331"
元大證券,9800,元大-松山,0039003800310070,Buy,1303南亞,"2496","6672","4176"
元大證券,9800,元大-松山,0039003800310070,Buy,4749新應材,"2411","2411","0"
元大證券,9800,元大-松山,0039003800310070,Buy,3443創意,"2197","4322","2125"
元大證券,9800,元大-松山,0039003800310070,Buy,6531愛普*,"2051","2762","711"
元大證券,9800,元大-松山,0039003800310070,Buy,1802台玻,"1917","3131","1214"
元大證券,9800,元大-松山,0039003800310070,Buy,3324雙鴻,"1885","1885","0"
元大證券,9800,元大-松山,0039003800310070,Buy,6831邁科,"1809","1809","0"
元大證券,9800,元大-松山,0039003800310070,Buy,6640均華,"1785","1785","0"
元大證券,9800,元大-松山,0039003800310070,Buy,6805富世達,"1733","3301","1568"
元大證券,9800,元大-松山,0039003800310070,Buy,2408南亞科,"1672","13833","12161"
元大證券,9800,元大-松山,0039003800310070,Buy,5475德宏,"1646","1949","303"
元大證券,9800,元大-松山,0039003800310070,Buy,2360致茂,"1599","1599","0"
元大證券,9800,元大-松山,0039003800310070,Buy,6561是方,"1561","1561","0"
元大證券,9800,元大-松山,0039003800310070,Buy,00940元大台灣價值高息,"1517","1517","0"
元大證券,9800,元大-松山,0039003800310070,Buy,3260威剛,"1509","4140","2631"
元大證券,9800,元大-松山,0039003800310070,Buy,3264欣銓,"1389","1476","87"
元大證券,9800,元大-松山,0039003800310070,Buy,6739竹陞科技,"1361","2664","1303"
元大證券,9800,元大-松山,0039003800310070,Buy,3211順達,"1247","9916","8669"
元大證券,9800,元大-松山,0039003800310070,Buy,6191精成科,"1112","1835","723"
元大證券,9800,元大-松山,0039003800310070,Buy,8104錸寶,"1078","1640","562"
元大證券,9800,元大-松山,0039003800310070,Buy,8046南電,"1073","1595","522"
元大證券,9800,元大-松山,0039003800310070,Buy,6719力智,"1031","1031","0"
元大證券,9800,元大-松山,0039003800310070,Buy,2609陽明,"952","1217","265"
元大證券,9800,元大-松山,0039003800310070,Buy,8021尖點,"947","1352","405"
元大證券,9800,元大-松山,0039003800310070,Buy,5371中光電,"934","1128","194"
元大證券,9800,元大-松山,0039003800310070,Buy,3293鈊象,"904","904","0"
元大證券,9800,元大-松山,0039003800310070,Buy,3454晶睿,"891","989","98"
元大證券,9800,元大-松山,0039003800310070,Buy,3363上詮,"884","2952","2068"
元大證券,9800,元大-松山,0039003800310070,Buy,5483中美晶,"841","1053","212"
元大證券,9800,元大-松山,0039003800310070,Buy,3441聯一光,"781","781","0"
元大證券,9800,元大-松山,0039003800310070,Buy,2614東森,"752","752","0"
元大證券,9800,元大-松山,0039003800310070,Buy,6127九豪,"748","980","232"
元大證券,9800,元大-松山,0039003800310070,Buy,3017奇鋐,"731","739","8"
元大證券,9800,元大-松山,0039003800310070,Buy,6121新普,"690","690","0"
元大證券,9800,元大-松山,0039003800310070,Buy,3019亞光,"687","1439","752"
元大證券,9800,元大-松山,0039003800310070,Buy,2059川湖,"609","696","87"
元大證券,9800,元大-松山,0039003800310070,Buy,00980A主動野村臺灣優選,"600","760","160"
元大證券,9800,元大-松山,0039003800310070,Buy,2328廣宇,"596","1133","537"
元大證券,9800,元大-松山,0039003800310070,Buy,3236千如,"588","757","169"
元大證券,9800,元大-松山,0039003800310070,Buy,3025星通,"588","588","0"
元大證券,9800,元大-松山,0039003800310070,Buy,5340建榮,"578","1093","515"
元大證券,9800,元大-松山,0039003800310070,Buy,8150南茂,"572","616","44"
元大證券,9800,元大-松山,0039003800310070,Buy,2428興勤,"571","1303","732"
元大證券,9800,元大-松山,0039003800310070,Sell,2344華邦電,"-7709","4835","12544"
元大證券,9800,元大-松山,0039003800310070,Sell,2382廣達,"-6311","152","6463"
元大證券,9800,元大-松山,0039003800310070,Sell,6290良維,"-5271","17","5288"
元大證券,9800,元大-松山,0039003800310070,Sell,2303聯電,"-4078","0","4078"
元大證券,9800,元大-松山,0039003800310070,Sell,2409友達,"-2879","154","3033"
元大證券,9800,元大-松山,0039003800310070,Sell,00905FT臺灣Smart,"-2605","0","2605"
元大證券,9800,元大-松山,0039003800310070,Sell,6282康舒,"-2211","188","2399"
元大證券,9800,元大-松山,0039003800310070,Sell,8054安國,"-2018","1400","3418"
元大證券,9800,元大-松山,0039003800310070,Sell,4931新盛力,"-1906","844","2750"
元大證券,9800,元大-松山,0039003800310070,Sell,2881富邦金,"-1809","0","1809"
元大證券,9800,元大-松山,0039003800310070,Sell,6919康霈*,"-1614","2477","4091"
元大證券,9800,元大-松山,0039003800310070,Sell,2603長榮,"-1301","1","1302"
元大證券,9800,元大-松山,0039003800310070,Sell,2454聯發科,"-1291","7181","8472"
元大證券,9800,元大-松山,0039003800310070,Sell,3231緯創,"-1254","639","1893"
元大證券,9800,元大-松山,0039003800310070,Sell,2882國泰金,"-1241","138","1379"
元大證券,9800,元大-松山,0039003800310070,Sell,1605華新,"-1221","1084","2305"
元大證券,9800,元大-松山,0039003800310070,Sell,3450聯鈞,"-1108","1086","2194"
元大證券,9800,元大-松山,0039003800310070,Sell,6706惠特,"-980","1076","2056"
元大證券,9800,元大-松山,0039003800310070,Sell,3163波若威,"-965","3518","4483"
元大證券,9800,元大-松山,0039003800310070,Sell,3481群創,"-926","0","926"
元大證券,9800,元大-松山,0039003800310070,Sell,3189景碩,"-898","5486","6384"
元大證券,9800,元大-松山,0039003800310070,Sell,2009第一銅,"-877","231","1108"
元大證券,9800,元大-松山,0039003800310070,Sell,3023信邦,"-870","0","870"
元大證券,9800,元大-松山,0039003800310070,Sell,6863永道-KY,"-822","231","1053"
元大證券,9800,元大-松山,0039003800310070,Sell,6770力積電,"-821","1211","2032"
元大證券,9800,元大-松山,0039003800310070,Sell,7750新代,"-818","0","818"
