BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3450聯鈞,"70403","70926","523"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6442光聖,"29022","29022","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,1303南亞,"11866","17226","5360"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,4966譜瑞-KY,"7667","7667","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2330台積電,"4824","4968","144"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3706神達,"4109","6211","2102"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2345智邦,"3929","3939","10"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3019亞光,"3760","3760","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2882國泰金,"3289","4122","833"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3030德律,"3034","4542","1508"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6409旭隼,"2216","2216","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6534正瀚-創,"1805","1805","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,4931新盛力,"1785","7307","5522"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2449京元電子,"1727","2257","530"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3017奇鋐,"1357","1357","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,8046南電,"1349","1349","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2376技嘉,"1230","1230","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6584南俊國際,"1191","1910","719"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,4557永新-KY,"946","1025","79"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,8039台虹,"899","2528","1629"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6274台燿,"847","3330","2483"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,5876上海商銀,"827","827","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2368金像電,"707","3035","2328"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,5398慕康生醫,"692","692","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,00885富邦越南,"691","691","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,5371中光電,"662","662","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,4971IET-KY,"623","844","221"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3515華擎,"600","600","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,1301台塑,"564","564","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,00662富邦NASDAQ,"519","519","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2236百達-KY,"498","498","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,4979華星光,"487","964","477"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,1802台玻,"463","949","486"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,0050元大台灣50,"462","525","63"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,5289宜鼎,"457","457","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6415矽力*-KY,"441","665","224"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,8454富邦媒,"428","428","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3376新日興,"419","419","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2801彰銀,"408","408","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3363上詮,"397","1230","833"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,6290良維,"341","341","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,3321同泰,"339","339","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,5439高技,"336","336","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2408南亞科,"314","6980","6666"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,8111立碁,"307","893","586"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,1795美時,"301","301","0"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2881富邦金,"282","375","93"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,00981A主動統一台股增長,"255","414","159"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,2406國碩,"253","394","141"
兆豐證券,7000,兆豐-大安,003700300030006a,Buy,1101台泥,"228","256","28"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2327國巨*,"-28315","9206","37521"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,3189景碩,"-20618","308","20926"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,8996高力,"-11048","0","11048"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,1560中砂,"-6583","335","6918"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,6163華電網,"-6552","91","6643"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,3231緯創,"-6398","2769","9167"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2454聯發科,"-5589","1554","7143"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2892第一金,"-5543","2","5545"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2409友達,"-4286","0","4286"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,6770力積電,"-3243","229","3472"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2491吉祥全,"-3102","7522","10624"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2637慧洋-KY,"-2726","5916","8642"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2303聯電,"-2302","0","2302"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,00919群益台灣精選高息,"-2230","44","2274"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,1519華城,"-2134","0","2134"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,4164承業醫,"-2064","0","2064"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2344華邦電,"-1305","1123","2428"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,4991環宇-KY,"-1297","0","1297"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,2367燿華,"-979","0","979"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,6789采鈺,"-863","0","863"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,6670復盛應用,"-771","0","771"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,3438類比科,"-736","0","736"
兆豐證券,7000,兆豐-大安,003700300030006a,Sell,6187萬潤,"-710","0","710"
