BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
港商野村,1560,港商野村,1560,Buy,2303聯電,"280068","280788","720"
港商野村,1560,港商野村,1560,Buy,3008大立光,"185695","185695","0"
港商野村,1560,港商野村,1560,Buy,2408南亞科,"166966","296688","129722"
港商野村,1560,港商野村,1560,Buy,8054安國,"147635","148105","470"
港商野村,1560,港商野村,1560,Buy,2317鴻海,"133013","189566","56553"
港商野村,1560,港商野村,1560,Buy,5274信驊,"103465","103465","0"
港商野村,1560,港商野村,1560,Buy,2344華邦電,"85244","98843","13599"
港商野村,1560,港商野村,1560,Buy,6706惠特,"81307","91345","10038"
港商野村,1560,港商野村,1560,Buy,1560中砂,"73392","74409","1017"
港商野村,1560,港商野村,1560,Buy,6515穎崴,"70725","80910","10185"
港商野村,1560,港商野村,1560,Buy,2356英業達,"62199","62473","274"
港商野村,1560,港商野村,1560,Buy,6919康霈*,"58521","81584","23063"
港商野村,1560,港商野村,1560,Buy,1519華城,"54188","54337","149"
港商野村,1560,港商野村,1560,Buy,2009第一銅,"52951","53834","883"
港商野村,1560,港商野村,1560,Buy,2345智邦,"47606","47606","0"
港商野村,1560,港商野村,1560,Buy,3706神達,"44573","49466","4893"
港商野村,1560,港商野村,1560,Buy,3189景碩,"43593","50086","6493"
港商野村,1560,港商野村,1560,Buy,2887台新新光金,"42402","42402","0"
港商野村,1560,港商野村,1560,Buy,2603長榮,"42175","61121","18946"
港商野村,1560,港商野村,1560,Buy,4991環宇-KY,"40498","42131","1633"
港商野村,1560,港商野村,1560,Buy,8210勤誠,"39357","39357","0"
港商野村,1560,港商野村,1560,Buy,2412中華電,"35107","35107","0"
港商野村,1560,港商野村,1560,Buy,2605新興,"32489","32489","0"
港商野村,1560,港商野村,1560,Buy,4931新盛力,"31935","115019","83084"
港商野村,1560,港商野村,1560,Buy,2371大同,"31644","32453","809"
港商野村,1560,港商野村,1560,Buy,3665貿聯-KY,"29818","57588","27770"
港商野村,1560,港商野村,1560,Buy,2402毅嘉,"28435","28435","0"
港商野村,1560,港商野村,1560,Buy,2406國碩,"27539","27539","0"
港商野村,1560,港商野村,1560,Buy,3661世芯-KY,"25850","32220","6370"
港商野村,1560,港商野村,1560,Buy,2886兆豐金,"24562","24562","0"
港商野村,1560,港商野村,1560,Buy,5289宜鼎,"22983","24354","1371"
港商野村,1560,港商野村,1560,Buy,3036文曄,"22456","23499","1043"
港商野村,1560,港商野村,1560,Buy,2353宏碁,"22417","33328","10911"
港商野村,1560,港商野村,1560,Buy,3163波若威,"22230","55006","32776"
港商野村,1560,港商野村,1560,Buy,2882國泰金,"22177","27278","5101"
港商野村,1560,港商野村,1560,Buy,2002中鋼,"22087","22408","321"
港商野村,1560,港商野村,1560,Buy,6223旺矽,"21660","21660","0"
港商野村,1560,港商野村,1560,Buy,2881富邦金,"21427","37640","16213"
港商野村,1560,港商野村,1560,Buy,8150南茂,"20893","30188","9295"
