BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
石橋證券,7080,石橋證券,7080,Buy,8114振樺電,"1870","1870","0"
石橋證券,7080,石橋證券,7080,Buy,6781AES-KY,"1615","1615","0"
石橋證券,7080,石橋證券,7080,Buy,6409旭隼,"1085","1085","0"
石橋證券,7080,石橋證券,7080,Buy,2345智邦,"969","969","0"
石橋證券,7080,石橋證券,7080,Buy,3450聯鈞,"761","761","0"
石橋證券,7080,石橋證券,7080,Buy,2324仁寶,"699","699","0"
石橋證券,7080,石橋證券,7080,Buy,1605華新,"644","675","31"
石橋證券,7080,石橋證券,7080,Buy,5284jpp-KY,"616","616","0"
石橋證券,7080,石橋證券,7080,Buy,3189景碩,"484","1215","731"
石橋證券,7080,石橋證券,7080,Buy,2337旺宏,"457","457","0"
石橋證券,7080,石橋證券,7080,Buy,2637慧洋-KY,"440","589","149"
石橋證券,7080,石橋證券,7080,Buy,2356英業達,"427","504","77"
石橋證券,7080,石橋證券,7080,Buy,2605新興,"316","316","0"
石橋證券,7080,石橋證券,7080,Buy,3413京鼎,"296","296","0"
石橋證券,7080,石橋證券,7080,Buy,5443均豪,"262","262","0"
石橋證券,7080,石橋證券,7080,Buy,2641正德,"245","245","0"
石橋證券,7080,石橋證券,7080,Buy,2327國巨*,"234","1652","1418"
石橋證券,7080,石橋證券,7080,Buy,6788華景電,"226","226","0"
石橋證券,7080,石橋證券,7080,Buy,2472立隆電,"211","211","0"
石橋證券,7080,石橋證券,7080,Buy,2375凱美,"192","289","97"
石橋證券,7080,石橋證券,7080,Buy,4939亞電,"188","188","0"
石橋證券,7080,石橋證券,7080,Buy,6290良維,"188","188","0"
石橋證券,7080,石橋證券,7080,Buy,4994傳奇,"186","564","378"
石橋證券,7080,石橋證券,7080,Buy,2428興勤,"185","185","0"
石橋證券,7080,石橋證券,7080,Buy,8131福懋科,"181","364","183"
石橋證券,7080,石橋證券,7080,Buy,8064東捷,"180","180","0"
石橋證券,7080,石橋證券,7080,Buy,6613朋億*,"180","180","0"
石橋證券,7080,石橋證券,7080,Buy,4931新盛力,"173","173","0"
石橋證券,7080,石橋證券,7080,Buy,3374精材,"142","142","0"
石橋證券,7080,石橋證券,7080,Buy,1802台玻,"138","173","35"
石橋證券,7080,石橋證券,7080,Buy,3013晟銘電,"134","134","0"
石橋證券,7080,石橋證券,7080,Buy,3543州巧,"132","132","0"
石橋證券,7080,石橋證券,7080,Buy,1301台塑,"118","709","591"
石橋證券,7080,石橋證券,7080,Buy,8422可寧衛*,"118","118","0"
石橋證券,7080,石橋證券,7080,Buy,1314中石化,"114","114","0"
石橋證券,7080,石橋證券,7080,Buy,2885元大金,"112","112","0"
石橋證券,7080,石橋證券,7080,Buy,3306鼎天,"101","101","0"
石橋證券,7080,石橋證券,7080,Buy,6469大樹,"100","100","0"
石橋證券,7080,石橋證券,7080,Buy,6217中探針,"98","98","0"
石橋證券,7080,石橋證券,7080,Buy,2323中環,"98","98","0"
石橋證券,7080,石橋證券,7080,Buy,2881富邦金,"93","95","2"
石橋證券,7080,石橋證券,7080,Buy,3628盈正,"82","82","0"
石橋證券,7080,石橋證券,7080,Buy,2441超豐,"70","70","0"
石橋證券,7080,石橋證券,7080,Buy,4303信立,"65","65","0"
石橋證券,7080,石橋證券,7080,Buy,6125廣運,"65","65","0"
石橋證券,7080,石橋證券,7080,Buy,3661世芯-KY,"64","64","0"
石橋證券,7080,石橋證券,7080,Buy,2105正新,"63","63","0"
石橋證券,7080,石橋證券,7080,Buy,8048德勝,"62","124","62"
石橋證券,7080,石橋證券,7080,Buy,1785光洋科,"56","56","0"
石橋證券,7080,石橋證券,7080,Buy,3707漢磊,"50","50","0"
石橋證券,7080,石橋證券,7080,Sell,3363上詮,"-3731","0","3731"
石橋證券,7080,石橋證券,7080,Sell,2379瑞昱,"-2645","0","2645"
石橋證券,7080,石橋證券,7080,Sell,8069元太,"-1910","0","1910"
石橋證券,7080,石橋證券,7080,Sell,4760勤凱,"-1904","193","2097"
石橋證券,7080,石橋證券,7080,Sell,8499鼎炫-KY,"-1455","0","1455"
石橋證券,7080,石橋證券,7080,Sell,6155鈞寶,"-812","92","904"
石橋證券,7080,石橋證券,7080,Sell,6488環球晶,"-782","0","782"
石橋證券,7080,石橋證券,7080,Sell,3019亞光,"-730","0","730"
石橋證券,7080,石橋證券,7080,Sell,2344華邦電,"-717","508","1225"
石橋證券,7080,石橋證券,7080,Sell,4123晟德,"-707","0","707"
石橋證券,7080,石橋證券,7080,Sell,6261久元,"-635","0","635"
石橋證券,7080,石橋證券,7080,Sell,6191精成科,"-487","245","732"
石橋證券,7080,石橋證券,7080,Sell,5371中光電,"-378","564","942"
石橋證券,7080,石橋證券,7080,Sell,3030德律,"-351","161","512"
石橋證券,7080,石橋證券,7080,Sell,6706惠特,"-319","212","531"
石橋證券,7080,石橋證券,7080,Sell,1303南亞,"-311","1051","1362"
石橋證券,7080,石橋證券,7080,Sell,2408南亞科,"-300","149","449"
石橋證券,7080,石橋證券,7080,Sell,1417嘉裕,"-268","0","268"
石橋證券,7080,石橋證券,7080,Sell,2406國碩,"-232","47","279"
石橋證券,7080,石橋證券,7080,Sell,3444利機,"-212","0","212"
石橋證券,7080,石橋證券,7080,Sell,3537堡達,"-201","0","201"
石橋證券,7080,石橋證券,7080,Sell,3037欣興,"-200","0","200"
石橋證券,7080,石橋證券,7080,Sell,5469瀚宇博,"-195","0","195"
石橋證券,7080,石橋證券,7080,Sell,1608華榮,"-193","0","193"
石橋證券,7080,石橋證券,7080,Sell,6015宏遠證,"-193","0","193"
石橋證券,7080,石橋證券,7080,Sell,5009榮剛,"-188","31","219"
石橋證券,7080,石橋證券,7080,Sell,2603長榮,"-184","0","184"
石橋證券,7080,石橋證券,7080,Sell,2601益航,"-176","0","176"
石橋證券,7080,石橋證券,7080,Sell,3260威剛,"-175","0","175"
石橋證券,7080,石橋證券,7080,Sell,4991環宇-KY,"-164","0","164"
石橋證券,7080,石橋證券,7080,Sell,2645長榮航太,"-150","0","150"
石橋證券,7080,石橋證券,7080,Sell,1587吉茂,"-143","0","143"
石橋證券,7080,石橋證券,7080,Sell,3105穩懋,"-142","718","860"
石橋證券,7080,石橋證券,7080,Sell,6166凌華,"-131","0","131"
石橋證券,7080,石橋證券,7080,Sell,3492長盛,"-109","0","109"
石橋證券,7080,石橋證券,7080,Sell,8027鈦昇,"-105","0","105"
石橋證券,7080,石橋證券,7080,Sell,2303聯電,"-96","0","96"
石橋證券,7080,石橋證券,7080,Sell,1591駿吉-KY,"-96","0","96"
石橋證券,7080,石橋證券,7080,Sell,8935邦泰,"-95","0","95"
石橋證券,7080,石橋證券,7080,Sell,3706神達,"-92","186","278"
石橋證券,7080,石橋證券,7080,Sell,1504東元,"-89","0","89"
石橋證券,7080,石橋證券,7080,Sell,2481強茂,"-86","0","86"
石橋證券,7080,石橋證券,7080,Sell,3048益登,"-82","0","82"
石橋證券,7080,石橋證券,7080,Sell,3481群創,"-79","0","79"
石橋證券,7080,石橋證券,7080,Sell,8039台虹,"-77","0","77"
石橋證券,7080,石橋證券,7080,Sell,0052富邦科技,"-71","179","250"
石橋證券,7080,石橋證券,7080,Sell,5475德宏,"-69","0","69"
石橋證券,7080,石橋證券,7080,Sell,6530創威,"-65","0","65"
石橋證券,7080,石橋證券,7080,Sell,1326台化,"-65","107","172"
石橋證券,7080,石橋證券,7080,Sell,1409新纖,"-63","0","63"
