BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美好,5260,美好-市政,003500320036004d,Buy,8054安國,"5538","8404","2866"
美好,5260,美好-市政,003500320036004d,Buy,2330台積電,"4532","4791","259"
美好,5260,美好-市政,003500320036004d,Buy,2368金像電,"3607","5359","1752"
美好,5260,美好-市政,003500320036004d,Buy,2645長榮航太,"3015","3015","0"
美好,5260,美好-市政,003500320036004d,Buy,2454聯發科,"2811","2825","14"
美好,5260,美好-市政,003500320036004d,Buy,3376新日興,"2105","2105","0"
美好,5260,美好-市政,003500320036004d,Buy,8111立碁,"2013","4195","2182"
美好,5260,美好-市政,003500320036004d,Buy,3030德律,"2007","2007","0"
美好,5260,美好-市政,003500320036004d,Buy,6706惠特,"1393","3230","1837"
美好,5260,美好-市政,003500320036004d,Buy,3711日月光投控,"1358","1358","0"
美好,5260,美好-市政,003500320036004d,Buy,1815富喬,"1223","1633","410"
美好,5260,美好-市政,003500320036004d,Buy,2408南亞科,"1215","5114","3899"
美好,5260,美好-市政,003500320036004d,Buy,1802台玻,"1142","1142","0"
美好,5260,美好-市政,003500320036004d,Buy,4979華星光,"962","1441","479"
美好,5260,美好-市政,003500320036004d,Buy,3167大量,"801","2030","1229"
美好,5260,美好-市政,003500320036004d,Buy,4749新應材,"801","801","0"
美好,5260,美好-市政,003500320036004d,Buy,3293鈊象,"756","756","0"
美好,5260,美好-市政,003500320036004d,Buy,8996高力,"540","540","0"
美好,5260,美好-市政,003500320036004d,Buy,3532台勝科,"518","518","0"
美好,5260,美好-市政,003500320036004d,Buy,3450聯鈞,"487","1028","541"
美好,5260,美好-市政,003500320036004d,Buy,5289宜鼎,"456","1813","1357"
美好,5260,美好-市政,003500320036004d,Buy,6923中台,"426","426","0"
美好,5260,美好-市政,003500320036004d,Buy,0052富邦科技,"394","394","0"
美好,5260,美好-市政,003500320036004d,Buy,1303南亞,"382","1489","1107"
美好,5260,美好-市政,003500320036004d,Buy,3217優群,"329","329","0"
美好,5260,美好-市政,003500320036004d,Buy,2472立隆電,"325","636","311"
美好,5260,美好-市政,003500320036004d,Buy,3622洋華,"261","261","0"
美好,5260,美好-市政,003500320036004d,Buy,2356英業達,"230","276","46"
美好,5260,美好-市政,003500320036004d,Buy,00937B群益ESG投等債20,"228","228","0"
美好,5260,美好-市政,003500320036004d,Buy,2633台灣高鐵,"223","223","0"
美好,5260,美好-市政,003500320036004d,Buy,2449京元電子,"223","223","0"
美好,5260,美好-市政,003500320036004d,Buy,1605華新,"215","309","94"
美好,5260,美好-市政,003500320036004d,Buy,5871中租-KY,"200","301","101"
美好,5260,美好-市政,003500320036004d,Buy,8271宇瞻,"198","198","0"
美好,5260,美好-市政,003500320036004d,Buy,6869雲豹能源,"191","191","0"
美好,5260,美好-市政,003500320036004d,Buy,6239力成,"170","170","0"
美好,5260,美好-市政,003500320036004d,Buy,2451創見,"169","169","0"
美好,5260,美好-市政,003500320036004d,Buy,6548長科*,"167","167","0"
美好,5260,美好-市政,003500320036004d,Buy,4510高鋒,"165","246","81"
美好,5260,美好-市政,003500320036004d,Buy,2429銘旺科,"161","161","0"
美好,5260,美好-市政,003500320036004d,Buy,00929復華台灣科技優息,"160","178","18"
美好,5260,美好-市政,003500320036004d,Buy,3357臺慶科,"155","155","0"
美好,5260,美好-市政,003500320036004d,Buy,5351鈺創,"151","151","0"
美好,5260,美好-市政,003500320036004d,Buy,2637慧洋-KY,"148","222","74"
美好,5260,美好-市政,003500320036004d,Buy,8039台虹,"147","390","243"
美好,5260,美好-市政,003500320036004d,Buy,3231緯創,"146","146","0"
美好,5260,美好-市政,003500320036004d,Buy,4938和碩,"144","144","0"
美好,5260,美好-市政,003500320036004d,Buy,4961天鈺,"142","142","0"
美好,5260,美好-市政,003500320036004d,Buy,6462神盾,"132","132","0"
美好,5260,美好-市政,003500320036004d,Buy,6770力積電,"126","352","226"
美好,5260,美好-市政,003500320036004d,Sell,2303聯電,"-9638","0","9638"
美好,5260,美好-市政,003500320036004d,Sell,3211順達,"-9499","265","9764"
美好,5260,美好-市政,003500320036004d,Sell,4931新盛力,"-4229","0","4229"
美好,5260,美好-市政,003500320036004d,Sell,6919康霈*,"-3873","3384","7257"
美好,5260,美好-市政,003500320036004d,Sell,2481強茂,"-3451","3","3454"
美好,5260,美好-市政,003500320036004d,Sell,2382廣達,"-3066","1","3067"
美好,5260,美好-市政,003500320036004d,Sell,8299群聯,"-3030","2115","5145"
美好,5260,美好-市政,003500320036004d,Sell,3017奇鋐,"-1283","1387","2670"
美好,5260,美好-市政,003500320036004d,Sell,2344華邦電,"-1168","615","1783"
美好,5260,美好-市政,003500320036004d,Sell,3035智原,"-850","0","850"
美好,5260,美好-市政,003500320036004d,Sell,3363上詮,"-845","2852","3697"
美好,5260,美好-市政,003500320036004d,Sell,7750新代,"-779","0","779"
美好,5260,美好-市政,003500320036004d,Sell,8096擎亞,"-745","0","745"
美好,5260,美好-市政,003500320036004d,Sell,2327國巨*,"-710","469","1179"
美好,5260,美好-市政,003500320036004d,Sell,6415矽力*-KY,"-642","2","644"
美好,5260,美好-市政,003500320036004d,Sell,1504東元,"-621","0","621"
美好,5260,美好-市政,003500320036004d,Sell,3135凌航,"-617","0","617"
美好,5260,美好-市政,003500320036004d,Sell,3706神達,"-466","183","649"
美好,5260,美好-市政,003500320036004d,Sell,00712復華富時不動產,"-462","3","465"
美好,5260,美好-市政,003500320036004d,Sell,1101台泥,"-461","0","461"
美好,5260,美好-市政,003500320036004d,Sell,3048益登,"-449","82","531"
美好,5260,美好-市政,003500320036004d,Sell,2605新興,"-440","0","440"
美好,5260,美好-市政,003500320036004d,Sell,4576大銀微系統,"-432","0","432"
美好,5260,美好-市政,003500320036004d,Sell,0050元大台灣50,"-415","22","437"
美好,5260,美好-市政,003500320036004d,Sell,2308台達電,"-408","1015","1423"
