BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-永康,003900360031005a,Buy,3019亞光,"9850","9995","145"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2368金像電,"3649","4254","605"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2612中航,"3336","3336","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8131福懋科,"2590","2768","178"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2498宏達電,"2499","2499","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3443創意,"2473","4743","2270"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8996高力,"2187","3241","1054"
富邦證券,9600,富邦-永康,003900360031005a,Buy,4979華星光,"1897","5375","3478"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2031新光鋼,"1506","1506","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6781AES-KY,"1470","1470","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,4585達明,"1337","1337","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2383台光電,"1258","1468","210"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2892第一金,"1144","1144","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,00937B群益ESG投等債20,"1139","1139","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8299群聯,"1052","7479","6427"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3563牧德,"982","982","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,00919群益台灣精選高息,"964","964","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6415矽力*-KY,"860","1066","206"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3673TPK-KY,"852","852","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3030德律,"844","844","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3515華擎,"747","747","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2731雄獅,"695","695","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2301光寶科,"692","1500","808"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6425易發,"646","646","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,4760勤凱,"622","622","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2605新興,"618","883","265"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2250IKKA-KY,"617","617","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3006晶豪科,"553","553","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8110華東,"549","2422","1873"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3131弘塑,"547","547","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6155鈞寶,"539","539","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2345智邦,"539","631","92"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6446藥華藥,"508","508","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2059川湖,"500","500","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2610華航,"493","493","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3529力旺,"482","482","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6919康霈*,"474","4759","4285"
富邦證券,9600,富邦-永康,003900360031005a,Buy,5392能率,"461","2795","2334"
富邦證券,9600,富邦-永康,003900360031005a,Buy,1795美時,"448","448","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,1608華榮,"444","517","73"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3260威剛,"442","1861","1419"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3707漢磊,"439","690","251"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6770力積電,"438","3125","2687"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8938明安,"422","422","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,4510高鋒,"420","794","374"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6188廣明,"419","419","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,3374精材,"418","418","0"
富邦證券,9600,富邦-永康,003900360031005a,Buy,2002中鋼,"407","448","41"
富邦證券,9600,富邦-永康,003900360031005a,Buy,6994富威電力,"400","598","198"
富邦證券,9600,富邦-永康,003900360031005a,Buy,8042金山電,"399","456","57"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2618長榮航,"-9892","446","10338"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3189景碩,"-8309","1099","9408"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2454聯發科,"-7321","4275","11596"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3037欣興,"-6864","7935","14799"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3231緯創,"-6564","1971","8535"
富邦證券,9600,富邦-永康,003900360031005a,Sell,6669緯穎,"-5741","0","5741"
富邦證券,9600,富邦-永康,003900360031005a,Sell,1815富喬,"-5183","4183","9366"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2382廣達,"-5144","1524","6668"
富邦證券,9600,富邦-永康,003900360031005a,Sell,9904寶成,"-3661","71","3732"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2344華邦電,"-3612","7289","10901"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2317鴻海,"-3226","3865","7091"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3653健策,"-3060","0","3060"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2615萬海,"-2686","2281","4967"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2330台積電,"-2308","1581","3889"
富邦證券,9600,富邦-永康,003900360031005a,Sell,8046南電,"-2231","1079","3310"
富邦證券,9600,富邦-永康,003900360031005a,Sell,5284jpp-KY,"-2211","363","2574"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2303聯電,"-2156","536","2692"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2308台達電,"-2124","1492","3616"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3017奇鋐,"-1958","1535","3493"
富邦證券,9600,富邦-永康,003900360031005a,Sell,4958臻鼎-KY,"-1925","435","2360"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2481強茂,"-1838","878","2716"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3587閎康,"-1669","0","1669"
富邦證券,9600,富邦-永康,003900360031005a,Sell,0050元大台灣50,"-1547","1061","2608"
富邦證券,9600,富邦-永康,003900360031005a,Sell,00878國泰永續高股息,"-1489","364","1853"
富邦證券,9600,富邦-永康,003900360031005a,Sell,8096擎亞,"-1254","0","1254"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3167大量,"-1044","11","1055"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3706神達,"-837","3366","4203"
富邦證券,9600,富邦-永康,003900360031005a,Sell,00982A主動群益台灣強棒,"-828","0","828"
富邦證券,9600,富邦-永康,003900360031005a,Sell,5347世界,"-821","4","825"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3481群創,"-801","29","830"
富邦證券,9600,富邦-永康,003900360031005a,Sell,6706惠特,"-734","1189","1923"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2451創見,"-696","195","891"
富邦證券,9600,富邦-永康,003900360031005a,Sell,0056元大高股息,"-656","333","989"
富邦證券,9600,富邦-永康,003900360031005a,Sell,1563巧新,"-622","0","622"
富邦證券,9600,富邦-永康,003900360031005a,Sell,8054安國,"-600","0","600"
富邦證券,9600,富邦-永康,003900360031005a,Sell,6944兆聯實業,"-599","6","605"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2337旺宏,"-584","745","1329"
富邦證券,9600,富邦-永康,003900360031005a,Sell,00830國泰費城半導體,"-571","18","589"
富邦證券,9600,富邦-永康,003900360031005a,Sell,6505台塑化,"-565","0","565"
富邦證券,9600,富邦-永康,003900360031005a,Sell,7711永擎,"-565","0","565"
富邦證券,9600,富邦-永康,003900360031005a,Sell,8039台虹,"-542","235","777"
富邦證券,9600,富邦-永康,003900360031005a,Sell,5469瀚宇博,"-483","10","493"
富邦證券,9600,富邦-永康,003900360031005a,Sell,4764雙鍵,"-472","144","616"
富邦證券,9600,富邦-永康,003900360031005a,Sell,4927泰鼎-KY,"-469","0","469"
富邦證券,9600,富邦-永康,003900360031005a,Sell,3543州巧,"-435","94","529"
富邦證券,9600,富邦-永康,003900360031005a,Sell,1504東元,"-432","1512","1944"
富邦證券,9600,富邦-永康,003900360031005a,Sell,6213聯茂,"-432","537","969"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2637慧洋-KY,"-424","275","699"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2449京元電子,"-416","2266","2682"
富邦證券,9600,富邦-永康,003900360031005a,Sell,2885元大金,"-412","0","412"
