BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金,5380,Buy,3231緯創,"83689","99872","16183"
第一金,5380,第一金,5380,Buy,2330台積電,"34053","55492","21439"
第一金,5380,第一金,5380,Buy,3443創意,"26637","26637","0"
第一金,5380,第一金,5380,Buy,3661世芯-KY,"15780","25215","9435"
第一金,5380,第一金,5380,Buy,8069元太,"13228","13228","0"
第一金,5380,第一金,5380,Buy,3189景碩,"12814","13998","1184"
第一金,5380,第一金,5380,Buy,1560中砂,"12045","14107","2062"
第一金,5380,第一金,5380,Buy,6274台燿,"11758","12177","419"
第一金,5380,第一金,5380,Buy,3653健策,"11616","12090","474"
第一金,5380,第一金,5380,Buy,5269祥碩,"10794","11025","231"
第一金,5380,第一金,5380,Buy,1785光洋科,"10659","10659","0"
第一金,5380,第一金,5380,Buy,1605華新,"10108","10501","393"
第一金,5380,第一金,5380,Buy,3706神達,"9338","11393","2055"
第一金,5380,第一金,5380,Buy,2356英業達,"8102","8618","516"
第一金,5380,第一金,5380,Buy,1795美時,"7991","7991","0"
第一金,5380,第一金,5380,Buy,3037欣興,"7593","15909","8316"
第一金,5380,第一金,5380,Buy,2105正新,"7386","7386","0"
第一金,5380,第一金,5380,Buy,2454聯發科,"6783","7209","426"
第一金,5380,第一金,5380,Buy,3558神準,"6514","6514","0"
第一金,5380,第一金,5380,Buy,00981A主動統一台股增長,"6472","6472","0"
第一金,5380,第一金,5380,Buy,6414樺漢,"6391","6391","0"
第一金,5380,第一金,5380,Buy,7769鴻勁,"6032","6062","30"
第一金,5380,第一金,5380,Buy,2376技嘉,"5832","5856","24"
第一金,5380,第一金,5380,Buy,1723中碳,"4951","4951","0"
第一金,5380,第一金,5380,Buy,2382廣達,"4906","5057","151"
第一金,5380,第一金,5380,Buy,2637慧洋-KY,"4380","5199","819"
第一金,5380,第一金,5380,Buy,6285啟碁,"4285","4488","203"
第一金,5380,第一金,5380,Buy,9802鈺齊-KY,"3436","3436","0"
第一金,5380,第一金,5380,Buy,6919康霈*,"3359","6690","3331"
第一金,5380,第一金,5380,Buy,2449京元電子,"3304","6155","2851"
第一金,5380,第一金,5380,Buy,4722國精化,"3267","3267","0"
第一金,5380,第一金,5380,Buy,6781AES-KY,"2890","5640","2750"
第一金,5380,第一金,5380,Buy,2233宇隆,"2786","2786","0"
第一金,5380,第一金,5380,Buy,1231聯華食,"2659","2659","0"
第一金,5380,第一金,5380,Buy,5347世界,"2585","2677","92"
第一金,5380,第一金,5380,Buy,3711日月光投控,"2564","4610","2046"
第一金,5380,第一金,5380,Buy,3551世禾,"2488","3198","710"
第一金,5380,第一金,5380,Buy,2328廣宇,"2272","2517","245"
第一金,5380,第一金,5380,Buy,3135凌航,"2061","2524","463"
第一金,5380,第一金,5380,Buy,2353宏碁,"2018","2018","0"
第一金,5380,第一金,5380,Buy,3529力旺,"1996","1996","0"
第一金,5380,第一金,5380,Buy,2420新巨,"1966","1966","0"
第一金,5380,第一金,5380,Buy,3265台星科,"1886","1886","0"
第一金,5380,第一金,5380,Buy,3169亞信,"1886","1886","0"
第一金,5380,第一金,5380,Buy,6670復盛應用,"1788","1788","0"
第一金,5380,第一金,5380,Buy,3324雙鴻,"1768","1804","36"
第一金,5380,第一金,5380,Buy,3483力致,"1767","1767","0"
第一金,5380,第一金,5380,Buy,00919群益台灣精選高息,"1733","1777","44"
第一金,5380,第一金,5380,Buy,3078僑威,"1665","1665","0"
第一金,5380,第一金,5380,Buy,4931新盛力,"1480","1513","33"
第一金,5380,第一金,5380,Sell,1216統一,"-130079","0","130079"
第一金,5380,第一金,5380,Sell,6669緯穎,"-28361","0","28361"
第一金,5380,第一金,5380,Sell,2308台達電,"-18365","1239","19604"
第一金,5380,第一金,5380,Sell,2317鴻海,"-10856","13271","24127"
第一金,5380,第一金,5380,Sell,6510精測,"-9268","190","9458"
第一金,5380,第一金,5380,Sell,2049上銀,"-7858","200","8058"
第一金,5380,第一金,5380,Sell,2345智邦,"-6439","36","6475"
第一金,5380,第一金,5380,Sell,2892第一金,"-6212","0","6212"
第一金,5380,第一金,5380,Sell,2368金像電,"-6207","5494","11701"
第一金,5380,第一金,5380,Sell,2344華邦電,"-5406","18257","23663"
第一金,5380,第一金,5380,Sell,2327國巨*,"-5313","52","5365"
第一金,5380,第一金,5380,Sell,1504東元,"-4730","9","4739"
第一金,5380,第一金,5380,Sell,3017奇鋐,"-4686","1727","6413"
第一金,5380,第一金,5380,Sell,2360致茂,"-4468","0","4468"
