BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3131弘塑,"16454","16460","6"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,6781AES-KY,"13661","15345","1684"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2344華邦電,"7353","16651","9298"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3163波若威,"5167","7128","1961"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,6223旺矽,"4455","6700","2245"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,00937B群益ESG投等債20,"4377","5122","745"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2404漢唐,"3984","3986","2"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,6831邁科,"3363","3363","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,4979華星光,"3072","5695","2623"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2009第一銅,"2560","3445","885"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3533嘉澤,"2558","2558","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2408南亞科,"2339","10642","8303"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2353宏碁,"2007","2007","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2368金像電,"1679","3569","1890"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2337旺宏,"1612","2623","1011"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3042晶技,"1593","1593","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,00687B國泰20年美債,"1523","1810","287"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3498陽程,"1503","1503","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,3714富采,"1386","1386","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,5340建榮,"1356","1683","327"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2409友達,"1266","1266","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,7751竑騰,"1178","1178","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2617台航,"1155","1155","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2379瑞昱,"1059","1059","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2359所羅門,"1059","2452","1393"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,2233宇隆,"1030","1030","0"
群益金鼎,9100,群益金鼎-新竹,9186,Buy,6719力智,"1016","1016","0"
