BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
聯邦商銀,8580,聯邦-高雄,8581,Buy,3653健策,"11840","11840","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3709鑫聯大投控,"2081","2081","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2354鴻準,"1982","1982","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3293鈊象,"1440","1440","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,6805富世達,"1385","1575","190"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2201裕隆,"1173","1173","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,8249菱光,"1046","1046","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2363矽統,"986","986","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,8110華東,"952","1228","276"
聯邦商銀,8580,聯邦-高雄,8581,Buy,1560中砂,"642","676","34"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2408南亞科,"593","1811","1218"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2328廣宇,"533","592","59"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2368金像電,"530","588","58"
聯邦商銀,8580,聯邦-高雄,8581,Buy,6919康霈*,"489","489","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2606裕民,"454","520","66"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2359所羅門,"422","567","145"
聯邦商銀,8580,聯邦-高雄,8581,Buy,4510高鋒,"414","499","85"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3363上詮,"408","408","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,8114振樺電,"352","352","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2605新興,"336","365","29"
聯邦商銀,8580,聯邦-高雄,8581,Buy,8499鼎炫-KY,"318","318","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3044健鼎,"299","299","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,6664群翊,"268","268","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3236千如,"267","267","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,4967十銓,"264","264","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3211順達,"260","260","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,1303南亞,"251","567","316"
聯邦商銀,8580,聯邦-高雄,8581,Buy,00738U期元大道瓊白銀,"239","239","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,6209今國光,"223","337","114"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3430奇鈦科,"222","222","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3059華晶科,"216","216","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2493揚博,"210","210","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3376新日興,"203","203","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2027大成鋼,"192","192","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,1514亞力,"191","191","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3622洋華,"191","191","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,00929復華台灣科技優息,"177","177","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2451創見,"177","177","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2374佳能,"173","173","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,4722國精化,"172","172","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3046建碁,"151","151","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,4540全球傳動,"146","146","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,8054安國,"145","440","295"
聯邦商銀,8580,聯邦-高雄,8581,Buy,4938和碩,"142","142","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2308台達電,"139","2119","1980"
聯邦商銀,8580,聯邦-高雄,8581,Buy,2353宏碁,"136","136","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,3013晟銘電,"135","135","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,6143振曜,"128","128","0"
聯邦商銀,8580,聯邦-高雄,8581,Buy,5351鈺創,"122","200","78"
聯邦商銀,8580,聯邦-高雄,8581,Buy,00919群益台灣精選高息,"120","128","8"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6669緯穎,"-9724","70","9794"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2481強茂,"-5987","446","6433"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2317鴻海,"-4808","23","4831"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3231緯創,"-3188","752","3940"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3037欣興,"-2417","4872","7289"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2885元大金,"-1583","0","1583"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3017奇鋐,"-1487","0","1487"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2330台積電,"-1473","145","1618"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3189景碩,"-1423","154","1577"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2383台光電,"-1415","0","1415"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2327國巨*,"-1296","483","1779"
聯邦商銀,8580,聯邦-高雄,8581,Sell,8111立碁,"-1114","77","1191"
聯邦商銀,8580,聯邦-高雄,8581,Sell,8299群聯,"-1090","0","1090"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3163波若威,"-855","317","1172"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3162精確,"-757","0","757"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00712復華富時不動產,"-694","0","694"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6187萬潤,"-680","3","683"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6173信昌電,"-653","0","653"
聯邦商銀,8580,聯邦-高雄,8581,Sell,0050元大台灣50,"-607","215","822"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2344華邦電,"-493","2254","2747"
聯邦商銀,8580,聯邦-高雄,8581,Sell,8112至上,"-484","1062","1546"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6643M31,"-428","0","428"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2303聯電,"-388","245","633"
聯邦商銀,8580,聯邦-高雄,8581,Sell,0056元大高股息,"-382","38","420"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4585達明,"-363","0","363"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2838聯邦銀,"-351","0","351"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2337旺宏,"-338","33","371"
聯邦商銀,8580,聯邦-高雄,8581,Sell,0052富邦科技,"-337","60","397"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00881國泰台灣科技龍頭,"-315","31","346"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2382廣達,"-298","297","595"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00687B國泰20年美債,"-287","0","287"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4903聯光通,"-258","0","258"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00762元大全球AI,"-255","0","255"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6831邁科,"-241","0","241"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3167大量,"-217","0","217"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4555氣立,"-208","0","208"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2887台新新光金,"-192","0","192"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3551世禾,"-178","0","178"
聯邦商銀,8580,聯邦-高雄,8581,Sell,3264欣銓,"-178","0","178"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00891中信關鍵半導體,"-174","0","174"
聯邦商銀,8580,聯邦-高雄,8581,Sell,1815富喬,"-171","413","584"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4744皇將,"-153","0","153"
聯邦商銀,8580,聯邦-高雄,8581,Sell,1717長興,"-151","0","151"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4916事欣科,"-142","0","142"
聯邦商銀,8580,聯邦-高雄,8581,Sell,6215和椿,"-125","237","362"
聯邦商銀,8580,聯邦-高雄,8581,Sell,4977眾達-KY,"-124","0","124"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2492華新科,"-121","118","239"
聯邦商銀,8580,聯邦-高雄,8581,Sell,00830國泰費城半導體,"-117","0","117"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2365昆盈,"-113","315","428"
聯邦商銀,8580,聯邦-高雄,8581,Sell,2892第一金,"-112","0","112"
