BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8299群聯,"33921","43099","9178"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,0050元大台灣50,"31421","35048","3627"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3037欣興,"24744","37861","13117"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3105穩懋,"14370","17464","3094"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,0056元大高股息,"10640","11141","501"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6213聯茂,"8994","28664","19670"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2344華邦電,"6575","18307","11732"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,1303南亞,"6334","15681","9347"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,1301台塑,"6294","8276","1982"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2382廣達,"5975","9245","3270"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,4958臻鼎-KY,"5408","14793","9385"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3413京鼎,"5285","7878","2593"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8028昇陽半導體,"4955","7106","2151"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8039台虹,"4903","15147","10244"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2404漢唐,"4592","5742","1150"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2454聯發科,"4537","8609","4072"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,7610聯友金屬-創,"4404","4404","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8150南茂,"3881","6488","2607"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3711日月光投控,"3834","17201","13367"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6770力積電,"3306","10934","7628"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6239力成,"3286","7743","4457"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,00403A主動統一升級50,"3212","3894","682"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2327國巨*,"2528","9859","7331"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,5289宜鼎,"2521","5005","2484"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,00981A主動統一台股增長,"2376","7250","4874"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,7828創新服務,"2229","2229","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,00929復華台灣科技優息,"2210","2600","390"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3680家登,"2207","2234","27"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,5347世界,"2187","2464","277"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6903巨漢,"2100","2100","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3211順達,"1931","2308","377"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,009816凱基台灣TOP50,"1853","2213","360"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2603長榮,"1724","1985","261"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2301光寶科,"1653","2392","739"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6196帆宣,"1641","2160","519"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6223旺矽,"1573","1757","184"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,6525捷敏-KY,"1555","1555","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2886兆豐金,"1531","1627","96"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2645長榮航太,"1508","1761","253"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,1815富喬,"1483","1870","387"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8358金居,"1446","1595","149"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,2337旺宏,"1350","3881","2531"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,1560中砂,"1321","1321","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,3491昇達科,"1319","2564","1245"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8046南電,"1278","4605","3327"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,00888永豐台灣ESG,"1252","1252","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8069元太,"1234","1234","0"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,8261富鼎,"1207","1952","745"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,00991A主動復華未來50,"1186","1285","99"
富邦證券,9600,富邦-木柵,003900360031004d,Buy,5483中美晶,"1151","2533","1382"
富邦證券,9600,富邦-木柵,003900360031004d,Sell,7769鴻勁,"-40931","47","40978"
