BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,0056元大高股息,"8975","9075","100"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,0050元大台灣50,"7929","8024","95"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2317鴻海,"5142","7310","2168"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2303聯電,"4686","5544","858"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2449京元電子,"4290","6174","1884"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,5347世界,"4231","4538","307"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3037欣興,"3966","7038","3072"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,8299群聯,"3759","7258","3499"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6213聯茂,"3678","9559","5881"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2408南亞科,"3444","8933","5489"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,4958臻鼎-KY,"3217","4039","822"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2382廣達,"3106","3454","348"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,8021尖點,"3035","3449","414"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2454聯發科,"2869","6904","4035"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2308台達電,"2866","4612","1746"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2887台新新光金,"2504","4061","1557"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2884玉山金,"2259","3656","1397"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3264欣銓,"2223","2223","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3680家登,"2186","2186","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6414樺漢,"2051","2063","12"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00888永豐台灣ESG,"1880","1880","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2603長榮,"1623","1623","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00632R元大台灣50反1,"1621","1654","33"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6456GIS-KY,"1592","2030","438"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3030德律,"1420","1420","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2885元大金,"1266","1267","1"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6127九豪,"1156","1212","56"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6533晶心科,"1131","1616","485"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,8358金居,"1113","1854","741"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,2486一詮,"1113","1113","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6907雅特力-KY,"1084","1084","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00935野村臺灣新科技50,"1048","1053","5"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,4967十銓,"1041","1250","209"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00981A主動統一台股增長,"1030","1081","51"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6141柏承,"990","990","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6409旭隼,"957","957","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,5483中美晶,"919","1491","572"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6182合晶,"907","2268","1361"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00929復華台灣科技優息,"904","960","56"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6770力積電,"828","3853","3025"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,9914美利達,"828","828","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00991A主動復華未來50,"761","1087","326"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6667信紘科,"716","716","0"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,1301台塑,"675","4658","3983"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3673TPK-KY,"615","678","63"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,00877復華中國5G,"586","1326","740"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3532台勝科,"575","2750","2175"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6693廣閎科,"572","716","144"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,6282康舒,"511","699","188"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Buy,3443創意,"495","536","41"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3481群創,"-70673","7173","77846"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2344華邦電,"-29414","3386","32800"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2409友達,"-23513","1625","25138"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,6834天二科技,"-8750","0","8750"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2451創見,"-8303","2245","10548"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,5269祥碩,"-7150","0","7150"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3008大立光,"-6829","4816","11645"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3026禾伸堂,"-5876","0","5876"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,1216統一,"-5838","79","5917"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,6505台塑化,"-4337","917","5254"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3357臺慶科,"-3897","817","4714"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2441超豐,"-3357","250","3607"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,00631L元大台灣50正2,"-3031","1242","4273"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,6257矽格,"-2471","620","3091"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2375凱美,"-2438","272","2710"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,1815富喬,"-2131","569","2700"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,2367燿華,"-2114","0","2114"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3231緯創,"-2097","866","2963"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,6781AES-KY,"-2056","0","2056"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3293鈊象,"-2050","8","2058"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,8033雷虎,"-1710","2111","3821"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,3189景碩,"-1704","2231","3935"
群益金鼎,9100,群益金鼎-竹南,0039003100380069,Sell,1802台玻,"-1608","639","2247"
