BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2404漢唐,"15119","23414","8295"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1560中砂,"9487","9487","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2492華新科,"7808","8068","260"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,5434崇越,"6010","6010","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3711日月光投控,"4319","14869","10550"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6182合晶,"4170","8863","4693"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2344華邦電,"3114","4211","1097"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,4958臻鼎-KY,"2901","7927","5026"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,5483中美晶,"2492","2727","235"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,8932智通*,"2110","2110","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,8299群聯,"1936","1947","11"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2423固緯,"1672","1672","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2472立隆電,"1648","2740","1092"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6122擎邦,"1524","1524","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2481強茂,"1458","1755","297"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,0056元大高股息,"1396","1396","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,4743合一,"1394","1394","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,5289宜鼎,"1359","1359","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2337旺宏,"1214","2562","1348"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2303聯電,"993","8590","7597"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6944兆聯實業,"990","990","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3036文曄,"981","981","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2368金像電,"885","10615","9730"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,8069元太,"885","885","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3413京鼎,"864","1028","164"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3037欣興,"782","859","77"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3374精材,"735","735","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6691洋基工程,"720","720","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2891中信金,"691","691","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6196帆宣,"588","588","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1301台塑,"580","959","379"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6770力積電,"571","1671","1100"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1802台玻,"543","543","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3016嘉晶,"494","593","99"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1515力山,"482","482","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2486一詮,"481","915","434"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,8110華東,"465","465","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2327國巨*,"455","12850","12395"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2887台新新光金,"426","772","346"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,5475德宏,"413","413","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1504東元,"403","403","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,00937B群益ESG投等債20,"399","399","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,6664群翊,"371","371","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2885元大金,"362","484","122"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,2382廣達,"353","353","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3481群創,"351","2278","1927"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,3702大聯大,"333","333","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,1608華榮,"318","318","0"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,4541晟田,"297","366","69"
兆豐證券,7000,兆豐-永和,0037003000300058,Buy,8028昇陽半導體,"296","603","307"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2330台積電,"-47469","28886","76355"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,6274台燿,"-37050","0","37050"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,3324雙鴻,"-19019","0","19019"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2317鴻海,"-3538","492","4030"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,5371中光電,"-2991","173","3164"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,3231緯創,"-1992","0","1992"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2646星宇航空,"-1741","0","1741"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,6805富世達,"-1355","0","1355"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,6414樺漢,"-1278","0","1278"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2357華碩,"-1235","218","1453"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,6197佳必琪,"-1220","323","1543"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2634漢翔,"-1218","662","1880"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,8039台虹,"-1195","0","1195"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,6213聯茂,"-1134","0","1134"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2349錸德,"-1120","0","1120"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,2603長榮,"-1011","0","1011"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,00631L元大台灣50正2,"-1006","173","1179"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,1101台泥,"-843","0","843"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,4973廣穎,"-837","0","837"
兆豐證券,7000,兆豐-永和,0037003000300058,Sell,00981A主動統一台股增長,"-834","381","1215"
