BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-新竹,003800380038004e,Buy,00631L元大台灣50正2,"16981","17553","572"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,00685L群益臺灣加權正2,"13380","13609","229"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6449鈺邦,"2458","2458","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,0050元大台灣50,"1486","3728","2242"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6830汎銓,"1386","1386","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,3105穩懋,"1311","2298","987"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,8046南電,"1218","1248","30"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6861睿生光電,"1091","1091","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,3661世芯-KY,"744","744","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6104創惟,"740","740","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6488環球晶,"697","1902","1205"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,00725B國泰投資級公司債,"696","696","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,5351鈺創,"605","605","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,1303南亞,"570","1927","1357"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,2204中華,"561","561","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,3413京鼎,"519","519","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,2409友達,"503","661","158"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6177達麗,"477","477","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,3037欣興,"458","3322","2864"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,00919群益台灣精選高息,"449","597","148"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,6416瑞祺電通,"398","398","0"
國泰證券,8880,國泰-新竹,003800380038004e,Buy,00757統一FANG+,"395","395","0"
