BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3231緯創,"14316","15878","1562"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2383台光電,"9448","9448","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,00988A主動統一全球創新,"7683","7683","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2454聯發科,"7202","7329","127"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,4958臻鼎-KY,"5634","9734","4100"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2324仁寶,"3624","3836","212"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3661世芯-KY,"3368","3489","121"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8074鉅橡,"2897","2897","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3481群創,"2875","5403","2528"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2009第一銅,"2772","2772","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,5289宜鼎,"2637","2637","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6907雅特力-KY,"2536","2536","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3105穩懋,"2387","4998","2611"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8046南電,"2312","8242","5930"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8028昇陽半導體,"1851","2757","906"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2327國巨*,"1823","17208","15385"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2603長榮,"1588","1608","20"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6182合晶,"1527","8547","7020"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8033雷虎,"1497","2570","1073"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2408南亞科,"1264","4564","3300"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,9904寶成,"1228","1228","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3479安勤,"1039","1188","149"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,00632R元大台灣50反1,"1003","1004","1"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,1303南亞,"991","7702","6711"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6226光鼎,"978","978","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6239力成,"945","1486","541"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2303聯電,"844","4169","3325"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2388威盛,"717","717","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6672騰輝電子-KY,"671","703","32"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3707漢磊,"661","661","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,5483中美晶,"658","2445","1787"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2449京元電子,"549","1388","839"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8299群聯,"512","583","71"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,1301台塑,"502","688","186"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3532台勝科,"465","1343","878"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,3624光頡,"456","456","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,7795長廣,"437","2941","2504"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,1802台玻,"433","433","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6732昇佳電子,"416","416","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2646星宇航空,"413","435","22"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,5351鈺創,"397","1534","1137"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2474可成,"380","380","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6175立敦,"352","352","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2409友達,"317","892","575"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2406國碩,"314","443","129"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,6234高僑,"286","359","73"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,1326台化,"276","482","206"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,2486一詮,"271","484","213"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8131福懋科,"269","269","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Buy,8927北基,"264","264","0"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,00981A主動統一台股增長,"-7755","496","8251"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3017奇鋐,"-4536","2","4538"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2330台積電,"-4313","621","4934"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6213聯茂,"-3716","0","3716"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3653健策,"-3699","10298","13997"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3374精材,"-2845","4424","7269"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2317鴻海,"-2790","3204","5994"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2905三商,"-2685","0","2685"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6969成信實業*-創,"-2668","0","2668"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2634漢翔,"-2532","404","2936"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3324雙鴻,"-1845","5","1850"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6526達發,"-1752","0","1752"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3037欣興,"-1708","29","1737"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,006208富邦台50,"-1626","0","1626"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2609陽明,"-1553","51","1604"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6271同欣電,"-1200","400","1600"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,0050元大台灣50,"-1049","746","1795"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2313華通,"-1041","619","1660"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3034聯詠,"-957","0","957"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6505台塑化,"-896","247","1143"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,00631L元大台灣50正2,"-889","3443","4332"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6217中探針,"-855","965","1820"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6451訊芯-KY,"-844","0","844"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6147頎邦,"-834","1731","2565"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2308台達電,"-812","367","1179"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6139亞翔,"-790","16","806"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,00922國泰台灣領袖50,"-779","0","779"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6770力積電,"-767","2343","3110"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,7749意騰-KY,"-720","0","720"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2395研華,"-672","0","672"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,4939亞電,"-635","838","1473"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,8039台虹,"-633","610","1243"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,4542科嶠,"-606","0","606"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2801彰銀,"-603","0","603"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2344華邦電,"-589","976","1565"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3035智原,"-579","374","953"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,4169泰宗,"-547","0","547"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,3163波若威,"-523","8565","9088"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,4916事欣科,"-499","0","499"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,9939宏全,"-483","0","483"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,0056元大高股息,"-470","179","649"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6789采鈺,"-451","28","479"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2362藍天,"-425","0","425"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,5880合庫金,"-412","154","566"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,9910豐泰,"-350","0","350"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,6138茂達,"-348","0","348"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,4938和碩,"-330","0","330"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2880華南金,"-323","0","323"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,7722LINEPAY,"-319","908","1227"
宏遠證券,1260,宏遠-台中,003100320036004c,Sell,2812台中銀,"-303","0","303"
