BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,5483中美晶,"13348","14018","670"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3481群創,"5060","5472","412"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,6531愛普*,"2528","2528","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,4958臻鼎-KY,"2307","4458","2151"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,0050元大台灣50,"2050","3728","1678"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3596智易,"1835","1835","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2303聯電,"1738","15686","13948"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2344華邦電,"1710","2028","318"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,6672騰輝電子-KY,"1602","2765","1163"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3706神達,"1589","1598","9"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,1303南亞,"1552","2310","758"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,8042金山電,"1492","1492","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,0056元大高股息,"1244","1313","69"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,8210勤誠,"1207","1207","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,8046南電,"1195","1220","25"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,6683雍智科技,"1190","1190","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,6770力積電,"1071","2746","1675"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2368金像電,"958","2872","1914"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3324雙鴻,"926","926","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,00685L群益臺灣加權正2,"886","1556","670"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2313華通,"838","1045","207"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3264欣銓,"828","828","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,6139亞翔,"805","805","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2379瑞昱,"738","738","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2357華碩,"729","729","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3026禾伸堂,"687","1366","679"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,1560中砂,"682","682","0"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,8033雷虎,"642","1723","1081"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,3163波若威,"637","653","16"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2451創見,"609","910","301"
永豐金,9A00,永豐金-虎尾,0039004100390062,Buy,2455全新,"598","883","285"
