BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
統一,5850,統一-新竹,5857,Buy,6409旭隼,"54231","54231","0"
統一,5850,統一-新竹,5857,Buy,5269祥碩,"35439","35439","0"
統一,5850,統一-新竹,5857,Buy,6515穎崴,"18456","25238","6782"
統一,5850,統一-新竹,5857,Buy,3090日電貿,"16686","16686","0"
統一,5850,統一-新竹,5857,Buy,9958世紀鋼,"13513","13744","231"
統一,5850,統一-新竹,5857,Buy,6223旺矽,"12886","12886","0"
統一,5850,統一-新竹,5857,Buy,2327國巨*,"10285","50495","40210"
統一,5850,統一-新竹,5857,Buy,3481群創,"9622","14545","4923"
統一,5850,統一-新竹,5857,Buy,2492華新科,"9438","10046","608"
統一,5850,統一-新竹,5857,Buy,2344華邦電,"8093","14345","6252"
統一,5850,統一-新竹,5857,Buy,2359所羅門,"6705","6705","0"
統一,5850,統一-新竹,5857,Buy,6770力積電,"6393","10261","3868"
統一,5850,統一-新竹,5857,Buy,6488環球晶,"6140","7443","1303"
統一,5850,統一-新竹,5857,Buy,1612宏泰,"5232","5232","0"
統一,5850,統一-新竹,5857,Buy,00981A主動統一台股增長,"4624","6661","2037"
統一,5850,統一-新竹,5857,Buy,5871中租-KY,"4530","4900","370"
統一,5850,統一-新竹,5857,Buy,6182合晶,"3832","8101","4269"
統一,5850,統一-新竹,5857,Buy,1303南亞,"3538","6633","3095"
統一,5850,統一-新竹,5857,Buy,4958臻鼎-KY,"3441","6488","3047"
統一,5850,統一-新竹,5857,Buy,7799禾榮科,"3398","3398","0"
統一,5850,統一-新竹,5857,Buy,8150南茂,"3364","7354","3990"
統一,5850,統一-新竹,5857,Buy,1905華紙,"3290","3515","225"
統一,5850,統一-新竹,5857,Buy,1815富喬,"3023","3488","465"
統一,5850,統一-新竹,5857,Buy,3131弘塑,"2933","2933","0"
統一,5850,統一-新竹,5857,Buy,8042金山電,"2926","4749","1823"
統一,5850,統一-新竹,5857,Buy,8033雷虎,"2764","4277","1513"
統一,5850,統一-新竹,5857,Buy,2515中工,"2406","2406","0"
統一,5850,統一-新竹,5857,Buy,5483中美晶,"2399","4697","2298"
統一,5850,統一-新竹,5857,Buy,2542興富發,"2043","2219","176"
統一,5850,統一-新竹,5857,Buy,00632R元大台灣50反1,"1846","1846","0"
統一,5850,統一-新竹,5857,Buy,00887永豐中國科技50大,"1672","1672","0"
統一,5850,統一-新竹,5857,Buy,3152璟德,"1613","1613","0"
統一,5850,統一-新竹,5857,Buy,3230錦明,"1549","1596","47"
統一,5850,統一-新竹,5857,Buy,2332友訊,"1367","1474","107"
統一,5850,統一-新竹,5857,Buy,1326台化,"1299","3326","2027"
統一,5850,統一-新竹,5857,Buy,00986D主動復華金融債息,"1298","1298","0"
統一,5850,統一-新竹,5857,Buy,6442光聖,"1212","2472","1260"
統一,5850,統一-新竹,5857,Buy,6533晶心科,"1171","3514","2343"
統一,5850,統一-新竹,5857,Buy,0056元大高股息,"1151","1987","836"
統一,5850,統一-新竹,5857,Buy,5403中菲,"1147","1147","0"
統一,5850,統一-新竹,5857,Buy,8358金居,"1138","1904","766"
統一,5850,統一-新竹,5857,Buy,1717長興,"1014","1077","63"
統一,5850,統一-新竹,5857,Buy,00400A主動國泰動能高息,"970","1021","51"
統一,5850,統一-新竹,5857,Buy,3374精材,"919","3150","2231"
統一,5850,統一-新竹,5857,Buy,2481強茂,"878","1602","724"
統一,5850,統一-新竹,5857,Buy,3413京鼎,"866","1369","503"
統一,5850,統一-新竹,5857,Buy,6643M31,"859","859","0"
統一,5850,統一-新竹,5857,Buy,3532台勝科,"786","8085","7299"
統一,5850,統一-新竹,5857,Buy,2337旺宏,"723","1826","1103"
統一,5850,統一-新竹,5857,Buy,3293鈊象,"714","714","0"
統一,5850,統一-新竹,5857,Sell,2330台積電,"-58425","8056","66481"
統一,5850,統一-新竹,5857,Sell,2317鴻海,"-44378","492","44870"
