BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-福營,0039003800310046,Buy,2330台積電,"15696","18702","3006"
元大證券,9800,元大-福營,0039003800310046,Buy,2303聯電,"8282","18803","10521"
元大證券,9800,元大-福營,0039003800310046,Buy,2634漢翔,"7869","13039","5170"
元大證券,9800,元大-福營,0039003800310046,Buy,2327國巨*,"7238","42206","34968"
元大證券,9800,元大-福營,0039003800310046,Buy,6213聯茂,"6055","9607","3552"
元大證券,9800,元大-福營,0039003800310046,Buy,8150南茂,"5382","14330","8948"
元大證券,9800,元大-福營,0039003800310046,Buy,2383台光電,"5216","5273","57"
元大證券,9800,元大-福營,0039003800310046,Buy,8033雷虎,"5146","9920","4774"
元大證券,9800,元大-福營,0039003800310046,Buy,6182合晶,"5052","14079","9027"
元大證券,9800,元大-福營,0039003800310046,Buy,2454聯發科,"4821","6555","1734"
元大證券,9800,元大-福營,0039003800310046,Buy,8358金居,"4341","5615","1274"
元大證券,9800,元大-福營,0039003800310046,Buy,3661世芯-KY,"4029","7896","3867"
元大證券,9800,元大-福營,0039003800310046,Buy,8114振樺電,"3511","3941","430"
元大證券,9800,元大-福營,0039003800310046,Buy,2049上銀,"3290","4473","1183"
元大證券,9800,元大-福營,0039003800310046,Buy,2368金像電,"3203","6093","2890"
元大證券,9800,元大-福營,0039003800310046,Buy,5289宜鼎,"2796","8261","5465"
元大證券,9800,元大-福營,0039003800310046,Buy,5425台半,"2658","3505","847"
元大證券,9800,元大-福營,0039003800310046,Buy,2356英業達,"2651","4393","1742"
元大證券,9800,元大-福營,0039003800310046,Buy,6770力積電,"2534","12696","10162"
元大證券,9800,元大-福營,0039003800310046,Buy,2382廣達,"2294","2623","329"
元大證券,9800,元大-福營,0039003800310046,Buy,6753龍德造船,"2098","3104","1006"
元大證券,9800,元大-福營,0039003800310046,Buy,6472保瑞,"2084","2922","838"
元大證券,9800,元大-福營,0039003800310046,Buy,6409旭隼,"2015","2023","8"
元大證券,9800,元大-福營,0039003800310046,Buy,4916事欣科,"1981","2644","663"
元大證券,9800,元大-福營,0039003800310046,Buy,2316楠梓電,"1805","2659","854"
元大證券,9800,元大-福營,0039003800310046,Buy,00992A主動群益科技創新,"1731","1731","0"
元大證券,9800,元大-福營,0039003800310046,Buy,2439美律,"1691","1691","0"
元大證券,9800,元大-福營,0039003800310046,Buy,2363矽統,"1650","1887","237"
元大證券,9800,元大-福營,0039003800310046,Buy,6257矽格,"1639","1863","224"
元大證券,9800,元大-福營,0039003800310046,Buy,3029零壹,"1590","2006","416"
元大證券,9800,元大-福營,0039003800310046,Buy,6239力成,"1495","3500","2005"
元大證券,9800,元大-福營,0039003800310046,Buy,5269祥碩,"1445","1446","1"
元大證券,9800,元大-福營,0039003800310046,Buy,6805富世達,"1439","1439","0"
元大證券,9800,元大-福營,0039003800310046,Buy,1434福懋,"1405","1407","2"
元大證券,9800,元大-福營,0039003800310046,Buy,5371中光電,"1355","3593","2238"
元大證券,9800,元大-福營,0039003800310046,Buy,7828創新服務,"1346","3940","2594"
元大證券,9800,元大-福營,0039003800310046,Buy,2353宏碁,"1344","2060","716"
元大證券,9800,元大-福營,0039003800310046,Buy,7795長廣,"1301","1301","0"
元大證券,9800,元大-福營,0039003800310046,Buy,2630亞航,"1257","2057","800"
元大證券,9800,元大-福營,0039003800310046,Buy,4566時碩工業,"1191","1191","0"
元大證券,9800,元大-福營,0039003800310046,Buy,6446藥華藥,"1185","1185","0"
元大證券,9800,元大-福營,0039003800310046,Buy,3673TPK-KY,"1166","1569","403"
元大證券,9800,元大-福營,0039003800310046,Buy,00888永豐台灣ESG,"1154","1584","430"
元大證券,9800,元大-福營,0039003800310046,Buy,3260威剛,"1135","2297","1162"
元大證券,9800,元大-福營,0039003800310046,Buy,3189景碩,"1119","22905","21786"
元大證券,9800,元大-福營,0039003800310046,Buy,1232大統益,"1098","1098","0"
元大證券,9800,元大-福營,0039003800310046,Buy,3707漢磊,"1086","1154","68"
元大證券,9800,元大-福營,0039003800310046,Buy,5475德宏,"1078","1078","0"
元大證券,9800,元大-福營,0039003800310046,Buy,6187萬潤,"1075","1108","33"
元大證券,9800,元大-福營,0039003800310046,Buy,00981B第一金優選非投債,"1060","1060","0"
元大證券,9800,元大-福營,0039003800310046,Sell,3231緯創,"-12381","835","13216"
元大證券,9800,元大-福營,0039003800310046,Sell,2337旺宏,"-8630","933","9563"
元大證券,9800,元大-福營,0039003800310046,Sell,3711日月光投控,"-8036","4955","12991"
元大證券,9800,元大-福營,0039003800310046,Sell,2344華邦電,"-7299","19315","26614"
元大證券,9800,元大-福營,0039003800310046,Sell,6669緯穎,"-7118","93","7211"
元大證券,9800,元大-福營,0039003800310046,Sell,3037欣興,"-7064","6575","13639"
元大證券,9800,元大-福營,0039003800310046,Sell,3653健策,"-6908","3599","10507"
元大證券,9800,元大-福營,0039003800310046,Sell,009816凱基台灣TOP50,"-6254","181","6435"
元大證券,9800,元大-福營,0039003800310046,Sell,2376技嘉,"-5996","1644","7640"
