BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-鹿港,0039003800390053,Buy,2454聯發科,"24283","33606","9323"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2634漢翔,"12613","24310","11697"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2313華通,"5859","15322","9463"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6488環球晶,"4968","8784","3816"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1802台玻,"4525","4862","337"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6770力積電,"4393","22744","18351"
元大證券,9800,元大-鹿港,0039003800390053,Buy,7610聯友金屬-創,"4022","4022","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2327國巨*,"3937","41943","38006"
元大證券,9800,元大-鹿港,0039003800390053,Buy,3362先進光,"3928","3928","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,5439高技,"3795","3795","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,7722LINEPAY,"3698","3698","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,00929復華台灣科技優息,"3599","4481","882"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2481強茂,"3592","5477","1885"
元大證券,9800,元大-鹿港,0039003800390053,Buy,8150南茂,"2963","12337","9374"
元大證券,9800,元大-鹿港,0039003800390053,Buy,00981A主動統一台股增長,"2800","5883","3083"
元大證券,9800,元大-鹿港,0039003800390053,Buy,00896中信綠能及電動車,"2727","2732","5"
元大證券,9800,元大-鹿港,0039003800390053,Buy,4939亞電,"2506","10615","8109"
元大證券,9800,元大-鹿港,0039003800390053,Buy,00715L期街口布蘭特正2,"2355","2455","100"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2345智邦,"2329","4624","2295"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2382廣達,"1999","2395","396"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2385群光,"1937","1937","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2408南亞科,"1823","18248","16425"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2409友達,"1781","6827","5046"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1301台塑,"1769","6826","5057"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2478大毅,"1725","2315","590"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6213聯茂,"1651","7765","6114"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1216統一,"1618","2015","397"
元大證券,9800,元大-鹿港,0039003800390053,Buy,3189景碩,"1601","8261","6660"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1303南亞,"1586","16619","15033"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6177達麗,"1452","1452","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,5386青雲,"1448","1719","271"
元大證券,9800,元大-鹿港,0039003800390053,Buy,8042金山電,"1441","1712","271"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1563巧新,"1400","1523","123"
元大證券,9800,元大-鹿港,0039003800390053,Buy,4979華星光,"1369","2124","755"
元大證券,9800,元大-鹿港,0039003800390053,Buy,5425台半,"1338","1432","94"
元大證券,9800,元大-鹿港,0039003800390053,Buy,8028昇陽半導體,"1315","4192","2877"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6412群電,"1311","1402","91"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6188廣明,"1163","1163","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2485兆赫,"1124","1389","265"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6415矽力*-KY,"980","980","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,2406國碩,"952","1092","140"
元大證券,9800,元大-鹿港,0039003800390053,Buy,7714創泓科技,"929","1115","186"
元大證券,9800,元大-鹿港,0039003800390053,Buy,1718中纖,"852","1570","718"
元大證券,9800,元大-鹿港,0039003800390053,Buy,00632R元大台灣50反1,"803","1391","588"
元大證券,9800,元大-鹿港,0039003800390053,Buy,6243迅杰,"796","1108","312"
元大證券,9800,元大-鹿港,0039003800390053,Buy,8227巨有科技,"770","770","0"
元大證券,9800,元大-鹿港,0039003800390053,Buy,5371中光電,"751","2931","2180"
