BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-仁愛,9676,Buy,2330台積電,"106716","170574","63858"
富邦證券,9600,富邦-仁愛,9676,Buy,6456GIS-KY,"37770","39681","1911"
富邦證券,9600,富邦-仁愛,9676,Buy,3008大立光,"27970","29216","1246"
富邦證券,9600,富邦-仁愛,9676,Buy,2634漢翔,"24248","31919","7671"
富邦證券,9600,富邦-仁愛,9676,Buy,2327國巨*,"23026","101962","78936"
富邦證券,9600,富邦-仁愛,9676,Buy,6213聯茂,"21240","73608","52368"
富邦證券,9600,富邦-仁愛,9676,Buy,1303南亞,"21238","52544","31306"
富邦證券,9600,富邦-仁愛,9676,Buy,8996高力,"18800","19946","1146"
富邦證券,9600,富邦-仁愛,9676,Buy,4958臻鼎-KY,"15898","87858","71960"
富邦證券,9600,富邦-仁愛,9676,Buy,1477聚陽,"11007","11007","0"
富邦證券,9600,富邦-仁愛,9676,Buy,2368金像電,"10363","14266","3903"
富邦證券,9600,富邦-仁愛,9676,Buy,3653健策,"9823","17546","7723"
富邦證券,9600,富邦-仁愛,9676,Buy,2382廣達,"8508","27856","19348"
富邦證券,9600,富邦-仁愛,9676,Buy,3189景碩,"8399","33799","25400"
富邦證券,9600,富邦-仁愛,9676,Buy,8150南茂,"8112","35180","27068"
富邦證券,9600,富邦-仁愛,9676,Buy,3026禾伸堂,"7475","8156","681"
富邦證券,9600,富邦-仁愛,9676,Buy,6515穎崴,"6201","7152","951"
富邦證券,9600,富邦-仁愛,9676,Buy,6182合晶,"5928","23159","17231"
富邦證券,9600,富邦-仁愛,9676,Buy,009819中信數據及電力,"5919","6019","100"
富邦證券,9600,富邦-仁愛,9676,Buy,8046南電,"5856","22627","16771"
富邦證券,9600,富邦-仁愛,9676,Buy,6196帆宣,"5713","6867","1154"
富邦證券,9600,富邦-仁愛,9676,Buy,6488環球晶,"5667","21224","15557"
富邦證券,9600,富邦-仁愛,9676,Buy,3042晶技,"5247","7697","2450"
富邦證券,9600,富邦-仁愛,9676,Buy,2313華通,"5171","22413","17242"
