BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
聯邦商銀,8580,聯邦-嘉義,8582,Buy,8150南茂,"2166","2373","207"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6139亞翔,"1693","1693","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1519華城,"1402","1402","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6620漢達,"1317","1317","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1514亞力,"1085","1085","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2368金像電,"1079","2019","940"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,0050元大台灣50,"923","1307","384"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,00631L元大台灣50正2,"884","919","35"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2379瑞昱,"756","756","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2357華碩,"746","754","8"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3189景碩,"720","2355","1635"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6488環球晶,"631","631","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2454聯發科,"551","694","143"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2313華通,"424","2112","1688"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2317鴻海,"401","1271","870"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2303聯電,"395","1290","895"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,4979華星光,"388","764","376"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6770力積電,"369","3048","2679"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2610華航,"347","369","22"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3481群創,"325","3669","3344"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3479安勤,"323","323","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2327國巨*,"297","2947","2650"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2305全友,"292","361","69"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2472立隆電,"281","281","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2634漢翔,"275","610","335"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2359所羅門,"269","2105","1836"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3707漢磊,"267","471","204"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2408南亞科,"268","442","174"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1314中石化,"257","257","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3715定穎投控,"253","380","127"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1515力山,"252","252","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6282康舒,"249","249","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,009825聯邦美國金融創新,"237","247","10"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2104國際中橡,"212","212","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3141晶宏,"197","197","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6182合晶,"186","1090","904"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1301台塑,"181","194","13"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3363上詮,"178","178","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,8074鉅橡,"177","177","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,3042晶技,"176","176","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,009805台新美國電力基建,"163","163","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,4763材料*-KY,"155","155","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1216統一,"155","155","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2464盟立,"147","154","7"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,4908前鼎,"146","146","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1101台泥,"144","144","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2374佳能,"136","205","69"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,1717長興,"125","190","65"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,2108南帝,"112","112","0"
聯邦商銀,8580,聯邦-嘉義,8582,Buy,6584南俊國際,"112","112","0"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,2330台積電,"-24505","572","25077"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,2603長榮,"-8273","7","8280"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,6672騰輝電子-KY,"-4082","0","4082"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,2301光寶科,"-3911","216","4127"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,3706神達,"-2607","735","3342"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,2890永豐金,"-2320","80","2400"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,4958臻鼎-KY,"-2087","2248","4335"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,3374精材,"-2074","2121","4195"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,8028昇陽半導體,"-1238","0","1238"
聯邦商銀,8580,聯邦-嘉義,8582,Sell,6831邁科,"-1220","0","1220"
