BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
聯邦商銀,8580,聯邦-雙和,8584,Buy,8150南茂,"7242","9118","1876"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2330台積電,"6476","16270","9794"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2646星宇航空,"4951","4951","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3264欣銓,"4350","4350","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3661世芯-KY,"3656","3660","4"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6182合晶,"2620","6441","3821"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2313華通,"2340","2565","225"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8358金居,"2152","2152","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2634漢翔,"1742","2284","542"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2327國巨*,"1729","6683","4954"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8271宇瞻,"1633","1633","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8028昇陽半導體,"1544","1858","314"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6446藥華藥,"1310","1310","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3491昇達科,"1303","1303","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2303聯電,"1213","16417","15204"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2630亞航,"1152","1152","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3048益登,"1032","1032","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2368金像電,"998","998","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3576聯合再生,"947","1269","322"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2506太設,"832","832","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6770力積電,"709","6818","6109"
聯邦商銀,8580,聯邦-雙和,8584,Buy,5351鈺創,"606","986","380"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2395研華,"591","1204","613"
聯邦商銀,8580,聯邦-雙和,8584,Buy,4763材料*-KY,"567","567","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6265方土昶,"537","586","49"
聯邦商銀,8580,聯邦-雙和,8584,Buy,00685L群益臺灣加權正2,"524","570","46"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8033雷虎,"456","456","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,5371中光電,"432","1058","626"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6414樺漢,"430","1415","985"
聯邦商銀,8580,聯邦-雙和,8584,Buy,1503士電,"419","842","423"
聯邦商銀,8580,聯邦-雙和,8584,Buy,4991環宇-KY,"413","413","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8039台虹,"405","1574","1169"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2382廣達,"398","1093","695"
聯邦商銀,8580,聯邦-雙和,8584,Buy,4979華星光,"393","397","4"
聯邦商銀,8580,聯邦-雙和,8584,Buy,8299群聯,"386","408","22"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3413京鼎,"375","731","356"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6432今展科,"370","370","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3042晶技,"341","512","171"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6515穎崴,"319","6868","6549"
聯邦商銀,8580,聯邦-雙和,8584,Buy,00937B群益ESG投等債20,"316","316","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3017奇鋐,"293","7245","6952"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2354鴻準,"283","283","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,1714和桐,"263","435","172"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2027大成鋼,"259","439","180"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2890永豐金,"242","282","40"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6257矽格,"225","452","227"
聯邦商銀,8580,聯邦-雙和,8584,Buy,6416瑞祺電通,"217","217","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,7769鴻勁,"213","6650","6437"
聯邦商銀,8580,聯邦-雙和,8584,Buy,3268海德威,"206","206","0"
聯邦商銀,8580,聯邦-雙和,8584,Buy,2645長榮航太,"206","206","0"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2408南亞科,"-11252","9976","21228"
聯邦商銀,8580,聯邦-雙和,8584,Sell,1710東聯,"-9004","0","9004"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2454聯發科,"-8672","534","9206"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2451創見,"-5368","0","5368"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3665貿聯-KY,"-5148","63","5211"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3231緯創,"-3314","0","3314"
聯邦商銀,8580,聯邦-雙和,8584,Sell,1303南亞,"-3239","1166","4405"
聯邦商銀,8580,聯邦-雙和,8584,Sell,1301台塑,"-3065","385","3450"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3532台勝科,"-2908","0","2908"
聯邦商銀,8580,聯邦-雙和,8584,Sell,6274台燿,"-2714","0","2714"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2301光寶科,"-2712","0","2712"
聯邦商銀,8580,聯邦-雙和,8584,Sell,00663L國泰臺灣加權正2,"-2521","0","2521"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3189景碩,"-2507","0","2507"
聯邦商銀,8580,聯邦-雙和,8584,Sell,4958臻鼎-KY,"-2416","2815","5231"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2308台達電,"-2187","3888","6075"
聯邦商銀,8580,聯邦-雙和,8584,Sell,6217中探針,"-2130","90","2220"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3006晶豪科,"-2015","0","2015"
聯邦商銀,8580,聯邦-雙和,8584,Sell,0056元大高股息,"-1936","54","1990"
聯邦商銀,8580,聯邦-雙和,8584,Sell,5483中美晶,"-1928","234","2162"
聯邦商銀,8580,聯邦-雙和,8584,Sell,00403A主動統一升級50,"-1922","63","1985"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2377微星,"-1741","474","2215"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3105穩懋,"-1636","721","2357"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3037欣興,"-1595","1100","2695"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2317鴻海,"-1469","1526","2995"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3711日月光投控,"-1465","67","1532"
聯邦商銀,8580,聯邦-雙和,8584,Sell,1590亞德客-KY,"-1445","0","1445"
聯邦商銀,8580,聯邦-雙和,8584,Sell,5289宜鼎,"-1375","0","1375"
聯邦商銀,8580,聯邦-雙和,8584,Sell,6147頎邦,"-1320","189","1509"
聯邦商銀,8580,聯邦-雙和,8584,Sell,6239力成,"-1192","0","1192"
聯邦商銀,8580,聯邦-雙和,8584,Sell,5347世界,"-1189","170","1359"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2324仁寶,"-1142","73","1215"
聯邦商銀,8580,聯邦-雙和,8584,Sell,6834天二科技,"-1090","0","1090"
聯邦商銀,8580,聯邦-雙和,8584,Sell,1802台玻,"-1079","623","1702"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2344華邦電,"-1054","4142","5196"
聯邦商銀,8580,聯邦-雙和,8584,Sell,4768晶呈科技,"-930","0","930"
聯邦商銀,8580,聯邦-雙和,8584,Sell,2492華新科,"-900","0","900"
聯邦商銀,8580,聯邦-雙和,8584,Sell,8112至上,"-826","905","1731"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3374精材,"-822","392","1214"
聯邦商銀,8580,聯邦-雙和,8584,Sell,3481群創,"-794","3348","4142"
