BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-學甲,003900380033004b,Buy,2313華通,"18234","20394","2160"
元大證券,9800,元大-學甲,003900380033004b,Buy,5483中美晶,"11708","13011","1303"
元大證券,9800,元大-學甲,003900380033004b,Buy,6488環球晶,"9776","12151","2375"
元大證券,9800,元大-學甲,003900380033004b,Buy,6515穎崴,"6665","6665","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2408南亞科,"5042","23973","18931"
元大證券,9800,元大-學甲,003900380033004b,Buy,2327國巨*,"4608","17393","12785"
元大證券,9800,元大-學甲,003900380033004b,Buy,1303南亞,"4003","8282","4279"
元大證券,9800,元大-學甲,003900380033004b,Buy,2368金像電,"3823","3823","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2344華邦電,"3698","9870","6172"
元大證券,9800,元大-學甲,003900380033004b,Buy,8046南電,"2633","5241","2608"
元大證券,9800,元大-學甲,003900380033004b,Buy,2330台積電,"1928","2052","124"
元大證券,9800,元大-學甲,003900380033004b,Buy,7610聯友金屬-創,"1816","1816","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,5386青雲,"1731","1997","266"
元大證券,9800,元大-學甲,003900380033004b,Buy,4991環宇-KY,"1473","5977","4504"
元大證券,9800,元大-學甲,003900380033004b,Buy,3033威健,"1465","1565","100"
元大證券,9800,元大-學甲,003900380033004b,Buy,3167大量,"1393","2059","666"
元大證券,9800,元大-學甲,003900380033004b,Buy,3711日月光投控,"1328","1446","118"
元大證券,9800,元大-學甲,003900380033004b,Buy,8150南茂,"1307","4085","2778"
元大證券,9800,元大-學甲,003900380033004b,Buy,3149正達,"1210","1836","626"
元大證券,9800,元大-學甲,003900380033004b,Buy,8261富鼎,"1126","1126","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2377微星,"1015","7191","6176"
元大證券,9800,元大-學甲,003900380033004b,Buy,2317鴻海,"1013","4337","3324"
元大證券,9800,元大-學甲,003900380033004b,Buy,3105穩懋,"1010","8970","7960"
元大證券,9800,元大-學甲,003900380033004b,Buy,8222寶一,"953","953","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2481強茂,"862","1456","594"
元大證券,9800,元大-學甲,003900380033004b,Buy,2337旺宏,"856","2328","1472"
元大證券,9800,元大-學甲,003900380033004b,Buy,3037欣興,"795","5410","4615"
元大證券,9800,元大-學甲,003900380033004b,Buy,4958臻鼎-KY,"738","3824","3086"
元大證券,9800,元大-學甲,003900380033004b,Buy,4908前鼎,"735","1021","286"
元大證券,9800,元大-學甲,003900380033004b,Buy,2395研華,"711","711","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,3006晶豪科,"701","1117","416"
元大證券,9800,元大-學甲,003900380033004b,Buy,1810和成,"680","808","128"
元大證券,9800,元大-學甲,003900380033004b,Buy,2609陽明,"626","626","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,6213聯茂,"613","944","331"
元大證券,9800,元大-學甲,003900380033004b,Buy,0050元大台灣50,"550","911","361"
元大證券,9800,元大-學甲,003900380033004b,Buy,00712復華富時不動產,"535","535","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2493揚博,"505","505","0"
元大證券,9800,元大-學甲,003900380033004b,Buy,2536宏普,"505","542","37"
