BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-敦北,9237,Buy,4938和碩,"26071","27945","1874"
凱基,9200,凱基-敦北,9237,Buy,1303南亞,"5664","7475","1811"
凱基,9200,凱基-敦北,9237,Buy,2344華邦電,"5475","9817","4342"
凱基,9200,凱基-敦北,9237,Buy,3532台勝科,"5022","5468","446"
凱基,9200,凱基-敦北,9237,Buy,3008大立光,"4969","4969","0"
凱基,9200,凱基-敦北,9237,Buy,3661世芯-KY,"4320","4320","0"
凱基,9200,凱基-敦北,9237,Buy,6414樺漢,"3413","3413","0"
凱基,9200,凱基-敦北,9237,Buy,6239力成,"3377","16829","13452"
凱基,9200,凱基-敦北,9237,Buy,5388中磊,"2671","2760","89"
凱基,9200,凱基-敦北,9237,Buy,0050元大台灣50,"2563","3291","728"
凱基,9200,凱基-敦北,9237,Buy,5483中美晶,"2379","8799","6420"
凱基,9200,凱基-敦北,9237,Buy,00713元大台灣高息低波,"2071","2071","0"
凱基,9200,凱基-敦北,9237,Buy,2412中華電,"2063","2063","0"
凱基,9200,凱基-敦北,9237,Buy,8046南電,"1872","2678","806"
凱基,9200,凱基-敦北,9237,Buy,006208富邦台50,"1649","1658","9"
凱基,9200,凱基-敦北,9237,Buy,8050廣積,"1511","1511","0"
凱基,9200,凱基-敦北,9237,Buy,5533皇鼎,"1280","1280","0"
凱基,9200,凱基-敦北,9237,Buy,3605宏致,"1202","1387","185"
凱基,9200,凱基-敦北,9237,Buy,6104創惟,"1126","1126","0"
凱基,9200,凱基-敦北,9237,Buy,3706神達,"1106","1106","0"
凱基,9200,凱基-敦北,9237,Buy,00631L元大台灣50正2,"1060","1494","434"
凱基,9200,凱基-敦北,9237,Buy,2455全新,"1016","1714","698"
凱基,9200,凱基-敦北,9237,Buy,6138茂達,"999","999","0"
凱基,9200,凱基-敦北,9237,Buy,8064東捷,"979","1207","228"
凱基,9200,凱基-敦北,9237,Buy,00888永豐台灣ESG,"949","949","0"
凱基,9200,凱基-敦北,9237,Buy,4908前鼎,"909","909","0"
凱基,9200,凱基-敦北,9237,Buy,2481強茂,"888","1034","146"
凱基,9200,凱基-敦北,9237,Buy,00772B中信高評級公司債,"836","836","0"
凱基,9200,凱基-敦北,9237,Buy,3105穩懋,"773","773","0"
凱基,9200,凱基-敦北,9237,Buy,6213聯茂,"747","1946","1199"
凱基,9200,凱基-敦北,9237,Buy,1519華城,"722","2140","1418"
凱基,9200,凱基-敦北,9237,Buy,8150南茂,"708","1511","803"
凱基,9200,凱基-敦北,9237,Buy,8131福懋科,"694","694","0"
凱基,9200,凱基-敦北,9237,Buy,2382廣達,"685","1369","684"
凱基,9200,凱基-敦北,9237,Buy,1710東聯,"518","518","0"
凱基,9200,凱基-敦北,9237,Buy,6933AMAX-KY,"511","511","0"
凱基,9200,凱基-敦北,9237,Buy,6811宏碁資訊,"500","500","0"
凱基,9200,凱基-敦北,9237,Buy,7744崴寶,"425","425","0"
凱基,9200,凱基-敦北,9237,Buy,3481群創,"418","897","479"
凱基,9200,凱基-敦北,9237,Buy,6472保瑞,"411","411","0"
凱基,9200,凱基-敦北,9237,Buy,6994富威電力,"405","405","0"
凱基,9200,凱基-敦北,9237,Buy,2484希華,"378","378","0"
凱基,9200,凱基-敦北,9237,Buy,3576聯合再生,"377","431","54"
凱基,9200,凱基-敦北,9237,Buy,6147頎邦,"374","374","0"
凱基,9200,凱基-敦北,9237,Buy,3413京鼎,"343","343","0"
凱基,9200,凱基-敦北,9237,Buy,7814海昌生技,"320","320","0"
凱基,9200,凱基-敦北,9237,Buy,1718中纖,"318","318","0"
凱基,9200,凱基-敦北,9237,Buy,00929復華台灣科技優息,"314","346","32"
凱基,9200,凱基-敦北,9237,Buy,00719B元大美債1-3,"314","314","0"
凱基,9200,凱基-敦北,9237,Buy,2889國票金,"313","470","157"
凱基,9200,凱基-敦北,9237,Sell,1326台化,"-20133","5316","25449"
凱基,9200,凱基-敦北,9237,Sell,6223旺矽,"-18938","0","18938"
凱基,9200,凱基-敦北,9237,Sell,6727亞泰金屬,"-11468","0","11468"
凱基,9200,凱基-敦北,9237,Sell,2308台達電,"-9816","217","10033"
凱基,9200,凱基-敦北,9237,Sell,4958臻鼎-KY,"-9534","22265","31799"
凱基,9200,凱基-敦北,9237,Sell,3017奇鋐,"-7501","2829","10330"
凱基,9200,凱基-敦北,9237,Sell,3653健策,"-7234","4121","11355"
凱基,9200,凱基-敦北,9237,Sell,2454聯發科,"-6427","8849","15276"
凱基,9200,凱基-敦北,9237,Sell,2492華新科,"-5010","14","5024"
凱基,9200,凱基-敦北,9237,Sell,1301台塑,"-4857","3037","7894"
凱基,9200,凱基-敦北,9237,Sell,3231緯創,"-3322","7855","11177"
凱基,9200,凱基-敦北,9237,Sell,7734印能科技,"-3309","0","3309"
凱基,9200,凱基-敦北,9237,Sell,9914美利達,"-3128","0","3128"
凱基,9200,凱基-敦北,9237,Sell,6285啟碁,"-2605","0","2605"
凱基,9200,凱基-敦北,9237,Sell,3189景碩,"-2540","940","3480"
凱基,9200,凱基-敦北,9237,Sell,5274信驊,"-2468","0","2468"
凱基,9200,凱基-敦北,9237,Sell,6182合晶,"-2201","8664","10865"
凱基,9200,凱基-敦北,9237,Sell,3037欣興,"-2034","5686","7720"
凱基,9200,凱基-敦北,9237,Sell,2408南亞科,"-1868","13600","15468"
凱基,9200,凱基-敦北,9237,Sell,6505台塑化,"-1708","467","2175"
凱基,9200,凱基-敦北,9237,Sell,3081聯亞,"-1670","0","1670"
凱基,9200,凱基-敦北,9237,Sell,6278台表科,"-1666","0","1666"
凱基,9200,凱基-敦北,9237,Sell,6834天二科技,"-1493","0","1493"
凱基,9200,凱基-敦北,9237,Sell,6770力積電,"-1360","610","1970"
凱基,9200,凱基-敦北,9237,Sell,3149正達,"-1360","0","1360"
凱基,9200,凱基-敦北,9237,Sell,1513中興電,"-1295","163","1458"
凱基,9200,凱基-敦北,9237,Sell,2303聯電,"-1280","3286","4566"
凱基,9200,凱基-敦北,9237,Sell,00935野村臺灣新科技50,"-1264","0","1264"
凱基,9200,凱基-敦北,9237,Sell,7610聯友金屬-創,"-1258","2","1260"
凱基,9200,凱基-敦北,9237,Sell,2425承啟,"-1160","0","1160"
凱基,9200,凱基-敦北,9237,Sell,6488環球晶,"-1132","61","1193"
凱基,9200,凱基-敦北,9237,Sell,2337旺宏,"-1127","2623","3750"
凱基,9200,凱基-敦北,9237,Sell,6141柏承,"-1016","0","1016"
凱基,9200,凱基-敦北,9237,Sell,8033雷虎,"-946","0","946"
凱基,9200,凱基-敦北,9237,Sell,00675L富邦臺灣加權正2,"-916","0","916"
凱基,9200,凱基-敦北,9237,Sell,2409友達,"-852","1326","2178"
凱基,9200,凱基-敦北,9237,Sell,6944兆聯實業,"-778","16","794"
凱基,9200,凱基-敦北,9237,Sell,3163波若威,"-727","46","773"
凱基,9200,凱基-敦北,9237,Sell,8043蜜望實,"-725","146","871"
凱基,9200,凱基-敦北,9237,Sell,2317鴻海,"-711","4113","4824"
凱基,9200,凱基-敦北,9237,Sell,2313華通,"-701","645","1346"
凱基,9200,凱基-敦北,9237,Sell,2316楠梓電,"-700","498","1198"
凱基,9200,凱基-敦北,9237,Sell,1810和成,"-674","96","770"
凱基,9200,凱基-敦北,9237,Sell,3293鈊象,"-646","72","718"
凱基,9200,凱基-敦北,9237,Sell,3711日月光投控,"-637","20","657"
凱基,9200,凱基-敦北,9237,Sell,3702大聯大,"-626","0","626"
凱基,9200,凱基-敦北,9237,Sell,3036文曄,"-614","0","614"
凱基,9200,凱基-敦北,9237,Sell,00830國泰費城半導體,"-592","36","628"
凱基,9200,凱基-敦北,9237,Sell,8383千附,"-583","261","844"
凱基,9200,凱基-敦北,9237,Sell,2467志聖,"-520","547","1067"
