BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
玉山證券,8840,玉山證券,8840,Buy,2330台積電,"246794","302511","55717"
玉山證券,8840,玉山證券,8840,Buy,6274台燿,"115297","130023","14726"
玉山證券,8840,玉山證券,8840,Buy,2308台達電,"113966","124970","11004"
玉山證券,8840,玉山證券,8840,Buy,4979華星光,"113831","123477","9646"
玉山證券,8840,玉山證券,8840,Buy,3037欣興,"99364","131390","32026"
玉山證券,8840,玉山證券,8840,Buy,1560中砂,"91036","91037","1"
玉山證券,8840,玉山證券,8840,Buy,1303南亞,"61709","124777","63068"
玉山證券,8840,玉山證券,8840,Buy,2408南亞科,"57259","120400","63141"
玉山證券,8840,玉山證券,8840,Buy,00675L富邦臺灣加權正2,"51684","51684","0"
玉山證券,8840,玉山證券,8840,Buy,6239力成,"51255","63265","12010"
玉山證券,8840,玉山證券,8840,Buy,6488環球晶,"49302","57954","8652"
玉山證券,8840,玉山證券,8840,Buy,5274信驊,"30835","31671","836"
玉山證券,8840,玉山證券,8840,Buy,6223旺矽,"30716","31976","1260"
玉山證券,8840,玉山證券,8840,Buy,4958臻鼎-KY,"29348","62030","32682"
玉山證券,8840,玉山證券,8840,Buy,2344華邦電,"26617","44880","18263"
玉山證券,8840,玉山證券,8840,Buy,3532台勝科,"26245","30340","4095"
玉山證券,8840,玉山證券,8840,Buy,6213聯茂,"14758","39325","24567"
玉山證券,8840,玉山證券,8840,Buy,8039台虹,"13268","35222","21954"
玉山證券,8840,玉山證券,8840,Buy,5483中美晶,"10443","21338","10895"
玉山證券,8840,玉山證券,8840,Buy,3661世芯-KY,"10172","20718","10546"
玉山證券,8840,玉山證券,8840,Buy,7610聯友金屬-創,"10013","12471","2458"
玉山證券,8840,玉山證券,8840,Buy,00888永豐台灣ESG,"8995","9290","295"
玉山證券,8840,玉山證券,8840,Buy,3711日月光投控,"8302","15756","7454"
玉山證券,8840,玉山證券,8840,Buy,6214精誠,"7300","7300","0"
玉山證券,8840,玉山證券,8840,Buy,6805富世達,"7125","11778","4653"
玉山證券,8840,玉山證券,8840,Buy,2481強茂,"6317","15584","9267"
玉山證券,8840,玉山證券,8840,Buy,1710東聯,"6232","6780","548"
玉山證券,8840,玉山證券,8840,Buy,6138茂達,"6215","6215","0"
玉山證券,8840,玉山證券,8840,Buy,8021尖點,"5844","11755","5911"
玉山證券,8840,玉山證券,8840,Buy,2890永豐金,"5565","6004","439"
玉山證券,8840,玉山證券,8840,Buy,9939宏全,"5523","5914","391"
玉山證券,8840,玉山證券,8840,Buy,2382廣達,"5086","11297","6211"
玉山證券,8840,玉山證券,8840,Buy,8046南電,"4992","46428","41436"
玉山證券,8840,玉山證券,8840,Buy,4971IET-KY,"4925","5804","879"
玉山證券,8840,玉山證券,8840,Buy,00403A主動統一升級50,"4685","7356","2671"
