BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2330台積電,"6460","9089","2629"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,4958臻鼎-KY,"5924","7008","1084"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,5483中美晶,"5117","6005","888"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,1303南亞,"4944","17317","12373"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2345智邦,"4557","4655","98"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,4939亞電,"4515","5749","1234"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3673TPK-KY,"3812","3944","132"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2359所羅門,"3679","3834","155"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,6213聯茂,"3446","4814","1368"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2408南亞科,"3395","42124","38729"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2337旺宏,"2814","3719","905"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2327國巨*,"2504","11896","9392"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,6625必應,"2331","2331","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3481群創,"2331","4429","2098"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2360致茂,"2150","2150","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,6861睿生光電,"2125","2125","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2890永豐金,"2101","2139","38"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2481強茂,"2095","3404","1309"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2382廣達,"1996","1999","3"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,1810和成,"1681","1931","250"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2402毅嘉,"1645","1645","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3594磐儀,"1552","2663","1111"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3260威剛,"1472","1547","75"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,5289宜鼎,"1337","4115","2778"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,6442光聖,"1331","2791","1460"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,6770力積電,"1306","3309","2003"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3711日月光投控,"1297","2618","1321"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,1718中纖,"1248","1366","118"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3006晶豪科,"1247","1247","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,3044健鼎,"1236","1236","0"
群益金鼎,9100,群益金鼎-丹鳳,0039003100380073,Buy,2002中鋼,"1160","2271","1111"
