BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-台中,8882,Buy,2330台積電,"167964","226058","58094"
國泰證券,8880,國泰-台中,8882,Buy,0050元大台灣50,"55487","78276","22789"
國泰證券,8880,國泰-台中,8882,Buy,2408南亞科,"54933","234186","179253"
國泰證券,8880,國泰-台中,8882,Buy,6488環球晶,"38031","66811","28780"
國泰證券,8880,國泰-台中,8882,Buy,2303聯電,"30546","74863","44317"
國泰證券,8880,國泰-台中,8882,Buy,2344華邦電,"29460","134648","105188"
國泰證券,8880,國泰-台中,8882,Buy,8046南電,"29280","90589","61309"
國泰證券,8880,國泰-台中,8882,Buy,00631L元大台灣50正2,"27770","64376","36606"
國泰證券,8880,國泰-台中,8882,Buy,00888永豐台灣ESG,"27427","28570","1143"
國泰證券,8880,國泰-台中,8882,Buy,6770力積電,"26372","61530","35158"
國泰證券,8880,國泰-台中,8882,Buy,00685L群益臺灣加權正2,"23819","43806","19987"
國泰證券,8880,國泰-台中,8882,Buy,3711日月光投控,"23563","42584","19021"
國泰證券,8880,國泰-台中,8882,Buy,2308台達電,"22881","55022","32141"
國泰證券,8880,國泰-台中,8882,Buy,1303南亞,"19761","45510","25749"
國泰證券,8880,國泰-台中,8882,Buy,3189景碩,"18207","69647","51440"
國泰證券,8880,國泰-台中,8882,Buy,00981A主動統一台股增長,"18194","31906","13712"
國泰證券,8880,國泰-台中,8882,Buy,00403A主動統一升級50,"17128","21082","3954"
國泰證券,8880,國泰-台中,8882,Buy,2327國巨*,"16074","141355","125281"
國泰證券,8880,國泰-台中,8882,Buy,3163波若威,"14865","54797","39932"
國泰證券,8880,國泰-台中,8882,Buy,3037欣興,"14418","119627","105209"
國泰證券,8880,國泰-台中,8882,Buy,6213聯茂,"14413","44478","30065"
國泰證券,8880,國泰-台中,8882,Buy,00991A主動復華未來50,"13433","17394","3961"
國泰證券,8880,國泰-台中,8882,Buy,3374精材,"13085","49020","35935"
國泰證券,8880,國泰-台中,8882,Buy,3491昇達科,"13040","14529","1489"
國泰證券,8880,國泰-台中,8882,Buy,1326台化,"12441","23818","11377"
國泰證券,8880,國泰-台中,8882,Buy,3450聯鈞,"12299","71038","58739"
國泰證券,8880,國泰-台中,8882,Buy,2454聯發科,"11725","114596","102871"
國泰證券,8880,國泰-台中,8882,Buy,00406A主動中信台灣收益,"11686","12129","443"
國泰證券,8880,國泰-台中,8882,Buy,2313華通,"11408","22839","11431"
國泰證券,8880,國泰-台中,8882,Buy,8299群聯,"11271","34857","23586"
國泰證券,8880,國泰-台中,8882,Buy,009816凱基台灣TOP50,"10387","14367","3980"
國泰證券,8880,國泰-台中,8882,Buy,2449京元電子,"10290","15681","5391"
國泰證券,8880,國泰-台中,8882,Buy,2337旺宏,"10065","24401","14336"
國泰證券,8880,國泰-台中,8882,Buy,6223旺矽,"10010","28199","18189"
國泰證券,8880,國泰-台中,8882,Buy,6505台塑化,"9554","51683","42129"
國泰證券,8880,國泰-台中,8882,Buy,4991環宇-KY,"8306","39114","30808"
國泰證券,8880,國泰-台中,8882,Buy,6409旭隼,"8191","10368","2177"
國泰證券,8880,國泰-台中,8882,Buy,6187萬潤,"8131","14968","6837"
國泰證券,8880,國泰-台中,8882,Buy,7769鴻勁,"7448","7794","346"
國泰證券,8880,國泰-台中,8882,Buy,5289宜鼎,"7166","19883","12717"
國泰證券,8880,國泰-台中,8882,Buy,00663L國泰臺灣加權正2,"6677","11330","4653"
國泰證券,8880,國泰-台中,8882,Buy,3081聯亞,"6296","73815","67519"
國泰證券,8880,國泰-台中,8882,Buy,3653健策,"6235","14852","8617"
國泰證券,8880,國泰-台中,8882,Buy,3008大立光,"6129","21125","14996"
國泰證券,8880,國泰-台中,8882,Buy,3587閎康,"5798","6078","280"
國泰證券,8880,國泰-台中,8882,Buy,00988A主動統一全球創新,"5711","7656","1945"
國泰證券,8880,國泰-台中,8882,Buy,00405A主動富邦台灣龍耀,"5578","7040","1462"
國泰證券,8880,國泰-台中,8882,Buy,2317鴻海,"5553","20802","15249"
國泰證券,8880,國泰-台中,8882,Buy,8021尖點,"5523","14830","9307"
國泰證券,8880,國泰-台中,8882,Buy,006208富邦台50,"5520","6263","743"
國泰證券,8880,國泰-台中,8882,Sell,3231緯創,"-63989","136253","200242"
國泰證券,8880,國泰-台中,8882,Sell,6669緯穎,"-49153","12500","61653"
國泰證券,8880,國泰-台中,8882,Sell,2615萬海,"-15111","3073","18184"
國泰證券,8880,國泰-台中,8882,Sell,8039台虹,"-12024","80743","92767"
國泰證券,8880,國泰-台中,8882,Sell,3260威剛,"-11869","16225","28094"
國泰證券,8880,國泰-台中,8882,Sell,4958臻鼎-KY,"-11412","85830","97242"
國泰證券,8880,國泰-台中,8882,Sell,6446藥華藥,"-9227","2643","11870"
國泰證券,8880,國泰-台中,8882,Sell,5483中美晶,"-8711","22741","31452"
國泰證券,8880,國泰-台中,8882,Sell,2376技嘉,"-8131","2066","10197"
國泰證券,8880,國泰-台中,8882,Sell,3665貿聯-KY,"-7872","14792","22664"
國泰證券,8880,國泰-台中,8882,Sell,00918大華優利高填息30,"-7805","419","8224"
國泰證券,8880,國泰-台中,8882,Sell,2609陽明,"-7688","2109","9797"
國泰證券,8880,國泰-台中,8882,Sell,00632R元大台灣50反1,"-7456","13500","20956"
國泰證券,8880,國泰-台中,8882,Sell,6139亞翔,"-6713","35895","42608"
國泰證券,8880,國泰-台中,8882,Sell,2002中鋼,"-6406","274","6680"
國泰證券,8880,國泰-台中,8882,Sell,2603長榮,"-6271","1004","7275"
國泰證券,8880,國泰-台中,8882,Sell,2360致茂,"-6188","8632","14820"
國泰證券,8880,國泰-台中,8882,Sell,2383台光電,"-5687","5110","10797"
國泰證券,8880,國泰-台中,8882,Sell,4979華星光,"-5359","51306","56665"
國泰證券,8880,國泰-台中,8882,Sell,3430奇鈦科,"-3892","259","4151"
國泰證券,8880,國泰-台中,8882,Sell,4707磐亞,"-3467","590","4057"
國泰證券,8880,國泰-台中,8882,Sell,2492華新科,"-3412","1634","5046"
國泰證券,8880,國泰-台中,8882,Sell,00919群益台灣精選高息,"-3217","4471","7688"
國泰證券,8880,國泰-台中,8882,Sell,3149正達,"-2999","2359","5358"
國泰證券,8880,國泰-台中,8882,Sell,3693營邦,"-2994","1583","4577"
國泰證券,8880,國泰-台中,8882,Sell,1519華城,"-2779","1700","4479"
國泰證券,8880,國泰-台中,8882,Sell,6414樺漢,"-2628","12016","14644"
國泰證券,8880,國泰-台中,8882,Sell,9925新保,"-2505","50","2555"
國泰證券,8880,國泰-台中,8882,Sell,2356英業達,"-2456","13513","15969"
國泰證券,8880,國泰-台中,8882,Sell,2887台新新光金,"-2322","3711","6033"
國泰證券,8880,國泰-台中,8882,Sell,3324雙鴻,"-2289","18228","20517"
國泰證券,8880,國泰-台中,8882,Sell,8112至上,"-2259","7673","9932"
國泰證券,8880,國泰-台中,8882,Sell,3023信邦,"-2240","1357","3597"
國泰證券,8880,國泰-台中,8882,Sell,6903巨漢,"-2173","1094","3267"
國泰證券,8880,國泰-台中,8882,Sell,7734印能科技,"-2171","922","3093"
國泰證券,8880,國泰-台中,8882,Sell,3034聯詠,"-2121","3880","6001"
國泰證券,8880,國泰-台中,8882,Sell,5876上海商銀,"-2119","342","2461"
國泰證券,8880,國泰-台中,8882,Sell,9939宏全,"-2085","130","2215"
