BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2330台積電,"57333","63193","5860"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,0050元大台灣50,"25967","29244","3277"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2303聯電,"16804","25735","8931"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,8271宇瞻,"16076","17578","1502"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,8299群聯,"12701","20939","8238"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00888永豐台灣ESG,"12311","12658","347"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00631L元大台灣50正2,"11974","27409","15435"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6139亞翔,"11915","19298","7383"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2408南亞科,"8975","35358","26383"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3163波若威,"8394","19658","11264"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,8358金居,"8086","11583","3497"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2454聯發科,"7152","28645","21493"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6770力積電,"7112","10782","3670"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00685L群益臺灣加權正2,"6844","18042","11198"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6515穎崴,"6576","6589","13"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3413京鼎,"6245","7233","988"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6213聯茂,"5910","12660","6750"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,4958臻鼎-KY,"5765","19659","13894"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,5289宜鼎,"5586","9855","4269"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3532台勝科,"5278","7074","1796"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00981A主動統一台股增長,"5129","17680","12551"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,009816凱基台灣TOP50,"4966","5483","517"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6442光聖,"4624","9215","4591"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2379瑞昱,"4604","6135","1531"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2308台達電,"4483","9441","4958"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2317鴻海,"4481","7349","2868"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2313華通,"4246","5328","1082"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6531愛普*,"4229","6896","2667"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3665貿聯-KY,"4001","10043","6042"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6285啟碁,"3586","4381","795"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3135凌航,"3473","4118","645"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6488環球晶,"3433","9281","5848"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00670L富邦NASDAQ正2,"3401","3401","0"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00662富邦NASDAQ,"3392","3747","355"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,5347世界,"3314","4422","1108"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,8039台虹,"3182","11036","7854"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3450聯鈞,"3139","7649","4510"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00991A主動復華未來50,"3072","3508","436"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6805富世達,"3022","4477","1455"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6147頎邦,"3004","3096","92"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3149正達,"2727","3280","553"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,00406A主動中信台灣收益,"2657","2657","0"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,8150南茂,"2563","4580","2017"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,4979華星光,"2480","8375","5895"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,0052富邦科技,"2400","2504","104"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6187萬潤,"2395","2395","0"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6274台燿,"2236","4772","2536"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,3711日月光投控,"2200","6966","4766"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,2383台光電,"2098","2224","126"
永豐金,9A00,永豐金-竹科,0039004100390058,Buy,6944兆聯實業,"2053","2557","504"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3037欣興,"-101480","15168","116648"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3231緯創,"-17090","22127","39217"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2337旺宏,"-11639","4274","15913"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2451創見,"-11243","2436","13679"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6223旺矽,"-7879","1674","9553"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,8046南電,"-7860","6830","14690"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2603長榮,"-7325","220","7545"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3661世芯-KY,"-7048","407","7455"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3016嘉晶,"-5881","795","6676"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2634漢翔,"-5670","3865","9535"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3443創意,"-3620","666","4286"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,5876上海商銀,"-3362","0","3362"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,9921巨大,"-3132","84","3216"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3324雙鴻,"-2874","4993","7867"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,4908前鼎,"-2675","0","2675"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2605新興,"-2640","657","3297"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3017奇鋐,"-2624","5299","7923"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,00878國泰永續高股息,"-2600","821","3421"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3481群創,"-2518","12784","15302"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2233宇隆,"-2511","628","3139"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2377微星,"-2408","6202","8610"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6415矽力*-KY,"-2367","485","2852"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2801彰銀,"-2315","0","2315"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2606裕民,"-2308","0","2308"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,4749新應材,"-2280","158","2438"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6669緯穎,"-2178","6662","8840"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2409友達,"-2130","1031","3161"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2344華邦電,"-2038","23606","25644"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,9914美利達,"-1978","0","1978"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3715定穎投控,"-1914","81","1995"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3131弘塑,"-1848","1341","3189"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2103台橡,"-1798","28","1826"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6901鑽石投資,"-1738","19","1757"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2332友訊,"-1674","823","2497"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2327國巨*,"-1617","16391","18008"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2368金像電,"-1524","4860","6384"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,00918大華優利高填息30,"-1519","34","1553"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,1711永光,"-1487","145","1632"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,00919群益台灣精選高息,"-1441","1169","2610"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2356英業達,"-1427","2747","4174"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,8064東捷,"-1396","0","1396"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6207雷科,"-1388","251","1639"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6670復盛應用,"-1343","0","1343"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,3260威剛,"-1331","5158","6489"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2615萬海,"-1274","85","1359"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,2609陽明,"-1256","54","1310"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,5475德宏,"-1131","293","1424"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,00712復華富時不動產,"-1078","52","1130"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,6196帆宣,"-1056","3","1059"
永豐金,9A00,永豐金-竹科,0039004100390058,Sell,5483中美晶,"-1016","2909","3925"
