BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2330台積電,"26302","35839","9537"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3036文曄,"23070","23892","822"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2344華邦電,"21964","32880","10916"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,6223旺矽,"18410","18416","6"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,1303南亞,"7813","8606","793"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,00888永豐台灣ESG,"7004","7004","0"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2308台達電,"6824","8798","1974"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,00631L元大台灣50正2,"6729","8932","2203"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3081聯亞,"5321","13419","8098"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2408南亞科,"5045","10820","5775"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,0050元大台灣50,"4794","5845","1051"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2383台光電,"4711","9772","5061"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,0056元大高股息,"4707","4707","0"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3653健策,"4351","4351","0"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3443創意,"3965","4309","344"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,4770上品,"3888","3888","0"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3189景碩,"3883","3887","4"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2303聯電,"3749","5335","1586"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2451創見,"3692","4481","789"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2453凌群,"3473","3476","3"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,3711日月光投控,"3158","7594","4436"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,2327國巨*,"2841","16284","13443"
群益金鼎,9100,群益金鼎-敦南,9101,Buy,6213聯茂,"2604","2950","346"
