BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-苗栗,9276,Buy,2327國巨*,"2376","5012","2636"
凱基,9200,凱基-苗栗,9276,Buy,8299群聯,"2000","2000","0"
凱基,9200,凱基-苗栗,9276,Buy,6139亞翔,"1937","1937","0"
凱基,9200,凱基-苗栗,9276,Buy,2303聯電,"1867","3347","1480"
凱基,9200,凱基-苗栗,9276,Buy,3374精材,"1466","2839","1373"
凱基,9200,凱基-苗栗,9276,Buy,6805富世達,"1405","1405","0"
凱基,9200,凱基-苗栗,9276,Buy,5328華容,"1364","2152","788"
凱基,9200,凱基-苗栗,9276,Buy,6274台燿,"1255","1255","0"
凱基,9200,凱基-苗栗,9276,Buy,6770力積電,"1238","1268","30"
凱基,9200,凱基-苗栗,9276,Buy,6213聯茂,"1203","2117","914"
凱基,9200,凱基-苗栗,9276,Buy,2454聯發科,"1141","1669","528"
凱基,9200,凱基-苗栗,9276,Buy,8996高力,"990","990","0"
凱基,9200,凱基-苗栗,9276,Buy,6414樺漢,"943","943","0"
凱基,9200,凱基-苗栗,9276,Buy,5351鈺創,"831","915","84"
凱基,9200,凱基-苗栗,9276,Buy,0050元大台灣50,"825","1097","272"
凱基,9200,凱基-苗栗,9276,Buy,6944兆聯實業,"814","814","0"
凱基,9200,凱基-苗栗,9276,Buy,1314中石化,"799","1788","989"
凱基,9200,凱基-苗栗,9276,Buy,6239力成,"789","817","28"
凱基,9200,凱基-苗栗,9276,Buy,2357華碩,"744","745","1"
凱基,9200,凱基-苗栗,9276,Buy,00406A主動中信台灣收益,"732","732","0"
凱基,9200,凱基-苗栗,9276,Buy,6432今展科,"730","1255","525"
凱基,9200,凱基-苗栗,9276,Buy,4979華星光,"707","886","179"
凱基,9200,凱基-苗栗,9276,Buy,4958臻鼎-KY,"677","1404","727"
凱基,9200,凱基-苗栗,9276,Buy,5904寶雅,"673","673","0"
凱基,9200,凱基-苗栗,9276,Buy,2434統懋,"599","599","0"
凱基,9200,凱基-苗栗,9276,Buy,3339泰谷,"575","575","0"
凱基,9200,凱基-苗栗,9276,Buy,4534慶騰,"567","796","229"
凱基,9200,凱基-苗栗,9276,Buy,2464盟立,"554","554","0"
凱基,9200,凱基-苗栗,9276,Buy,1303南亞,"502","1880","1378"
凱基,9200,凱基-苗栗,9276,Buy,2344華邦電,"469","2176","1707"
凱基,9200,凱基-苗栗,9276,Buy,2313華通,"401","401","0"
凱基,9200,凱基-苗栗,9276,Buy,6505台塑化,"400","639","239"
凱基,9200,凱基-苗栗,9276,Buy,6715嘉基,"396","396","0"
凱基,9200,凱基-苗栗,9276,Buy,6668中揚光,"394","429","35"
凱基,9200,凱基-苗栗,9276,Buy,8038長園科,"390","390","0"
凱基,9200,凱基-苗栗,9276,Buy,6664群翊,"355","355","0"
凱基,9200,凱基-苗栗,9276,Buy,1301台塑,"353","484","131"
凱基,9200,凱基-苗栗,9276,Buy,3037欣興,"343","1714","1371"
凱基,9200,凱基-苗栗,9276,Buy,6147頎邦,"337","636","299"
凱基,9200,凱基-苗栗,9276,Buy,2393億光,"323","323","0"
凱基,9200,凱基-苗栗,9276,Buy,8111立碁,"316","510","194"
凱基,9200,凱基-苗栗,9276,Buy,2382廣達,"313","350","37"
