BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-林口,9257,Buy,2330台積電,"39757","47799","8042"
凱基,9200,凱基-林口,9257,Buy,0050元大台灣50,"21848","28344","6496"
凱基,9200,凱基-林口,9257,Buy,3037欣興,"14278","16978","2700"
凱基,9200,凱基-林口,9257,Buy,2408南亞科,"13707","14651","944"
凱基,9200,凱基-林口,9257,Buy,0056元大高股息,"9692","10179","487"
凱基,9200,凱基-林口,9257,Buy,2454聯發科,"9060","19301","10241"
凱基,9200,凱基-林口,9257,Buy,2308台達電,"8829","24808","15979"
凱基,9200,凱基-林口,9257,Buy,8358金居,"8051","8068","17"
凱基,9200,凱基-林口,9257,Buy,6691洋基工程,"6684","7336","652"
凱基,9200,凱基-林口,9257,Buy,2303聯電,"5427","6112","685"
凱基,9200,凱基-林口,9257,Buy,00685L群益臺灣加權正2,"4737","7353","2616"
凱基,9200,凱基-林口,9257,Buy,3481群創,"4644","7826","3182"
凱基,9200,凱基-林口,9257,Buy,2327國巨*,"4462","27632","23170"
凱基,9200,凱基-林口,9257,Buy,009816凱基台灣TOP50,"4130","4552","422"
凱基,9200,凱基-林口,9257,Buy,2344華邦電,"4116","4548","432"
凱基,9200,凱基-林口,9257,Buy,00403A主動統一升級50,"3771","4884","1113"
凱基,9200,凱基-林口,9257,Buy,5289宜鼎,"3753","3753","0"
凱基,9200,凱基-林口,9257,Buy,4958臻鼎-KY,"3604","4901","1297"
凱基,9200,凱基-林口,9257,Buy,00878國泰永續高股息,"3481","4239","758"
凱基,9200,凱基-林口,9257,Buy,2317鴻海,"3326","7909","4583"
凱基,9200,凱基-林口,9257,Buy,00981A主動統一台股增長,"2820","3241","421"
凱基,9200,凱基-林口,9257,Buy,00919群益台灣精選高息,"2805","3820","1015"
凱基,9200,凱基-林口,9257,Buy,3105穩懋,"2683","8073","5390"
凱基,9200,凱基-林口,9257,Buy,1303南亞,"2514","4447","1933"
凱基,9200,凱基-林口,9257,Buy,2404漢唐,"2329","2363","34"
凱基,9200,凱基-林口,9257,Buy,3665貿聯-KY,"2281","2413","132"
凱基,9200,凱基-林口,9257,Buy,3363上詮,"2221","2791","570"
