BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-永康,9278,Buy,2330台積電,"30431","52777","22346"
凱基,9200,凱基-永康,9278,Buy,2454聯發科,"8519","8641","122"
凱基,9200,凱基-永康,9278,Buy,00637L元大滬深300正2,"8334","8334","0"
凱基,9200,凱基-永康,9278,Buy,00403A主動統一升級50,"6959","7494","535"
凱基,9200,凱基-永康,9278,Buy,2408南亞科,"6739","7151","412"
凱基,9200,凱基-永康,9278,Buy,00685L群益臺灣加權正2,"6062","6213","151"
凱基,9200,凱基-永康,9278,Buy,2303聯電,"4892","5928","1036"
凱基,9200,凱基-永康,9278,Buy,6770力積電,"4787","5386","599"
凱基,9200,凱基-永康,9278,Buy,3008大立光,"4216","20615","16399"
凱基,9200,凱基-永康,9278,Buy,3037欣興,"4180","6704","2524"
凱基,9200,凱基-永康,9278,Buy,2344華邦電,"4027","4330","303"
凱基,9200,凱基-永康,9278,Buy,2308台達電,"3925","6192","2267"
凱基,9200,凱基-永康,9278,Buy,0056元大高股息,"3912","4305","393"
凱基,9200,凱基-永康,9278,Buy,00981A主動統一台股增長,"3575","4188","613"
凱基,9200,凱基-永康,9278,Buy,009816凱基台灣TOP50,"2780","3133","353"
凱基,9200,凱基-永康,9278,Buy,6691洋基工程,"2582","2582","0"
凱基,9200,凱基-永康,9278,Buy,2449京元電子,"2565","3347","782"
凱基,9200,凱基-永康,9278,Buy,00406A主動中信台灣收益,"2511","2511","0"
凱基,9200,凱基-永康,9278,Buy,00400A主動國泰動能高息,"2488","2488","0"
凱基,9200,凱基-永康,9278,Buy,2603長榮,"2401","2401","0"
凱基,9200,凱基-永康,9278,Buy,6274台燿,"2352","2467","115"
凱基,9200,凱基-永康,9278,Buy,1303南亞,"2339","2502","163"
凱基,9200,凱基-永康,9278,Buy,3081聯亞,"1969","5550","3581"
凱基,9200,凱基-永康,9278,Buy,2327國巨*,"1885","3863","1978"
凱基,9200,凱基-永康,9278,Buy,6226光鼎,"1818","1919","101"
凱基,9200,凱基-永康,9278,Buy,6488環球晶,"1769","1769","0"
凱基,9200,凱基-永康,9278,Buy,00631L元大台灣50正2,"1731","7197","5466"
凱基,9200,凱基-永康,9278,Buy,6243迅杰,"1729","2191","462"
凱基,9200,凱基-永康,9278,Buy,2301光寶科,"1630","1829","199"
凱基,9200,凱基-永康,9278,Buy,3363上詮,"1572","1742","170"
凱基,9200,凱基-永康,9278,Buy,1773勝一,"1558","1558","0"
凱基,9200,凱基-永康,9278,Buy,6139亞翔,"1506","1506","0"
凱基,9200,凱基-永康,9278,Buy,8155博智,"1459","1459","0"
凱基,9200,凱基-永康,9278,Buy,00919群益台灣精選高息,"1413","1926","513"
凱基,9200,凱基-永康,9278,Buy,2337旺宏,"1265","1288","23"
凱基,9200,凱基-永康,9278,Buy,2313華通,"1251","1530","279"
凱基,9200,凱基-永康,9278,Buy,1326台化,"1239","1447","208"
凱基,9200,凱基-永康,9278,Buy,6187萬潤,"1153","2142","989"
凱基,9200,凱基-永康,9278,Buy,3260威剛,"1117","1276","159"
凱基,9200,凱基-永康,9278,Buy,3034聯詠,"1090","1090","0"
凱基,9200,凱基-永康,9278,Buy,00891中信關鍵半導體,"1050","1050","0"
凱基,9200,凱基-永康,9278,Buy,6147頎邦,"1027","1324","297"
凱基,9200,凱基-永康,9278,Buy,3189景碩,"941","941","0"
凱基,9200,凱基-永康,9278,Buy,00878國泰永續高股息,"938","1192","254"
凱基,9200,凱基-永康,9278,Buy,3324雙鴻,"888","888","0"
凱基,9200,凱基-永康,9278,Buy,4903聯光通,"887","967","80"
凱基,9200,凱基-永康,9278,Buy,2634漢翔,"877","2488","1611"
凱基,9200,凱基-永康,9278,Buy,3443創意,"871","871","0"
凱基,9200,凱基-永康,9278,Buy,4958臻鼎-KY,"848","5048","4200"
凱基,9200,凱基-永康,9278,Buy,0052富邦科技,"840","1182","342"
凱基,9200,凱基-永康,9278,Sell,0050元大台灣50,"-81197","21437","102634"
凱基,9200,凱基-永康,9278,Sell,3661世芯-KY,"-7819","1556","9375"
凱基,9200,凱基-永康,9278,Sell,6719力智,"-4619","2","4621"
凱基,9200,凱基-永康,9278,Sell,3711日月光投控,"-4325","4529","8854"
凱基,9200,凱基-永康,9278,Sell,3481群創,"-3519","3626","7145"
凱基,9200,凱基-永康,9278,Sell,00937B群益ESG投等債20,"-2942","0","2942"
凱基,9200,凱基-永康,9278,Sell,5269祥碩,"-2585","412","2997"
凱基,9200,凱基-永康,9278,Sell,2887台新新光金,"-1734","40","1774"
凱基,9200,凱基-永康,9278,Sell,3055蔚華科,"-1608","117","1725"
凱基,9200,凱基-永康,9278,Sell,2867三商壽,"-1393","28","1421"
凱基,9200,凱基-永康,9278,Sell,5483中美晶,"-1267","598","1865"
凱基,9200,凱基-永康,9278,Sell,6415矽力*-KY,"-1234","10","1244"
凱基,9200,凱基-永康,9278,Sell,5258虹堡,"-1210","0","1210"
凱基,9200,凱基-永康,9278,Sell,4991環宇-KY,"-1198","435","1633"
凱基,9200,凱基-永康,9278,Sell,3491昇達科,"-1163","11","1174"
凱基,9200,凱基-永康,9278,Sell,3231緯創,"-1118","5344","6462"
凱基,9200,凱基-永康,9278,Sell,3290東浦,"-1052","0","1052"
