BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-館前,0038003800380041,Buy,0050元大台灣50,"297459","338106","40647"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2330台積電,"205808","355872","150064"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2308台達電,"84156","112565","28409"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2454聯發科,"78079","147472","69393"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00631L元大台灣50正2,"68500","99886","31386"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2408南亞科,"52438","62831","10393"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6691洋基工程,"39155","41103","1948"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2344華邦電,"36993","41101","4108"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00981A主動統一台股增長,"36114","49089","12975"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3037欣興,"34252","73874","39622"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00403A主動統一升級50,"33256","37457","4201"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00685L群益臺灣加權正2,"32626","41061","8435"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2303聯電,"31333","45368","14035"
國泰證券,8880,國泰-館前,0038003800380041,Buy,009816凱基台灣TOP50,"30597","34877","4280"
國泰證券,8880,國泰-館前,0038003800380041,Buy,8299群聯,"28545","39489","10944"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6139亞翔,"26998","33688","6690"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2327國巨*,"24408","63380","38972"
國泰證券,8880,國泰-館前,0038003800380041,Buy,0056元大高股息,"19204","26367","7163"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00991A主動復華未來50,"19121","31118","11997"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6488環球晶,"18752","28670","9918"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2345智邦,"14933","15375","442"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2449京元電子,"14195","31966","17771"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3661世芯-KY,"13802","25902","12100"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2317鴻海,"12876","32655","19779"
國泰證券,8880,國泰-館前,0038003800380041,Buy,0052富邦科技,"12167","21477","9310"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00406A主動中信台灣收益,"11073","11238","165"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2337旺宏,"10857","11752","895"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00663L國泰臺灣加權正2,"10439","11814","1375"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6770力積電,"10082","19132","9050"
國泰證券,8880,國泰-館前,0038003800380041,Buy,006208富邦台50,"9654","12122","2468"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00919群益台灣精選高息,"9014","16848","7834"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3189景碩,"8809","47438","38629"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6669緯穎,"7908","37856","29948"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00935野村臺灣新科技50,"7357","7832","475"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00891中信關鍵半導體,"7329","16786","9457"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00990A主動元大AI新經濟,"7320","11305","3985"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3105穩懋,"7281","34634","27353"
國泰證券,8880,國泰-館前,0038003800380041,Buy,8358金居,"6529","7048","519"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00878國泰永續高股息,"6181","11630","5449"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6446藥華藥,"6148","10956","4808"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00881國泰台灣科技龍頭,"5768","6233","465"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00830國泰費城半導體,"5759","9363","3604"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3260威剛,"5735","10882","5147"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2515中工,"5448","5471","23"
國泰證券,8880,國泰-館前,0038003800380041,Buy,2382廣達,"5274","8837","3563"
國泰證券,8880,國泰-館前,0038003800380041,Buy,6239力成,"5264","10252","4988"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00400A主動國泰動能高息,"4983","5912","929"
國泰證券,8880,國泰-館前,0038003800380041,Buy,00675L富邦臺灣加權正2,"4115","4904","789"
國泰證券,8880,國泰-館前,0038003800380041,Buy,8150南茂,"3955","5853","1898"
國泰證券,8880,國泰-館前,0038003800380041,Buy,3006晶豪科,"3640","3849","209"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3231緯創,"-55082","42141","97223"
國泰證券,8880,國泰-館前,0038003800380041,Sell,1303南亞,"-54714","11365","66079"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3481群創,"-20998","46401","67399"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00632R元大台灣50反1,"-17011","5002","22013"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2368金像電,"-15849","6278","22127"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00988A主動統一全球創新,"-15101","5868","20969"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6147頎邦,"-13631","8931","22562"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3665貿聯-KY,"-13605","24208","37813"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3042晶技,"-13383","4640","18023"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6213聯茂,"-13186","8523","21709"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6442光聖,"-10159","3502","13661"
國泰證券,8880,國泰-館前,0038003800380041,Sell,7828創新服務,"-8636","320","8956"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00865B國泰US短期公債,"-8275","58","8333"
國泰證券,8880,國泰-館前,0038003800380041,Sell,4958臻鼎-KY,"-7959","37889","45848"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6207雷科,"-7643","1098","8741"
國泰證券,8880,國泰-館前,0038003800380041,Sell,8039台虹,"-7430","1017","8447"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00687B國泰20年美債,"-7035","0","7035"
國泰證券,8880,國泰-館前,0038003800380041,Sell,5871中租-KY,"-6863","301","7164"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2357華碩,"-5716","1987","7703"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00937B群益ESG投等債20,"-5406","824","6230"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3017奇鋐,"-5319","15360","20679"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3416融程電,"-4864","168","5032"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6245立端,"-4824","0","4824"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3711日月光投控,"-4181","26076","30257"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3088艾訊,"-4153","630","4783"
國泰證券,8880,國泰-館前,0038003800380041,Sell,1102亞泥,"-4128","205","4333"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2618長榮航,"-4084","27739","31823"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2409友達,"-4073","10006","14079"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6732昇佳電子,"-3908","188","4096"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2375凱美,"-3840","2653","6493"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6805富世達,"-3813","252","4065"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6505台塑化,"-3410","2718","6128"
國泰證券,8880,國泰-館前,0038003800380041,Sell,5483中美晶,"-3258","8636","11894"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00679B元大美債20年,"-3032","140","3172"
國泰證券,8880,國泰-館前,0038003800380041,Sell,7769鴻勁,"-2925","3564","6489"
國泰證券,8880,國泰-館前,0038003800380041,Sell,6451訊芯-KY,"-2859","3623","6482"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3034聯詠,"-2766","5710","8476"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2892第一金,"-2676","578","3254"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2383台光電,"-2608","7744","10352"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2412中華電,"-2603","2343","4946"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2610華航,"-2549","4600","7149"
國泰證券,8880,國泰-館前,0038003800380041,Sell,2359所羅門,"-2479","2732","5211"
國泰證券,8880,國泰-館前,0038003800380041,Sell,5285界霖,"-2394","0","2394"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3008大立光,"-2379","11925","14304"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3702大聯大,"-2223","364","2587"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3290東浦,"-2199","0","2199"
國泰證券,8880,國泰-館前,0038003800380041,Sell,00720B元大投資級公司債,"-2182","80","2262"
國泰證券,8880,國泰-館前,0038003800380041,Sell,5289宜鼎,"-2064","8891","10955"
國泰證券,8880,國泰-館前,0038003800380041,Sell,3583辛耘,"-2025","154","2179"
國泰證券,8880,國泰-館前,0038003800380041,Sell,1802台玻,"-1970","2594","4564"
