BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
大展,5050,大展-台南,5058,Buy,2464盟立,"3585","3585","0"
大展,5050,大展-台南,5058,Buy,6446藥華藥,"2524","4774","2250"
大展,5050,大展-台南,5058,Buy,2327國巨*,"2414","2977","563"
大展,5050,大展-台南,5058,Buy,2881富邦金,"1890","4403","2513"
大展,5050,大展-台南,5058,Buy,2303聯電,"1713","1829","116"
大展,5050,大展-台南,5058,Buy,3037欣興,"1654","1654","0"
大展,5050,大展-台南,5058,Buy,0050元大台灣50,"1224","1224","0"
大展,5050,大展-台南,5058,Buy,2344華邦電,"1154","1154","0"
大展,5050,大展-台南,5058,Buy,3594磐儀,"1093","1198","105"
大展,5050,大展-台南,5058,Buy,2449京元電子,"973","973","0"
大展,5050,大展-台南,5058,Buy,009824群益美國科技巨頭,"785","785","0"
大展,5050,大展-台南,5058,Buy,2356英業達,"782","905","123"
大展,5050,大展-台南,5058,Buy,8358金居,"718","718","0"
大展,5050,大展-台南,5058,Buy,2308台達電,"673","673","0"
大展,5050,大展-台南,5058,Buy,1303南亞,"670","1299","629"
大展,5050,大展-台南,5058,Buy,3189景碩,"639","639","0"
大展,5050,大展-台南,5058,Buy,3163波若威,"633","1237","604"
大展,5050,大展-台南,5058,Buy,3374精材,"623","623","0"
大展,5050,大展-台南,5058,Buy,6155鈞寶,"619","619","0"
大展,5050,大展-台南,5058,Buy,3363上詮,"576","576","0"
大展,5050,大展-台南,5058,Buy,6770力積電,"558","896","338"
大展,5050,大展-台南,5058,Buy,3707漢磊,"553","721","168"
大展,5050,大展-台南,5058,Buy,2454聯發科,"498","498","0"
大展,5050,大展-台南,5058,Buy,3231緯創,"497","684","187"
大展,5050,大展-台南,5058,Buy,0056元大高股息,"493","493","0"
大展,5050,大展-台南,5058,Buy,3028增你強,"486","486","0"
大展,5050,大展-台南,5058,Buy,2337旺宏,"453","453","0"
大展,5050,大展-台南,5058,Buy,00403A主動統一升級50,"438","484","46"
大展,5050,大展-台南,5058,Buy,2408南亞科,"418","811","393"
大展,5050,大展-台南,5058,Buy,009816凱基台灣TOP50,"393","393","0"
大展,5050,大展-台南,5058,Buy,6488環球晶,"384","384","0"
大展,5050,大展-台南,5058,Buy,3264欣銓,"375","375","0"
大展,5050,大展-台南,5058,Buy,2605新興,"372","372","0"
大展,5050,大展-台南,5058,Buy,3211順達,"367","704","337"
大展,5050,大展-台南,5058,Buy,1717長興,"363","363","0"
大展,5050,大展-台南,5058,Buy,6664群翊,"342","342","0"
大展,5050,大展-台南,5058,Buy,4938和碩,"335","419","84"
大展,5050,大展-台南,5058,Buy,2887台新新光金,"307","545","238"
大展,5050,大展-台南,5058,Buy,6505台塑化,"303","597","294"
大展,5050,大展-台南,5058,Buy,0052富邦科技,"285","285","0"
大展,5050,大展-台南,5058,Buy,00942B台新美A公司債20+,"282","282","0"
大展,5050,大展-台南,5058,Buy,2383台光電,"273","319","46"
大展,5050,大展-台南,5058,Buy,2363矽統,"252","252","0"
大展,5050,大展-台南,5058,Buy,6742澤米,"244","244","0"
大展,5050,大展-台南,5058,Buy,1597直得,"244","244","0"
大展,5050,大展-台南,5058,Buy,2472立隆電,"235","235","0"
大展,5050,大展-台南,5058,Buy,00738U期元大道瓊白銀,"230","230","0"
大展,5050,大展-台南,5058,Buy,5351鈺創,"229","229","0"
大展,5050,大展-台南,5058,Buy,00715L期街口布蘭特正2,"223","673","450"
大展,5050,大展-台南,5058,Buy,8114振樺電,"215","215","0"
大展,5050,大展-台南,5058,Sell,00631L元大台灣50正2,"-7925","722","8647"
大展,5050,大展-台南,5058,Sell,2330台積電,"-3064","13062","16126"
大展,5050,大展-台南,5058,Sell,00663L國泰臺灣加權正2,"-2642","0","2642"
大展,5050,大展-台南,5058,Sell,1326台化,"-2574","122","2696"
