BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,0050元大台灣50,"9841","10522","681"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00662富邦NASDAQ,"8109","8109","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2317鴻海,"3337","3579","242"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3037欣興,"3172","3172","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2408南亞科,"2852","3736","884"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2449京元電子,"2444","2468","24"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,1504東元,"2429","2624","195"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2324仁寶,"2021","2056","35"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,8299群聯,"1958","1958","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2344華邦電,"1923","2068","145"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3324雙鴻,"1880","1880","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3035智原,"1682","1682","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00403A主動統一升級50,"1666","1675","9"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2301光寶科,"1531","2366","835"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00631L元大台灣50正2,"1450","3008","1558"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3019亞光,"1291","1549","258"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6442光聖,"1273","2563","1290"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3491昇達科,"1090","2230","1140"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3034聯詠,"1003","1511","508"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00685L群益臺灣加權正2,"990","1190","200"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6770力積電,"986","1392","406"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6446藥華藥,"978","1142","164"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2303聯電,"954","3940","2986"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,8028昇陽半導體,"863","863","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2308台達電,"778","2945","2167"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3260威剛,"777","2635","1858"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2891中信金,"697","697","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00918大華優利高填息30,"677","709","32"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3189景碩,"660","1964","1304"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6525捷敏-KY,"653","653","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6139亞翔,"650","866","216"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2328廣宇,"647","647","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2374佳能,"643","643","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,009816凱基台灣TOP50,"636","636","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3413京鼎,"627","627","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00406A主動中信台灣收益,"618","618","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00919群益台灣精選高息,"597","641","44"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,1519華城,"597","700","103"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2337旺宏,"587","587","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2241艾姆勒,"583","583","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,3006晶豪科,"575","575","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,0056元大高股息,"554","699","145"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6187萬潤,"538","3471","2933"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2454聯發科,"511","579","68"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6005群益證,"510","510","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,2376技嘉,"495","495","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,5386青雲,"456","456","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00927群益半導體收益,"445","1118","673"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,6643M31,"435","435","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Buy,00922國泰台灣領袖50,"430","430","0"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,00935野村臺灣新科技50,"-13626","5","13631"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,2330台積電,"-12893","10006","22899"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,2313華通,"-4418","201","4619"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,6278台表科,"-3418","0","3418"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,8271宇瞻,"-3134","209","3343"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,6274台燿,"-2390","1220","3610"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,4958臻鼎-KY,"-2046","5443","7489"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,2881富邦金,"-1868","0","1868"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,1586和勤,"-1782","0","1782"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,3081聯亞,"-1688","1849","3537"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,3481群創,"-1561","7330","8891"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,5351鈺創,"-1127","45","1172"
宏遠證券,1260,宏遠-台南,0031003200360044,Sell,2355敬鵬,"-1104","76","1180"
