BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
玉山證券,8840,玉山-新莊,8842,Buy,0050元大台灣50,"108828","113450","4622"
玉山證券,8840,玉山-新莊,8842,Buy,2330台積電,"108562","130594","22032"
玉山證券,8840,玉山-新莊,8842,Buy,2308台達電,"88363","89473","1110"
玉山證券,8840,玉山-新莊,8842,Buy,2454聯發科,"50459","73991","23532"
玉山證券,8840,玉山-新莊,8842,Buy,2408南亞科,"31182","36348","5166"
玉山證券,8840,玉山-新莊,8842,Buy,3037欣興,"23368","28333","4965"
玉山證券,8840,玉山-新莊,8842,Buy,6669緯穎,"22907","23277","370"
玉山證券,8840,玉山-新莊,8842,Buy,2344華邦電,"22397","23993","1596"
玉山證券,8840,玉山-新莊,8842,Buy,3661世芯-KY,"21304","24562","3258"
玉山證券,8840,玉山-新莊,8842,Buy,2317鴻海,"20483","24161","3678"
玉山證券,8840,玉山-新莊,8842,Buy,00631L元大台灣50正2,"20091","34370","14279"
玉山證券,8840,玉山-新莊,8842,Buy,2881富邦金,"19640","19640","0"
玉山證券,8840,玉山-新莊,8842,Buy,2474可成,"18901","18996","95"
玉山證券,8840,玉山-新莊,8842,Buy,00403A主動統一升級50,"16983","18771","1788"
玉山證券,8840,玉山-新莊,8842,Buy,00981A主動統一台股增長,"16338","18214","1876"
玉山證券,8840,玉山-新莊,8842,Buy,009816凱基台灣TOP50,"16183","17453","1270"
玉山證券,8840,玉山-新莊,8842,Buy,00685L群益臺灣加權正2,"13292","14170","878"
玉山證券,8840,玉山-新莊,8842,Buy,2303聯電,"12652","15725","3073"
玉山證券,8840,玉山-新莊,8842,Buy,6488環球晶,"10460","11682","1222"
玉山證券,8840,玉山-新莊,8842,Buy,3017奇鋐,"9420","16258","6838"
玉山證券,8840,玉山-新莊,8842,Buy,2327國巨*,"9007","15970","6963"
玉山證券,8840,玉山-新莊,8842,Buy,0056元大高股息,"8942","14129","5187"
玉山證券,8840,玉山-新莊,8842,Buy,00878國泰永續高股息,"8568","9067","499"
玉山證券,8840,玉山-新莊,8842,Buy,2313華通,"7739","13065","5326"
玉山證券,8840,玉山-新莊,8842,Buy,6770力積電,"6274","10020","3746"
玉山證券,8840,玉山-新莊,8842,Buy,2449京元電子,"5830","15096","9266"
玉山證券,8840,玉山-新莊,8842,Buy,3163波若威,"5498","8113","2615"
玉山證券,8840,玉山-新莊,8842,Buy,2486一詮,"5079","5500","421"
玉山證券,8840,玉山-新莊,8842,Buy,3030德律,"4680","4680","0"
玉山證券,8840,玉山-新莊,8842,Buy,2360致茂,"4340","4537","197"
玉山證券,8840,玉山-新莊,8842,Buy,8299群聯,"4318","19240","14922"
玉山證券,8840,玉山-新莊,8842,Buy,00891中信關鍵半導體,"4296","5033","737"
玉山證券,8840,玉山-新莊,8842,Buy,6239力成,"4261","6805","2544"
玉山證券,8840,玉山-新莊,8842,Buy,3443創意,"4241","7901","3660"
玉山證券,8840,玉山-新莊,8842,Buy,1519華城,"4136","6939","2803"
玉山證券,8840,玉山-新莊,8842,Buy,00919群益台灣精選高息,"4134","5469","1335"
玉山證券,8840,玉山-新莊,8842,Buy,3363上詮,"4069","6861","2792"
玉山證券,8840,玉山-新莊,8842,Buy,6182合晶,"3696","3706","10"
玉山證券,8840,玉山-新莊,8842,Buy,0052富邦科技,"3675","3915","240"
玉山證券,8840,玉山-新莊,8842,Buy,2301光寶科,"3653","7218","3565"
玉山證券,8840,玉山-新莊,8842,Buy,00400A主動國泰動能高息,"3524","3983","459"
玉山證券,8840,玉山-新莊,8842,Buy,2404漢唐,"3330","4385","1055"
玉山證券,8840,玉山-新莊,8842,Buy,00406A主動中信台灣收益,"3315","3358","43"
玉山證券,8840,玉山-新莊,8842,Buy,3481群創,"3147","19703","16556"
玉山證券,8840,玉山-新莊,8842,Buy,3006晶豪科,"3104","3295","191"
玉山證券,8840,玉山-新莊,8842,Buy,00405A主動富邦台灣龍耀,"2960","3039","79"
玉山證券,8840,玉山-新莊,8842,Buy,8150南茂,"2822","3572","750"
玉山證券,8840,玉山-新莊,8842,Buy,1319東陽,"2819","2819","0"
玉山證券,8840,玉山-新莊,8842,Buy,3167大量,"2705","2705","0"
玉山證券,8840,玉山-新莊,8842,Buy,3088艾訊,"2560","2693","133"
玉山證券,8840,玉山-新莊,8842,Sell,4958臻鼎-KY,"-25676","23043","48719"
玉山證券,8840,玉山-新莊,8842,Sell,8210勤誠,"-12839","8486","21325"
