BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
盈溢,5860,盈溢,5860,Buy,2330台積電,"5100","7370","2270"
盈溢,5860,盈溢,5860,Buy,2454聯發科,"3395","3395","0"
盈溢,5860,盈溢,5860,Buy,8046南電,"3075","3075","0"
盈溢,5860,盈溢,5860,Buy,3014聯陽,"1250","1250","0"
盈溢,5860,盈溢,5860,Buy,3006晶豪科,"1146","1146","0"
盈溢,5860,盈溢,5860,Buy,0050元大台灣50,"1094","1094","0"
盈溢,5860,盈溢,5860,Buy,2303聯電,"793","1023","230"
盈溢,5860,盈溢,5860,Buy,2337旺宏,"791","791","0"
盈溢,5860,盈溢,5860,Buy,4971IET-KY,"788","788","0"
盈溢,5860,盈溢,5860,Buy,4749新應材,"723","723","0"
盈溢,5860,盈溢,5860,Buy,2327國巨*,"563","563","0"
盈溢,5860,盈溢,5860,Buy,6770力積電,"560","1174","614"
盈溢,5860,盈溢,5860,Buy,1326台化,"492","553","61"
盈溢,5860,盈溢,5860,Buy,2449京元電子,"477","477","0"
盈溢,5860,盈溢,5860,Buy,5351鈺創,"456","456","0"
盈溢,5860,盈溢,5860,Buy,6789采鈺,"429","429","0"
盈溢,5860,盈溢,5860,Buy,2408南亞科,"393","393","0"
盈溢,5860,盈溢,5860,Buy,2301光寶科,"385","385","0"
盈溢,5860,盈溢,5860,Buy,2313華通,"371","371","0"
盈溢,5860,盈溢,5860,Buy,6121新普,"361","361","0"
盈溢,5860,盈溢,5860,Buy,2332友訊,"332","591","259"
盈溢,5860,盈溢,5860,Buy,00403A主動統一升級50,"327","327","0"
盈溢,5860,盈溢,5860,Buy,1717長興,"305","305","0"
盈溢,5860,盈溢,5860,Buy,3294英濟,"296","296","0"
盈溢,5860,盈溢,5860,Buy,8155博智,"282","282","0"
盈溢,5860,盈溢,5860,Buy,2451創見,"259","259","0"
盈溢,5860,盈溢,5860,Buy,2317鴻海,"244","244","0"
盈溢,5860,盈溢,5860,Buy,2912統一超,"239","239","0"
盈溢,5860,盈溢,5860,Buy,8261富鼎,"196","196","0"
盈溢,5860,盈溢,5860,Buy,6426統新,"168","168","0"
盈溢,5860,盈溢,5860,Buy,1303南亞,"158","158","0"
盈溢,5860,盈溢,5860,Buy,3374精材,"155","311","156"
盈溢,5860,盈溢,5860,Buy,3686達能,"149","149","0"
盈溢,5860,盈溢,5860,Buy,4934太極,"146","146","0"
盈溢,5860,盈溢,5860,Buy,2377微星,"140","140","0"
盈溢,5860,盈溢,5860,Buy,4541晟田,"129","129","0"
盈溢,5860,盈溢,5860,Buy,8422可寧衛*,"125","125","0"
盈溢,5860,盈溢,5860,Buy,2375凱美,"123","123","0"
盈溢,5860,盈溢,5860,Buy,2542興富發,"120","129","9"
盈溢,5860,盈溢,5860,Buy,2478大毅,"117","117","0"
盈溢,5860,盈溢,5860,Buy,2520冠德,"105","105","0"
盈溢,5860,盈溢,5860,Buy,3430奇鈦科,"104","104","0"
盈溢,5860,盈溢,5860,Buy,0056元大高股息,"97","97","0"
盈溢,5860,盈溢,5860,Buy,8150南茂,"84","84","0"
盈溢,5860,盈溢,5860,Buy,3013晟銘電,"80","80","0"
盈溢,5860,盈溢,5860,Buy,00992A主動群益科技創新,"75","75","0"
盈溢,5860,盈溢,5860,Buy,2834臺企銀,"72","72","0"
盈溢,5860,盈溢,5860,Buy,6005群益證,"69","69","0"
盈溢,5860,盈溢,5860,Buy,3504揚明光,"66","66","0"
盈溢,5860,盈溢,5860,Buy,6548長科*,"65","65","0"
盈溢,5860,盈溢,5860,Sell,2383台光電,"-4585","0","4585"
盈溢,5860,盈溢,5860,Sell,8110華東,"-3048","38","3086"
盈溢,5860,盈溢,5860,Sell,2367燿華,"-1093","0","1093"
盈溢,5860,盈溢,5860,Sell,2344華邦電,"-1007","433","1440"
盈溢,5860,盈溢,5860,Sell,3016嘉晶,"-850","0","850"
盈溢,5860,盈溢,5860,Sell,3293鈊象,"-723","0","723"
盈溢,5860,盈溢,5860,Sell,8358金居,"-677","0","677"
盈溢,5860,盈溢,5860,Sell,2618長榮航,"-462","0","462"
盈溢,5860,盈溢,5860,Sell,2425承啟,"-449","0","449"
盈溢,5860,盈溢,5860,Sell,2610華航,"-436","0","436"
盈溢,5860,盈溢,5860,Sell,6197佳必琪,"-293","0","293"
盈溢,5860,盈溢,5860,Sell,6278台表科,"-290","0","290"
盈溢,5860,盈溢,5860,Sell,2883凱基金,"-270","30","300"
盈溢,5860,盈溢,5860,Sell,1101台泥,"-247","0","247"
盈溢,5860,盈溢,5860,Sell,8271宇瞻,"-209","0","209"
盈溢,5860,盈溢,5860,Sell,6191精成科,"-168","0","168"
盈溢,5860,盈溢,5860,Sell,2409友達,"-160","45","205"
盈溢,5860,盈溢,5860,Sell,5474聰泰,"-142","0","142"
盈溢,5860,盈溢,5860,Sell,1714和桐,"-138","0","138"
盈溢,5860,盈溢,5860,Sell,5880合庫金,"-129","0","129"
盈溢,5860,盈溢,5860,Sell,2481強茂,"-126","0","126"
盈溢,5860,盈溢,5860,Sell,2891中信金,"-125","0","125"
盈溢,5860,盈溢,5860,Sell,3715定穎投控,"-106","0","106"
盈溢,5860,盈溢,5860,Sell,6706惠特,"-103","0","103"
盈溢,5860,盈溢,5860,Sell,1227佳格,"-88","0","88"
盈溢,5860,盈溢,5860,Sell,00939統一台灣高息動能,"-86","0","86"
盈溢,5860,盈溢,5860,Sell,6117迎廣,"-67","0","67"
盈溢,5860,盈溢,5860,Sell,2002中鋼,"-57","0","57"
盈溢,5860,盈溢,5860,Sell,009816凱基台灣TOP50,"-57","0","57"
盈溢,5860,盈溢,5860,Sell,00679B元大美債20年,"-54","0","54"
盈溢,5860,盈溢,5860,Sell,1802台玻,"-52","97","149"
盈溢,5860,盈溢,5860,Sell,2886兆豐金,"-50","0","50"
盈溢,5860,盈溢,5860,Sell,6163華電網,"-40","0","40"
盈溢,5860,盈溢,5860,Sell,1618合機,"-38","0","38"
盈溢,5860,盈溢,5860,Sell,1734杏輝,"-32","0","32"
盈溢,5860,盈溢,5860,Sell,2489瑞軒,"-29","0","29"
盈溢,5860,盈溢,5860,Sell,6179亞通,"-24","0","24"
盈溢,5860,盈溢,5860,Sell,3441聯一光,"-6","222","228"
盈溢,5860,盈溢,5860,Sell,6753龍德造船,"-5","134","139"
盈溢,5860,盈溢,5860,Sell,2353宏碁,"-3","286","289"
盈溢,5860,盈溢,5860,Sell,5347世界,"-1","147","148"
盈溢,5860,盈溢,5860,Sell,2609陽明,"0","101","101"
盈溢,5860,盈溢,5860,Sell,1301台塑,"-1","57","58"
盈溢,5860,盈溢,5860,Sell,2603長榮,"0","200","200"
