BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-彰化,0039003800310047,Buy,2330台積電,"39637","58516","18879"
元大證券,9800,元大-彰化,0039003800310047,Buy,0050元大台灣50,"26320","37373","11053"
元大證券,9800,元大-彰化,0039003800310047,Buy,3037欣興,"18707","28466","9759"
元大證券,9800,元大-彰化,0039003800310047,Buy,2308台達電,"12361","23586","11225"
元大證券,9800,元大-彰化,0039003800310047,Buy,2382廣達,"9159","9824","665"
元大證券,9800,元大-彰化,0039003800310047,Buy,3711日月光投控,"8842","12624","3782"
元大證券,9800,元大-彰化,0039003800310047,Buy,4991環宇-KY,"6667","6692","25"
元大證券,9800,元大-彰化,0039003800310047,Buy,3017奇鋐,"6119","6488","369"
元大證券,9800,元大-彰化,0039003800310047,Buy,00685L群益臺灣加權正2,"5943","7308","1365"
元大證券,9800,元大-彰化,0039003800310047,Buy,4973廣穎,"5815","5935","120"
元大證券,9800,元大-彰化,0039003800310047,Buy,00403A主動統一升級50,"4323","4900","577"
元大證券,9800,元大-彰化,0039003800310047,Buy,6679鈺太,"4271","4271","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,2303聯電,"4177","10716","6539"
元大證券,9800,元大-彰化,0039003800310047,Buy,8046南電,"4085","28492","24407"
元大證券,9800,元大-彰化,0039003800310047,Buy,3105穩懋,"3987","13288","9301"
元大證券,9800,元大-彰化,0039003800310047,Buy,009816凱基台灣TOP50,"3749","5023","1274"
元大證券,9800,元大-彰化,0039003800310047,Buy,00981A主動統一台股增長,"3599","6759","3160"
元大證券,9800,元大-彰化,0039003800310047,Buy,00405A主動富邦台灣龍耀,"2999","3178","179"
元大證券,9800,元大-彰化,0039003800310047,Buy,2327國巨*,"2853","13349","10496"
元大證券,9800,元大-彰化,0039003800310047,Buy,4979華星光,"2536","4873","2337"
元大證券,9800,元大-彰化,0039003800310047,Buy,2337旺宏,"2133","4059","1926"
元大證券,9800,元大-彰化,0039003800310047,Buy,3413京鼎,"2087","2087","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,3006晶豪科,"2083","2274","191"
元大證券,9800,元大-彰化,0039003800310047,Buy,5328華容,"1910","4712","2802"
元大證券,9800,元大-彰化,0039003800310047,Buy,4977眾達-KY,"1671","1671","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,6166凌華,"1651","1916","265"
元大證券,9800,元大-彰化,0039003800310047,Buy,3706神達,"1487","1655","168"
元大證券,9800,元大-彰化,0039003800310047,Buy,2474可成,"1429","2005","576"
元大證券,9800,元大-彰化,0039003800310047,Buy,2455全新,"1368","1368","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,2409友達,"1288","5219","3931"
元大證券,9800,元大-彰化,0039003800310047,Buy,6531愛普*,"1232","3153","1921"
元大證券,9800,元大-彰化,0039003800310047,Buy,2002中鋼,"1208","1661","453"
元大證券,9800,元大-彰化,0039003800310047,Buy,8131福懋科,"1180","1180","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,6187萬潤,"1154","6415","5261"
元大證券,9800,元大-彰化,0039003800310047,Buy,6274台燿,"1049","1243","194"
元大證券,9800,元大-彰化,0039003800310047,Buy,3264欣銓,"1027","1027","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,3622洋華,"1020","1020","0"
元大證券,9800,元大-彰化,0039003800310047,Buy,1802台玻,"994","1393","399"
元大證券,9800,元大-彰化,0039003800310047,Buy,00988A主動統一全球創新,"924","1213","289"
元大證券,9800,元大-彰化,0039003800310047,Buy,00406A主動中信台灣收益,"866","961","95"
元大證券,9800,元大-彰化,0039003800310047,Buy,3481群創,"866","19181","18315"
元大證券,9800,元大-彰化,0039003800310047,Buy,4749新應材,"855","1128","273"
元大證券,9800,元大-彰化,0039003800310047,Buy,00929復華台灣科技優息,"845","1118","273"
元大證券,9800,元大-彰化,0039003800310047,Buy,2383台光電,"842","9042","8200"
元大證券,9800,元大-彰化,0039003800310047,Buy,8932智通*,"817","1005","188"
元大證券,9800,元大-彰化,0039003800310047,Buy,3042晶技,"793","1946","1153"
元大證券,9800,元大-彰化,0039003800310047,Buy,6290良維,"792","987","195"
元大證券,9800,元大-彰化,0039003800310047,Buy,2332友訊,"788","1769","981"
元大證券,9800,元大-彰化,0039003800310047,Buy,2363矽統,"779","1004","225"
元大證券,9800,元大-彰化,0039003800310047,Buy,7822倍利科,"765","765","0"
元大證券,9800,元大-彰化,0039003800310047,Sell,8271宇瞻,"-20486","3864","24350"
元大證券,9800,元大-彰化,0039003800310047,Sell,3260威剛,"-10152","6731","16883"
元大證券,9800,元大-彰化,0039003800310047,Sell,3653健策,"-6666","46","6712"
元大證券,9800,元大-彰化,0039003800310047,Sell,6488環球晶,"-5411","4520","9931"
元大證券,9800,元大-彰化,0039003800310047,Sell,3707漢磊,"-4812","6","4818"
元大證券,9800,元大-彰化,0039003800310047,Sell,4958臻鼎-KY,"-4048","19185","23233"
元大證券,9800,元大-彰化,0039003800310047,Sell,2454聯發科,"-3882","16255","20137"
元大證券,9800,元大-彰化,0039003800310047,Sell,2313華通,"-3355","2091","5446"
元大證券,9800,元大-彰化,0039003800310047,Sell,4968立積,"-3291","0","3291"
元大證券,9800,元大-彰化,0039003800310047,Sell,8299群聯,"-3149","6954","10103"
元大證券,9800,元大-彰化,0039003800310047,Sell,3189景碩,"-3130","3152","6282"
元大證券,9800,元大-彰化,0039003800310047,Sell,2451創見,"-3106","825","3931"
元大證券,9800,元大-彰化,0039003800310047,Sell,00919群益台灣精選高息,"-2994","997","3991"
元大證券,9800,元大-彰化,0039003800310047,Sell,2317鴻海,"-2880","4606","7486"
元大證券,9800,元大-彰化,0039003800310047,Sell,1536和大,"-2290","0","2290"
元大證券,9800,元大-彰化,0039003800310047,Sell,00632R元大台灣50反1,"-2218","840","3058"
元大證券,9800,元大-彰化,0039003800310047,Sell,6125廣運,"-2201","0","2201"
元大證券,9800,元大-彰化,0039003800310047,Sell,5475德宏,"-2133","146","2279"
元大證券,9800,元大-彰化,0039003800310047,Sell,3363上詮,"-2057","18054","20111"
元大證券,9800,元大-彰化,0039003800310047,Sell,6191精成科,"-2029","347","2376"
元大證券,9800,元大-彰化,0039003800310047,Sell,2855統一證,"-2015","0","2015"
元大證券,9800,元大-彰化,0039003800310047,Sell,00878國泰永續高股息,"-1938","1348","3286"
元大證券,9800,元大-彰化,0039003800310047,Sell,3594磐儀,"-1930","318","2248"
元大證券,9800,元大-彰化,0039003800310047,Sell,0052富邦科技,"-1893","3151","5044"
元大證券,9800,元大-彰化,0039003800310047,Sell,2492華新科,"-1756","265","2021"
元大證券,9800,元大-彰化,0039003800310047,Sell,8091翔名,"-1665","0","1665"
元大證券,9800,元大-彰化,0039003800310047,Sell,6270倍微,"-1647","0","1647"
元大證券,9800,元大-彰化,0039003800310047,Sell,2609陽明,"-1551","50","1601"
元大證券,9800,元大-彰化,0039003800310047,Sell,3211順達,"-1452","370","1822"
元大證券,9800,元大-彰化,0039003800310047,Sell,8150南茂,"-1430","1114","2544"
元大證券,9800,元大-彰化,0039003800310047,Sell,2883凱基金,"-1387","389","1776"
元大證券,9800,元大-彰化,0039003800310047,Sell,6147頎邦,"-1341","654","1995"
元大證券,9800,元大-彰化,0039003800310047,Sell,2539櫻花建,"-1204","0","1204"
元大證券,9800,元大-彰化,0039003800310047,Sell,2615萬海,"-1191","848","2039"
元大證券,9800,元大-彰化,0039003800310047,Sell,00751B元大AAA至A公司債,"-1185","0","1185"
元大證券,9800,元大-彰化,0039003800310047,Sell,3357臺慶科,"-1166","8610","9776"
元大證券,9800,元大-彰化,0039003800310047,Sell,00940元大台灣價值高息,"-1163","23","1186"
元大證券,9800,元大-彰化,0039003800310047,Sell,2530華建,"-1161","0","1161"
元大證券,9800,元大-彰化,0039003800310047,Sell,009814富邦標普500,"-1118","0","1118"
元大證券,9800,元大-彰化,0039003800310047,Sell,00753L中信中國50正2,"-1072","0","1072"
元大證券,9800,元大-彰化,0039003800310047,Sell,9938百和,"-1064","9","1073"
元大證券,9800,元大-彰化,0039003800310047,Sell,2408南亞科,"-1033","8584","9617"
元大證券,9800,元大-彰化,0039003800310047,Sell,1795美時,"-1012","210","1222"
元大證券,9800,元大-彰化,0039003800310047,Sell,2376技嘉,"-979","0","979"
元大證券,9800,元大-彰化,0039003800310047,Sell,2885元大金,"-938","325","1263"
元大證券,9800,元大-彰化,0039003800310047,Sell,2357華碩,"-918","4","922"
元大證券,9800,元大-彰化,0039003800310047,Sell,00679B元大美債20年,"-918","0","918"
元大證券,9800,元大-彰化,0039003800310047,Sell,4541晟田,"-908","376","1284"
元大證券,9800,元大-彰化,0039003800310047,Sell,006208富邦台50,"-887","729","1616"
元大證券,9800,元大-彰化,0039003800310047,Sell,2441超豐,"-855","1314","2169"
