BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2330台積電,"35579","50248","14669"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,0050元大台灣50,"27453","29821","2368"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00403A主動統一升級50,"9328","10985","1657"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2408南亞科,"8033","19510","11477"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3481群創,"5155","9582","4427"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00631L元大台灣50正2,"4458","13556","9098"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2454聯發科,"3702","11736","8034"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2317鴻海,"3428","4055","627"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,1301台塑,"1813","1925","112"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,0056元大高股息,"1802","3848","2046"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,6213聯茂,"1755","2390","635"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3105穩懋,"1727","3102","1375"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2377微星,"1661","1799","138"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,1560中砂,"1610","1610","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,8358金居,"1587","2201","614"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2312金寶,"1487","1636","149"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,1605華新,"1412","2994","1582"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,4977眾達-KY,"1349","1349","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2352佳世達,"1343","1343","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3711日月光投控,"1304","1534","230"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2337旺宏,"1274","1581","307"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3706神達,"1235","1278","43"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,6805富世達,"1217","1223","6"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2834臺企銀,"1098","1116","18"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00888永豐台灣ESG,"1053","1138","85"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2303聯電,"1051","6910","5859"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2404漢唐,"1038","2040","1002"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,5287數字,"1019","1019","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2409友達,"1018","2641","1623"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,5347世界,"1013","1148","135"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00963中信全球高股息,"992","992","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3413京鼎,"975","975","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,6488環球晶,"895","1768","873"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3702大聯大,"849","1054","205"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00919群益台灣精選高息,"833","2112","1279"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,6949沛爾生醫-創,"802","802","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2368金像電,"790","1532","742"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,5439高技,"788","987","199"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2344華邦電,"763","2326","1563"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,006208富邦台50,"751","1741","990"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2464盟立,"722","722","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,6531愛普*,"628","628","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2618長榮航,"626","925","299"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3661世芯-KY,"596","3636","3040"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,8299群聯,"585","585","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,2486一詮,"578","578","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,3563牧德,"576","576","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,00935野村臺灣新科技50,"557","557","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,4768晶呈科技,"554","554","0"
富邦證券,9600,富邦-三峽,003900360032004a,Buy,009816凱基台灣TOP50,"552","2727","2175"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3037欣興,"-7114","1928","9042"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,7828創新服務,"-6554","1","6555"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,8046南電,"-6139","1916","8055"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6515穎崴,"-5506","0","5506"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3363上詮,"-4489","513","5002"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,8150南茂,"-4462","980","5442"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3533嘉澤,"-3623","0","3623"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,9908大台北,"-3509","0","3509"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,4958臻鼎-KY,"-3396","7081","10477"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2327國巨*,"-2943","6240","9183"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6953家碩,"-2749","0","2749"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,4989榮科,"-2713","0","2713"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3455由田,"-2656","155","2811"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,00981A主動統一台股增長,"-2440","9368","11808"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3017奇鋐,"-2093","75","2168"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,4966譜瑞-KY,"-1853","15","1868"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,00918大華優利高填息30,"-1692","1766","3458"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,1708東鹼,"-1291","0","1291"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,8261富鼎,"-1268","1","1269"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,5880合庫金,"-1223","130","1353"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,0052富邦科技,"-1212","674","1886"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,4168醣聯,"-1185","0","1185"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,5289宜鼎,"-1123","20","1143"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3231緯創,"-1123","3306","4429"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,00882中信中國高股息,"-1109","0","1109"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3362先進光,"-1080","661","1741"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2609陽明,"-1068","158","1226"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2472立隆電,"-1050","435","1485"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2449京元電子,"-1000","1162","2162"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,1802台玻,"-963","754","1717"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2324仁寶,"-943","7174","8117"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6187萬潤,"-929","1942","2871"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,8271宇瞻,"-899","2916","3815"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6861睿生光電,"-878","0","878"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2382廣達,"-872","1729","2601"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2476鉅祥,"-859","0","859"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6781AES-KY,"-851","19","870"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3023信邦,"-812","0","812"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,00653L富邦印度正2,"-801","0","801"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6789采鈺,"-784","0","784"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6640均華,"-783","1","784"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2371大同,"-771","0","771"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,2451創見,"-768","26","794"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3665貿聯-KY,"-767","0","767"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,5299杰力,"-757","92","849"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,7822倍利科,"-749","12","761"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,1720生達,"-739","0","739"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,5904寶雅,"-738","0","738"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,6525捷敏-KY,"-710","0","710"
富邦證券,9600,富邦-三峽,003900360032004a,Sell,3532台勝科,"-626","0","626"
