BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
中國信託,6160,中國信託-新竹,6165,Buy,2317鴻海,"72463","78326","5863"
中國信託,6160,中國信託-新竹,6165,Buy,0050元大台灣50,"37159","48359","11200"
中國信託,6160,中國信託-新竹,6165,Buy,3711日月光投控,"12879","21103","8224"
中國信託,6160,中國信託-新竹,6165,Buy,2454聯發科,"12155","31837","19682"
中國信託,6160,中國信託-新竹,6165,Buy,6488環球晶,"10100","11236","1136"
中國信託,6160,中國信託-新竹,6165,Buy,00937B群益ESG投等債20,"9382","9382","0"
中國信託,6160,中國信託-新竹,6165,Buy,00631L元大台灣50正2,"9361","32802","23441"
中國信託,6160,中國信託-新竹,6165,Buy,7750新代,"7498","7500","2"
中國信託,6160,中國信託-新竹,6165,Buy,2382廣達,"6786","12751","5965"
中國信託,6160,中國信託-新竹,6165,Buy,3131弘塑,"6628","6651","23"
中國信託,6160,中國信託-新竹,6165,Buy,009816凱基台灣TOP50,"6348","7657","1309"
中國信託,6160,中國信託-新竹,6165,Buy,3324雙鴻,"5777","5777","0"
中國信託,6160,中國信託-新竹,6165,Buy,1303南亞,"4207","10162","5955"
中國信託,6160,中國信託-新竹,6165,Buy,00981A主動統一台股增長,"3851","12662","8811"
中國信託,6160,中國信託-新竹,6165,Buy,6274台燿,"3838","11970","8132"
中國信託,6160,中國信託-新竹,6165,Buy,00685L群益臺灣加權正2,"3603","7609","4006"
中國信託,6160,中國信託-新竹,6165,Buy,2449京元電子,"3595","6793","3198"
中國信託,6160,中國信託-新竹,6165,Buy,3374精材,"3396","5028","1632"
中國信託,6160,中國信託-新竹,6165,Buy,8046南電,"3315","18599","15284"
中國信託,6160,中國信託-新竹,6165,Buy,3035智原,"3204","4234","1030"
中國信託,6160,中國信託-新竹,6165,Buy,6446藥華藥,"3200","6275","3075"
中國信託,6160,中國信託-新竹,6165,Buy,2376技嘉,"3193","22303","19110"
中國信託,6160,中國信託-新竹,6165,Buy,3019亞光,"3074","3074","0"
中國信託,6160,中國信託-新竹,6165,Buy,00919群益台灣精選高息,"2831","3820","989"
中國信託,6160,中國信託-新竹,6165,Buy,6510精測,"2515","2515","0"
中國信託,6160,中國信託-新竹,6165,Buy,2408南亞科,"2390","26596","24206"
中國信託,6160,中國信託-新竹,6165,Buy,00403A主動統一升級50,"2256","3796","1540"
中國信託,6160,中國信託-新竹,6165,Buy,3081聯亞,"2247","2262","15"
中國信託,6160,中國信託-新竹,6165,Buy,2351順德,"2170","2309","139"
中國信託,6160,中國信託-新竹,6165,Buy,00663L國泰臺灣加權正2,"2167","2735","568"
中國信託,6160,中國信託-新竹,6165,Buy,6139亞翔,"2026","2155","129"
中國信託,6160,中國信託-新竹,6165,Buy,00935野村臺灣新科技50,"1984","2085","101"
中國信託,6160,中國信託-新竹,6165,Buy,00891中信關鍵半導體,"1909","2211","302"
中國信託,6160,中國信託-新竹,6165,Buy,5475德宏,"1882","1987","105"
中國信託,6160,中國信託-新竹,6165,Buy,6187萬潤,"1742","1742","0"
中國信託,6160,中國信託-新竹,6165,Buy,1326台化,"1670","2424","754"
中國信託,6160,中國信託-新竹,6165,Buy,3265台星科,"1667","1667","0"
中國信託,6160,中國信託-新竹,6165,Buy,6138茂達,"1614","1614","0"
中國信託,6160,中國信託-新竹,6165,Buy,4979華星光,"1607","1782","175"
中國信託,6160,中國信託-新竹,6165,Buy,6147頎邦,"1594","4888","3294"
中國信託,6160,中國信託-新竹,6165,Buy,00830國泰費城半導體,"1564","1870","306"
中國信託,6160,中國信託-新竹,6165,Buy,00400A主動國泰動能高息,"1488","1733","245"
中國信託,6160,中國信託-新竹,6165,Buy,00878國泰永續高股息,"1480","2161","681"
中國信託,6160,中國信託-新竹,6165,Buy,4967十銓,"1471","2150","679"
中國信託,6160,中國信託-新竹,6165,Buy,7728光焱科技,"1435","1435","0"
中國信託,6160,中國信託-新竹,6165,Buy,2363矽統,"1426","1426","0"
中國信託,6160,中國信託-新竹,6165,Buy,5269祥碩,"1418","1418","0"
中國信託,6160,中國信託-新竹,6165,Buy,00662富邦NASDAQ,"1407","1407","0"
中國信託,6160,中國信託-新竹,6165,Buy,3406玉晶光,"1379","1827","448"
中國信託,6160,中國信託-新竹,6165,Buy,00961FT臺灣永續高息,"1322","1322","0"
中國信託,6160,中國信託-新竹,6165,Sell,8096擎亞,"-28518","216","28734"
中國信託,6160,中國信託-新竹,6165,Sell,3443創意,"-11251","18089","29340"
中國信託,6160,中國信託-新竹,6165,Sell,00757統一FANG+,"-11140","90","11230"
中國信託,6160,中國信託-新竹,6165,Sell,6805富世達,"-10908","1497","12405"
中國信託,6160,中國信託-新竹,6165,Sell,2330台積電,"-9201","81202","90403"
中國信託,6160,中國信託-新竹,6165,Sell,2337旺宏,"-8548","6390","14938"
中國信託,6160,中國信託-新竹,6165,Sell,6531愛普*,"-7082","1333","8415"
中國信託,6160,中國信託-新竹,6165,Sell,2327國巨*,"-6698","27508","34206"
中國信託,6160,中國信託-新竹,6165,Sell,3653健策,"-6378","3333","9711"
中國信託,6160,中國信託-新竹,6165,Sell,7769鴻勁,"-5933","6","5939"
中國信託,6160,中國信託-新竹,6165,Sell,5347世界,"-5898","5237","11135"
中國信託,6160,中國信託-新竹,6165,Sell,2883凱基金,"-5614","149","5763"
