BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-中山,9229,Buy,2330台積電,"1105938","1155536","49598"
凱基,9200,凱基-中山,9229,Buy,2454聯發科,"311671","357835","46164"
凱基,9200,凱基-中山,9229,Buy,2382廣達,"145004","150803","5799"
凱基,9200,凱基-中山,9229,Buy,2308台達電,"110987","145111","34124"
凱基,9200,凱基-中山,9229,Buy,2327國巨*,"36089","51964","15875"
凱基,9200,凱基-中山,9229,Buy,0050元大台灣50,"16744","18963","2219"
凱基,9200,凱基-中山,9229,Buy,8299群聯,"13075","24234","11159"
凱基,9200,凱基-中山,9229,Buy,2317鴻海,"10280","14855","4575"
凱基,9200,凱基-中山,9229,Buy,6274台燿,"8531","12684","4153"
凱基,9200,凱基-中山,9229,Buy,3711日月光投控,"8420","10045","1625"
凱基,9200,凱基-中山,9229,Buy,4958臻鼎-KY,"8094","21286","13192"
凱基,9200,凱基-中山,9229,Buy,2884玉山金,"7754","9757","2003"
凱基,9200,凱基-中山,9229,Buy,2408南亞科,"6768","18374","11606"
凱基,9200,凱基-中山,9229,Buy,00631L元大台灣50正2,"5887","8859","2972"
凱基,9200,凱基-中山,9229,Buy,6669緯穎,"5152","5300","148"
凱基,9200,凱基-中山,9229,Buy,3450聯鈞,"5046","6486","1440"
凱基,9200,凱基-中山,9229,Buy,8996高力,"4911","12241","7330"
凱基,9200,凱基-中山,9229,Buy,3189景碩,"4465","6294","1829"
凱基,9200,凱基-中山,9229,Buy,8271宇瞻,"4003","11341","7338"
凱基,9200,凱基-中山,9229,Buy,6206飛捷,"3990","3990","0"
凱基,9200,凱基-中山,9229,Buy,1303南亞,"3885","7779","3894"
凱基,9200,凱基-中山,9229,Buy,00981A主動統一台股增長,"3646","6230","2584"
凱基,9200,凱基-中山,9229,Buy,4919新唐,"3247","4021","774"
凱基,9200,凱基-中山,9229,Buy,6451訊芯-KY,"3192","4164","972"
凱基,9200,凱基-中山,9229,Buy,2337旺宏,"3181","5691","2510"
