BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2317鴻海,"6784","12974","6190"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2327國巨*,"6438","13271","6833"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,8299群聯,"4494","17024","12530"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3231緯創,"4393","6661","2268"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6510精測,"4375","11460","7085"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2409友達,"3052","5276","2224"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6213聯茂,"2788","7277","4489"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,1301台塑,"2693","3234","541"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2382廣達,"2469","4727","2258"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00637L元大滬深300正2,"2404","2404","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,4991環宇-KY,"2361","2361","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00403A主動統一升級50,"2270","2605","335"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2368金像電,"2241","2241","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2313華通,"2178","3491","1313"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,1303南亞,"2052","6603","4551"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,8046南電,"1746","13405","11659"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00685L群益臺灣加權正2,"1541","4183","2642"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,0056元大高股息,"1278","1417","139"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,0050元大台灣50,"1276","5713","4437"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6274台燿,"1267","1267","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00400A主動國泰動能高息,"1256","1256","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3189景碩,"1252","4446","3194"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,5289宜鼎,"1225","1225","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3088艾訊,"1206","1327","121"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,9945潤泰新,"1178","1178","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00981A主動統一台股增長,"1169","2918","1749"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,8043蜜望實,"1164","1449","285"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3563牧德,"1126","2280","1154"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,4931新盛力,"1093","2287","1194"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3491昇達科,"1028","1028","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3163波若威,"1015","2116","1101"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6239力成,"1014","1243","229"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2867三商壽,"1011","1021","10"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,5299杰力,"967","967","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3363上詮,"896","1826","930"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00631L元大台灣50正2,"892","2329","1437"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3481群創,"887","4729","3842"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00919群益台灣精選高息,"857","1055","198"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,5347世界,"817","959","142"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,8996高力,"816","816","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6414樺漢,"812","1215","403"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2406國碩,"806","806","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6770力積電,"748","4745","3997"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3680家登,"742","1510","768"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00406A主動中信台灣收益,"677","677","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,00947台新臺灣IC設計,"676","706","30"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2337旺宏,"638","2254","1616"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,6190萬泰科,"633","633","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,3532台勝科,"621","621","0"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Buy,2451創見,"568","869","301"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2330台積電,"-7856","10591","18447"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2303聯電,"-7516","6004","13520"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,00632R元大台灣50反1,"-7362","483","7845"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,7769鴻勁,"-5895","0","5895"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3037欣興,"-4424","5914","10338"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2360致茂,"-4015","1940","5955"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2603長榮,"-3456","0","3456"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6488環球晶,"-3161","1782","4943"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,1101台泥,"-2554","314","2868"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,5386青雲,"-2430","13","2443"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2408南亞科,"-1960","2538","4498"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,8069元太,"-1865","533","2398"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,5530龍巖,"-1642","0","1642"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3234光環,"-1629","0","1629"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3450聯鈞,"-1397","737","2134"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2727王品,"-1395","0","1395"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6282康舒,"-1191","7","1198"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2542興富發,"-1143","0","1143"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,5483中美晶,"-1087","4303","5390"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6446藥華藥,"-1045","0","1045"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,00937B群益ESG投等債20,"-944","218","1162"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2753八方雲集,"-902","0","902"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2367燿華,"-901","719","1620"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,5880合庫金,"-860","0","860"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2359所羅門,"-819","708","1527"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6187萬潤,"-809","91","900"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2492華新科,"-793","40","833"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2344華邦電,"-789","6182","6971"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3033威健,"-763","0","763"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2357華碩,"-757","731","1488"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,7744崴寶,"-738","0","738"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3293鈊象,"-720","30","750"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,1476儒鴻,"-706","0","706"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2887台新新光金,"-661","0","661"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,8033雷虎,"-615","0","615"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,8021尖點,"-586","0","586"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6271同欣電,"-582","303","885"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3715定穎投控,"-566","0","566"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6598ABC-KY,"-537","0","537"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,8271宇瞻,"-445","2462","2907"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,00715L期街口布蘭特正2,"-427","522","949"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2645長榮航太,"-409","0","409"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,00663L國泰臺灣加權正2,"-398","0","398"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2890永豐金,"-386","0","386"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,3008大立光,"-371","0","371"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2886兆豐金,"-369","0","369"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,6202盛群,"-340","0","340"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2493揚博,"-337","0","337"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,00772B中信高評級公司債,"-331","0","331"
群益金鼎,9100,群益金鼎-宜蘭,003900310038007a,Sell,2481強茂,"-323","0","323"
