BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
港商麥格理,1360,港商麥格理,1360,Buy,00981A主動統一台股增長,"519928","519928","0"
港商麥格理,1360,港商麥格理,1360,Buy,5274信驊,"415507","553160","137653"
港商麥格理,1360,港商麥格理,1360,Buy,2360致茂,"213859","348259","134400"
港商麥格理,1360,港商麥格理,1360,Buy,2890永豐金,"196781","281838","85057"
港商麥格理,1360,港商麥格理,1360,Buy,6669緯穎,"107800","194040","86240"
港商麥格理,1360,港商麥格理,1360,Buy,2885元大金,"97278","222037","124759"
港商麥格理,1360,港商麥格理,1360,Buy,2883凱基金,"77512","158493","80981"
港商麥格理,1360,港商麥格理,1360,Buy,2409友達,"70671","74664","3993"
港商麥格理,1360,港商麥格理,1360,Buy,7769鴻勁,"67980","154500","86520"
港商麥格理,1360,港商麥格理,1360,Buy,3661世芯-KY,"48090","87835","39745"
港商麥格理,1360,港商麥格理,1360,Buy,00795B中信美國公債20年,"39847","39847","0"
港商麥格理,1360,港商麥格理,1360,Buy,6584南俊國際,"39062","39062","0"
港商麥格理,1360,港商麥格理,1360,Buy,4958臻鼎-KY,"37215","90557","53342"
港商麥格理,1360,港商麥格理,1360,Buy,2347聯強,"33900","53551","19651"
港商麥格理,1360,港商麥格理,1360,Buy,7734印能科技,"30290","30290","0"
港商麥格理,1360,港商麥格理,1360,Buy,00764B群益25年美債,"25295","25295","0"
港商麥格理,1360,港商麥格理,1360,Buy,6257矽格,"24388","24388","0"
港商麥格理,1360,港商麥格理,1360,Buy,3324雙鴻,"21068","24657","3589"
港商麥格理,1360,港商麥格理,1360,Buy,5536聖暉*,"19879","19879","0"
港商麥格理,1360,港商麥格理,1360,Buy,3264欣銓,"17669","17669","0"
港商麥格理,1360,港商麥格理,1360,Buy,3706神達,"16431","16431","0"
港商麥格理,1360,港商麥格理,1360,Buy,7795長廣,"15949","15949","0"
港商麥格理,1360,港商麥格理,1360,Buy,9910豐泰,"11738","11738","0"
港商麥格理,1360,港商麥格理,1360,Buy,3376新日興,"9244","11838","2594"
港商麥格理,1360,港商麥格理,1360,Buy,2855統一證,"9099","9099","0"
港商麥格理,1360,港商麥格理,1360,Buy,6505台塑化,"7646","7646","0"
港商麥格理,1360,港商麥格理,1360,Buy,3044健鼎,"5180","8487","3307"
港商麥格理,1360,港商麥格理,1360,Buy,3665貿聯-KY,"4955","325250","320295"
港商麥格理,1360,港商麥格理,1360,Buy,3673TPK-KY,"4477","4477","0"
港商麥格理,1360,港商麥格理,1360,Buy,8996高力,"4369","6079","1710"
港商麥格理,1360,港商麥格理,1360,Buy,7750新代,"4070","4070","0"
港商麥格理,1360,港商麥格理,1360,Buy,6187萬潤,"3716","8361","4645"
港商麥格理,1360,港商麥格理,1360,Buy,3363上詮,"3519","3519","0"
港商麥格理,1360,港商麥格理,1360,Buy,3596智易,"2785","2785","0"
港商麥格理,1360,港商麥格理,1360,Buy,6456GIS-KY,"2734","2734","0"
港商麥格理,1360,港商麥格理,1360,Buy,3545敦泰,"2521","2521","0"
港商麥格理,1360,港商麥格理,1360,Buy,4542科嶠,"2303","2303","0"
港商麥格理,1360,港商麥格理,1360,Buy,6285啟碁,"2220","6216","3996"
港商麥格理,1360,港商麥格理,1360,Buy,00779B凱基美債25+,"2184","2184","0"
港商麥格理,1360,港商麥格理,1360,Buy,2371大同,"1368","1368","0"
港商麥格理,1360,港商麥格理,1360,Buy,4915致伸,"1243","1243","0"
港商麥格理,1360,港商麥格理,1360,Buy,2606裕民,"1064","1064","0"
港商麥格理,1360,港商麥格理,1360,Buy,1476儒鴻,"1038","1038","0"
港商麥格理,1360,港商麥格理,1360,Buy,3413京鼎,"759","759","0"
港商麥格理,1360,港商麥格理,1360,Buy,3535晶彩科,"693","693","0"
港商麥格理,1360,港商麥格理,1360,Buy,2867三商壽,"615","615","0"
港商麥格理,1360,港商麥格理,1360,Buy,3014聯陽,"500","500","0"
港商麥格理,1360,港商麥格理,1360,Buy,2486一詮,"376","376","0"
港商麥格理,1360,港商麥格理,1360,Buy,3078僑威,"262","262","0"
