BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3231緯創,"49396","64750","15354"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2308台達電,"5419","24006","18587"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2360致茂,"4030","4030","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3008大立光,"3594","11860","8266"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2359所羅門,"3246","4865","1619"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2439美律,"2745","2745","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3036文曄,"2708","13048","10340"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,5483中美晶,"2351","12958","10607"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,8114振樺電,"2001","2011","10"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3441聯一光,"1981","2565","584"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3533嘉澤,"1852","1852","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2379瑞昱,"1550","2275","725"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3035智原,"1237","2150","913"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,8039台虹,"1183","26178","24995"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6588東典光電,"1152","3158","2006"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,1802台玻,"1109","1662","553"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00982A主動群益台灣強棒,"1074","1238","164"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6196帆宣,"937","937","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6781AES-KY,"907","907","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3576聯合再生,"863","912","49"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6640均華,"813","813","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3504揚明光,"799","868","69"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3706神達,"793","1057","264"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,7822倍利科,"778","778","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6271同欣電,"738","1105","367"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3055蔚華科,"736","736","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00400A主動國泰動能高息,"718","718","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,4979華星光,"693","742","49"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6531愛普*,"676","676","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3028增你強,"676","676","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00981A主動統一台股增長,"650","3257","2607"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3563牧德,"610","610","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,3211順達,"607","901","294"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6605帝寶,"547","684","137"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00635U期元大S＆P黃金,"509","509","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,8074鉅橡,"495","495","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6166凌華,"477","477","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2382廣達,"473","3963","3490"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00631L元大台灣50正2,"457","1701","1244"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,1785光洋科,"446","683","237"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00719B元大美債1-3,"442","442","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2467志聖,"436","484","48"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2367燿華,"434","577","143"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,00830國泰費城半導體,"432","516","84"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,6278台表科,"415","415","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,1231聯華食,"412","412","0"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2409友達,"409","10161","9752"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2369菱生,"405","434","29"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,2441超豐,"398","499","101"
華南永昌,9300,華南永昌-鶯歌,9319,Buy,1712興農,"391","391","0"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,2330台積電,"-85216","6283","91499"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,2317鴻海,"-31429","5279","36708"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,6182合晶,"-28865","514","29379"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,3260威剛,"-15676","1250","16926"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,3481群創,"-11040","13176","24216"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,2357華碩,"-8612","40","8652"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,2059川湖,"-7889","8","7897"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,2454聯發科,"-7782","117","7899"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,3017奇鋐,"-7025","0","7025"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,8028昇陽半導體,"-6736","245","6981"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,6214精誠,"-4548","150","4698"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,6239力成,"-4432","749","5181"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,0050元大台灣50,"-4239","16007","20246"
華南永昌,9300,華南永昌-鶯歌,9319,Sell,00685L群益臺灣加權正2,"-4190","5370","9560"
