BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-仁愛,003900380033006a,Buy,2330台積電,"38980","46633","7653"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2303聯電,"16107","28804","12697"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3481群創,"10172","17270","7098"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2383台光電,"9687","20305","10618"
元大證券,9800,元大-仁愛,003900380033006a,Buy,0050元大台灣50,"5453","7273","1820"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2308台達電,"4006","9427","5421"
元大證券,9800,元大-仁愛,003900380033006a,Buy,7734印能科技,"3680","3680","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3260威剛,"3624","6757","3133"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00878國泰永續高股息,"3343","3735","392"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00631L元大台灣50正2,"3281","3922","641"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3008大立光,"3163","15078","11915"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6239力成,"2910","6077","3167"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00919群益台灣精選高息,"2768","2817","49"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2207和泰車,"2654","3184","530"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3450聯鈞,"2375","2375","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3090日電貿,"2069","2069","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,1402遠東新,"1808","1808","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,1101台泥,"1698","1722","24"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00881國泰台灣科技龍頭,"1534","1542","8"
元大證券,9800,元大-仁愛,003900380033006a,Buy,8027鈦昇,"1499","1499","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,0052富邦科技,"1472","1573","101"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00735國泰臺韓科技,"1435","1435","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3105穩懋,"1218","3409","2191"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2451創見,"1190","5413","4223"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2727王品,"1148","1148","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6284佳邦,"1121","1121","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3163波若威,"1107","1167","60"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00712復華富時不動產,"884","884","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2449京元電子,"869","2547","1678"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3362先進光,"868","1041","173"
元大證券,9800,元大-仁愛,003900380033006a,Buy,8271宇瞻,"850","1322","472"
元大證券,9800,元大-仁愛,003900380033006a,Buy,8150南茂,"846","1398","552"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6191精成科,"822","905","83"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2439美律,"807","807","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6257矽格,"776","972","196"
元大證券,9800,元大-仁愛,003900380033006a,Buy,1519華城,"716","1419","703"
元大證券,9800,元大-仁愛,003900380033006a,Buy,1303南亞,"702","5789","5087"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6499益安,"680","680","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2881富邦金,"678","678","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6715嘉基,"668","668","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2379瑞昱,"665","1586","921"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3211順達,"616","616","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,3702大聯大,"587","639","52"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2476鉅祥,"575","575","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,5236凌陽創新,"574","574","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,00713元大台灣高息低波,"549","549","0"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2353宏碁,"513","599","86"
元大證券,9800,元大-仁愛,003900380033006a,Buy,2603長榮,"454","661","207"
元大證券,9800,元大-仁愛,003900380033006a,Buy,5347世界,"453","1221","768"
元大證券,9800,元大-仁愛,003900380033006a,Buy,6109亞元,"454","454","0"
元大證券,9800,元大-仁愛,003900380033006a,Sell,2454聯發科,"-17443","12123","29566"
元大證券,9800,元大-仁愛,003900380033006a,Sell,8299群聯,"-14302","5293","19595"
元大證券,9800,元大-仁愛,003900380033006a,Sell,3023信邦,"-8304","4949","13253"
元大證券,9800,元大-仁愛,003900380033006a,Sell,2301光寶科,"-7614","0","7614"
元大證券,9800,元大-仁愛,003900380033006a,Sell,3374精材,"-7350","0","7350"
元大證券,9800,元大-仁愛,003900380033006a,Sell,2408南亞科,"-6951","1544","8495"
