BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-桃園,9665,Buy,2303聯電,"217171","238948","21777"
富邦證券,9600,富邦-桃園,9665,Buy,2330台積電,"51172","59271","8099"
富邦證券,9600,富邦-桃園,9665,Buy,3231緯創,"24404","72674","48270"
富邦證券,9600,富邦-桃園,9665,Buy,2059川湖,"16332","16703","371"
富邦證券,9600,富邦-桃園,9665,Buy,6488環球晶,"15107","32179","17072"
富邦證券,9600,富邦-桃園,9665,Buy,2308台達電,"12998","44701","31703"
富邦證券,9600,富邦-桃園,9665,Buy,4958臻鼎-KY,"12665","33108","20443"
富邦證券,9600,富邦-桃園,9665,Buy,1303南亞,"12473","30431","17958"
富邦證券,9600,富邦-桃園,9665,Buy,8046南電,"10173","10877","704"
富邦證券,9600,富邦-桃園,9665,Buy,2449京元電子,"7749","17091","9342"
富邦證券,9600,富邦-桃園,9665,Buy,1101台泥,"6917","6965","48"
富邦證券,9600,富邦-桃園,9665,Buy,00878國泰永續高股息,"4642","7112","2470"
富邦證券,9600,富邦-桃園,9665,Buy,5469瀚宇博,"4196","4196","0"
富邦證券,9600,富邦-桃園,9665,Buy,00881國泰台灣科技龍頭,"3667","3718","51"
富邦證券,9600,富邦-桃園,9665,Buy,00685L群益臺灣加權正2,"3065","3957","892"
富邦證券,9600,富邦-桃園,9665,Buy,00670L富邦NASDAQ正2,"2841","2841","0"
富邦證券,9600,富邦-桃園,9665,Buy,2883凱基金,"2831","2943","112"
富邦證券,9600,富邦-桃園,9665,Buy,6472保瑞,"2761","2765","4"
富邦證券,9600,富邦-桃園,9665,Buy,2633台灣高鐵,"2752","2752","0"
富邦證券,9600,富邦-桃園,9665,Buy,009826貝萊德世界股票,"2414","2414","0"
富邦證券,9600,富邦-桃園,9665,Buy,6147頎邦,"2396","4197","1801"
富邦證券,9600,富邦-桃園,9665,Buy,1326台化,"2377","3389","1012"
富邦證券,9600,富邦-桃園,9665,Buy,6239力成,"2213","5161","2948"
富邦證券,9600,富邦-桃園,9665,Buy,3008大立光,"2101","6596","4495"
富邦證券,9600,富邦-桃園,9665,Buy,3135凌航,"2100","2742","642"
富邦證券,9600,富邦-桃園,9665,Buy,00919群益台灣精選高息,"2094","4636","2542"
富邦證券,9600,富邦-桃園,9665,Buy,3533嘉澤,"2092","2316","224"
