BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
康和,8450,康和-新竹,8456,Buy,2330台積電,"23213","23230","17"
康和,8450,康和-新竹,8456,Buy,1303南亞,"6839","7350","511"
康和,8450,康和-新竹,8456,Buy,2308台達電,"3609","3609","0"
康和,8450,康和-新竹,8456,Buy,2327國巨*,"3242","5420","2178"
康和,8450,康和-新竹,8456,Buy,2303聯電,"1890","3660","1770"
康和,8450,康和-新竹,8456,Buy,3167大量,"1590","1590","0"
康和,8450,康和-新竹,8456,Buy,3481群創,"1580","7699","6119"
康和,8450,康和-新竹,8456,Buy,6693廣閎科,"1442","1599","157"
康和,8450,康和-新竹,8456,Buy,3413京鼎,"1269","1269","0"
康和,8450,康和-新竹,8456,Buy,6213聯茂,"1156","1156","0"
康和,8450,康和-新竹,8456,Buy,2337旺宏,"760","1204","444"
康和,8450,康和-新竹,8456,Buy,00991A主動復華未來50,"687","687","0"
康和,8450,康和-新竹,8456,Buy,7769鴻勁,"641","641","0"
康和,8450,康和-新竹,8456,Buy,2409友達,"630","1859","1229"
康和,8450,康和-新竹,8456,Buy,2395研華,"577","577","0"
康和,8450,康和-新竹,8456,Buy,2441超豐,"550","550","0"
康和,8450,康和-新竹,8456,Buy,8039台虹,"522","522","0"
康和,8450,康和-新竹,8456,Buy,3034聯詠,"516","1036","520"
康和,8450,康和-新竹,8456,Buy,2371大同,"503","503","0"
康和,8450,康和-新竹,8456,Buy,3008大立光,"494","494","0"
康和,8450,康和-新竹,8456,Buy,3026禾伸堂,"471","471","0"
康和,8450,康和-新竹,8456,Buy,6533晶心科,"465","465","0"
康和,8450,康和-新竹,8456,Buy,6290良維,"434","434","0"
康和,8450,康和-新竹,8456,Buy,6789采鈺,"433","433","0"
康和,8450,康和-新竹,8456,Buy,6770力積電,"409","685","276"
康和,8450,康和-新竹,8456,Buy,3356奇偶,"409","409","0"
康和,8450,康和-新竹,8456,Buy,0050元大台灣50,"388","743","355"
康和,8450,康和-新竹,8456,Buy,00881國泰台灣科技龍頭,"366","366","0"
康和,8450,康和-新竹,8456,Buy,3260威剛,"365","1179","814"
康和,8450,康和-新竹,8456,Buy,8112至上,"336","497","161"
康和,8450,康和-新竹,8456,Buy,2316楠梓電,"298","298","0"
康和,8450,康和-新竹,8456,Buy,3289宜特,"290","290","0"
康和,8450,康和-新竹,8456,Buy,4768晶呈科技,"277","567","290"
康和,8450,康和-新竹,8456,Buy,5314世紀*,"274","274","0"
康和,8450,康和-新竹,8456,Buy,3577泓格,"252","252","0"
康和,8450,康和-新竹,8456,Buy,006208富邦台50,"251","251","0"
康和,8450,康和-新竹,8456,Buy,2393億光,"248","248","0"
康和,8450,康和-新竹,8456,Buy,5515建國,"210","508","298"
康和,8450,康和-新竹,8456,Buy,00878國泰永續高股息,"200","526","326"
康和,8450,康和-新竹,8456,Buy,00905FT臺灣Smart,"195","195","0"
