BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2303聯電,"14550","23284","8734"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2330台積電,"11160","21569","10409"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3324雙鴻,"9487","10436","949"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2812台中銀,"7749","8223","474"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3017奇鋐,"6374","22735","16361"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00631L元大台灣50正2,"5763","8015","2252"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00733富邦臺灣中小,"5177","5207","30"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6442光聖,"4945","5080","135"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3008大立光,"4256","8250","3994"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6271同欣電,"3504","5519","2015"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6505台塑化,"3116","3193","77"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,4958臻鼎-KY,"3085","12390","9305"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,8046南電,"3039","8772","5733"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6488環球晶,"2928","8378","5450"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00927群益半導體收益,"2807","3016","209"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3491昇達科,"2544","3623","1079"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3665貿聯-KY,"2182","2343","161"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6944兆聯實業,"2172","2172","0"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,5347世界,"2099","3164","1065"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2360致茂,"2069","2113","44"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00881國泰台灣科技龍頭,"2000","2102","102"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6175立敦,"1996","2069","73"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3026禾伸堂,"1825","1830","5"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3260威剛,"1732","2520","788"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2376技嘉,"1646","1662","16"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3532台勝科,"1367","1898","531"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6770力積電,"1334","6810","5476"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00923群益台ESG低碳50,"1230","1234","4"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3167大量,"1177","1701","524"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,6531愛普*,"1162","1162","0"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,4743合一,"1141","1141","0"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2395研華,"1140","1140","0"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3481群創,"1135","13537","12402"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,1303南亞,"1012","8384","7372"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,4707磐亞,"991","1144","153"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,1301台塑,"926","1103","177"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,3362先進光,"875","875","0"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,8271宇瞻,"834","1326","492"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,0056元大高股息,"833","1093","260"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,8111立碁,"827","1179","352"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,00878國泰永續高股息,"824","931","107"
永豐金,9A00,永豐金-鳳山,0039004100360031,Buy,2368金像電,"816","1724","908"
