BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-嘉義,003500330038004d,Buy,2330台積電,"17607","20782","3175"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3008大立光,"8152","20067","11915"
第一金,5380,第一金-嘉義,003500330038004d,Buy,4979華星光,"8112","9282","1170"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2303聯電,"7695","13658","5963"
第一金,5380,第一金-嘉義,003500330038004d,Buy,1477聚陽,"4335","4335","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2305全友,"4171","15686","11515"
第一金,5380,第一金-嘉義,003500330038004d,Buy,00715L期街口布蘭特正2,"3643","3869","226"
第一金,5380,第一金-嘉義,003500330038004d,Buy,6664群翊,"3388","3388","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,6770力積電,"2668","5526","2858"
第一金,5380,第一金-嘉義,003500330038004d,Buy,1303南亞,"2634","4743","2109"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3529力旺,"2270","7110","4840"
第一金,5380,第一金-嘉義,003500330038004d,Buy,1503士電,"1950","1950","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2387精元,"1885","1885","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2393億光,"1875","1875","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5289宜鼎,"1729","3109","1380"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2439美律,"1607","1767","160"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3706神達,"1595","1595","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5457宣德,"1378","1378","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2308台達電,"1338","5448","4110"
第一金,5380,第一金-嘉義,003500330038004d,Buy,00919群益台灣精選高息,"1318","1721","403"
第一金,5380,第一金-嘉義,003500330038004d,Buy,00881國泰台灣科技龍頭,"1242","1242","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,4958臻鼎-KY,"1227","9127","7900"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3090日電貿,"1218","1356","138"
第一金,5380,第一金-嘉義,003500330038004d,Buy,4938和碩,"1173","1688","515"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2324仁寶,"1103","1292","189"
第一金,5380,第一金-嘉義,003500330038004d,Buy,6016康和證,"1071","1071","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2834臺企銀,"1028","1082","54"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5536聖暉*,"961","961","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,8046南電,"953","14764","13811"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2492華新科,"919","919","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,1101台泥,"889","889","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,0056元大高股息,"865","1536","671"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3044健鼎,"829","829","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5534長虹,"775","775","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,4105東洋,"748","748","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2353宏碁,"744","1500","756"
第一金,5380,第一金-嘉義,003500330038004d,Buy,6176瑞儀,"646","813","167"
第一金,5380,第一金-嘉義,003500330038004d,Buy,0050元大台灣50,"602","2619","2017"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5471松翰,"546","601","55"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3034聯詠,"527","527","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2207和泰車,"522","522","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3305昇貿,"517","615","98"
第一金,5380,第一金-嘉義,003500330038004d,Buy,2449京元電子,"481","1449","968"
第一金,5380,第一金-嘉義,003500330038004d,Buy,5347世界,"468","1075","607"
第一金,5380,第一金-嘉義,003500330038004d,Buy,1314中石化,"458","458","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,00878國泰永續高股息,"457","480","23"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3680家登,"445","445","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,6901鑽石投資,"423","440","17"
第一金,5380,第一金-嘉義,003500330038004d,Buy,9921巨大,"423","423","0"
第一金,5380,第一金-嘉義,003500330038004d,Buy,3149正達,"400","400","0"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2610華航,"-11903","135","12038"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6488環球晶,"-7083","964","8047"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3231緯創,"-6511","11975","18486"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2454聯發科,"-6195","4","6199"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2327國巨*,"-6002","2141","8143"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3037欣興,"-5941","845","6786"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2317鴻海,"-5907","3288","9195"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00981A主動統一台股增長,"-4560","237","4797"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3661世芯-KY,"-3563","16","3579"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2646星宇航空,"-3391","0","3391"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2801彰銀,"-3366","281","3647"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00991A主動復華未來50,"-3208","1711","4919"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2408南亞科,"-3195","1146","4341"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3135凌航,"-3036","0","3036"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6669緯穎,"-2631","0","2631"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3017奇鋐,"-2472","41","2513"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3711日月光投控,"-2132","0","2132"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2301光寶科,"-2077","0","2077"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2344華邦電,"-1964","0","1964"
第一金,5380,第一金-嘉義,003500330038004d,Sell,8299群聯,"-1937","28","1965"
第一金,5380,第一金-嘉義,003500330038004d,Sell,1795美時,"-1854","0","1854"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6830汎銓,"-1853","0","1853"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6213聯茂,"-1850","0","1850"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6147頎邦,"-1799","1768","3567"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00918大華優利高填息30,"-1650","0","1650"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3189景碩,"-1630","0","1630"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2357華碩,"-1613","0","1613"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2881富邦金,"-1572","0","1572"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3374精材,"-1526","291","1817"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3481群創,"-1511","7141","8652"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3019亞光,"-1454","0","1454"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2382廣達,"-1388","136","1524"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2421建準,"-1310","0","1310"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2027大成鋼,"-1254","4","1258"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00685L群益臺灣加權正2,"-1240","322","1562"
第一金,5380,第一金-嘉義,003500330038004d,Sell,3260威剛,"-1171","4324","5495"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6279胡連,"-1160","0","1160"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2404漢唐,"-1100","0","1100"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2049上銀,"-1000","0","1000"
第一金,5380,第一金-嘉義,003500330038004d,Sell,5274信驊,"-949","0","949"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00999A主動野村臺灣高息,"-932","0","932"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00410A主動永豐科技趨勢,"-925","0","925"
第一金,5380,第一金-嘉義,003500330038004d,Sell,8996高力,"-909","0","909"
第一金,5380,第一金-嘉義,003500330038004d,Sell,4510高鋒,"-901","0","901"
第一金,5380,第一金-嘉義,003500330038004d,Sell,009816凱基台灣TOP50,"-873","2252","3125"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2313華通,"-868","4514","5382"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2615萬海,"-860","0","860"
第一金,5380,第一金-嘉義,003500330038004d,Sell,00663L國泰臺灣加權正2,"-835","0","835"
第一金,5380,第一金-嘉義,003500330038004d,Sell,2379瑞昱,"-769","0","769"
第一金,5380,第一金-嘉義,003500330038004d,Sell,6139亞翔,"-723","5389","6112"
