BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美好,5260,美好-基隆,5267,Buy,8299群聯,"8847","8865","18"
美好,5260,美好-基隆,5267,Buy,2330台積電,"5788","8163","2375"
美好,5260,美好-基隆,5267,Buy,2834臺企銀,"4095","4095","0"
美好,5260,美好-基隆,5267,Buy,2303聯電,"1894","4159","2265"
美好,5260,美好-基隆,5267,Buy,6770力積電,"1794","3287","1493"
美好,5260,美好-基隆,5267,Buy,00685L群益臺灣加權正2,"1758","1758","0"
美好,5260,美好-基隆,5267,Buy,3260威剛,"1559","2354","795"
美好,5260,美好-基隆,5267,Buy,0050元大台灣50,"1533","1533","0"
美好,5260,美好-基隆,5267,Buy,5289宜鼎,"1390","1390","0"
美好,5260,美好-基隆,5267,Buy,4958臻鼎-KY,"913","1346","433"
美好,5260,美好-基隆,5267,Buy,2412中華電,"829","969","140"
美好,5260,美好-基隆,5267,Buy,6121新普,"721","721","0"
美好,5260,美好-基隆,5267,Buy,1519華城,"691","2102","1411"
美好,5260,美好-基隆,5267,Buy,2912統一超,"664","664","0"
美好,5260,美好-基隆,5267,Buy,1326台化,"624","680","56"
美好,5260,美好-基隆,5267,Buy,2455全新,"610","923","313"
美好,5260,美好-基隆,5267,Buy,4585達明,"575","575","0"
美好,5260,美好-基隆,5267,Buy,00881國泰台灣科技龍頭,"510","561","51"
美好,5260,美好-基隆,5267,Buy,2308台達電,"501","512","11"
美好,5260,美好-基隆,5267,Buy,6719力智,"411","411","0"
美好,5260,美好-基隆,5267,Buy,3357臺慶科,"406","406","0"
美好,5260,美好-基隆,5267,Buy,3707漢磊,"342","342","0"
美好,5260,美好-基隆,5267,Buy,3207耀勝,"320","320","0"
美好,5260,美好-基隆,5267,Buy,6271同欣電,"320","320","0"
美好,5260,美好-基隆,5267,Buy,2376技嘉,"314","1289","975"
美好,5260,美好-基隆,5267,Buy,2377微星,"283","428","145"
美好,5260,美好-基隆,5267,Buy,1303南亞,"281","1116","835"
美好,5260,美好-基隆,5267,Buy,1785光洋科,"248","248","0"
美好,5260,美好-基隆,5267,Buy,3048益登,"242","242","0"
美好,5260,美好-基隆,5267,Buy,2436偉詮電,"231","231","0"
美好,5260,美好-基隆,5267,Buy,6290良維,"218","218","0"
美好,5260,美好-基隆,5267,Buy,6472保瑞,"198","198","0"
美好,5260,美好-基隆,5267,Buy,2305全友,"194","194","0"
美好,5260,美好-基隆,5267,Buy,3455由田,"168","168","0"
美好,5260,美好-基隆,5267,Buy,5347世界,"163","313","150"
美好,5260,美好-基隆,5267,Buy,00990A主動元大AI新經濟,"154","154","0"
美好,5260,美好-基隆,5267,Buy,4105東洋,"149","149","0"
美好,5260,美好-基隆,5267,Buy,00929復華台灣科技優息,"137","137","0"
美好,5260,美好-基隆,5267,Buy,5469瀚宇博,"136","136","0"
美好,5260,美好-基隆,5267,Buy,2610華航,"134","134","0"
美好,5260,美好-基隆,5267,Buy,00400A主動國泰動能高息,"133","133","0"
美好,5260,美好-基隆,5267,Buy,3090日電貿,"133","133","0"
美好,5260,美好-基隆,5267,Buy,4442竣邦-KY,"131","131","0"
美好,5260,美好-基隆,5267,Buy,1736喬山,"130","130","0"
美好,5260,美好-基隆,5267,Buy,6525捷敏-KY,"127","127","0"
美好,5260,美好-基隆,5267,Buy,2634漢翔,"122","122","0"
美好,5260,美好-基隆,5267,Buy,2375凱美,"121","247","126"
美好,5260,美好-基隆,5267,Buy,3029零壹,"121","121","0"
美好,5260,美好-基隆,5267,Buy,0056元大高股息,"98","98","0"
美好,5260,美好-基隆,5267,Buy,00953B群益優選非投等債,"98","98","0"
美好,5260,美好-基隆,5267,Sell,2317鴻海,"-6822","1401","8223"
美好,5260,美好-基隆,5267,Sell,6196帆宣,"-5555","0","5555"
美好,5260,美好-基隆,5267,Sell,2408南亞科,"-5086","0","5086"
美好,5260,美好-基隆,5267,Sell,3231緯創,"-2775","2380","5155"
美好,5260,美好-基隆,5267,Sell,2344華邦電,"-1424","137","1561"
美好,5260,美好-基隆,5267,Sell,3711日月光投控,"-1226","0","1226"
美好,5260,美好-基隆,5267,Sell,5483中美晶,"-1200","0","1200"
美好,5260,美好-基隆,5267,Sell,2362藍天,"-986","452","1438"
美好,5260,美好-基隆,5267,Sell,00631L元大台灣50正2,"-726","130","856"
美好,5260,美好-基隆,5267,Sell,3374精材,"-603","0","603"
美好,5260,美好-基隆,5267,Sell,2382廣達,"-577","15","592"
美好,5260,美好-基隆,5267,Sell,6147頎邦,"-559","135","694"
美好,5260,美好-基隆,5267,Sell,2313華通,"-525","0","525"
美好,5260,美好-基隆,5267,Sell,4763材料*-KY,"-503","0","503"
美好,5260,美好-基隆,5267,Sell,2301光寶科,"-484","0","484"
美好,5260,美好-基隆,5267,Sell,3706神達,"-474","88","562"
美好,5260,美好-基隆,5267,Sell,3036文曄,"-409","0","409"
美好,5260,美好-基隆,5267,Sell,8110華東,"-408","0","408"
美好,5260,美好-基隆,5267,Sell,4979華星光,"-407","0","407"
美好,5260,美好-基隆,5267,Sell,4991環宇-KY,"-388","0","388"
美好,5260,美好-基隆,5267,Sell,1301台塑,"-380","55","435"
美好,5260,美好-基隆,5267,Sell,6451訊芯-KY,"-375","0","375"
美好,5260,美好-基隆,5267,Sell,3293鈊象,"-367","0","367"
美好,5260,美好-基隆,5267,Sell,3062建漢,"-288","0","288"
美好,5260,美好-基隆,5267,Sell,2882國泰金,"-286","20","306"
美好,5260,美好-基隆,5267,Sell,2454聯發科,"-285","0","285"
美好,5260,美好-基隆,5267,Sell,4526東台,"-279","0","279"
美好,5260,美好-基隆,5267,Sell,4973廣穎,"-272","0","272"
美好,5260,美好-基隆,5267,Sell,6862三集瑞-KY,"-271","0","271"
美好,5260,美好-基隆,5267,Sell,9939宏全,"-258","0","258"
美好,5260,美好-基隆,5267,Sell,2449京元電子,"-245","468","713"
美好,5260,美好-基隆,5267,Sell,00991A主動復華未來50,"-241","16","257"
美好,5260,美好-基隆,5267,Sell,3535晶彩科,"-238","0","238"
美好,5260,美好-基隆,5267,Sell,4967十銓,"-237","0","237"
美好,5260,美好-基隆,5267,Sell,2605新興,"-218","0","218"
美好,5260,美好-基隆,5267,Sell,7734印能科技,"-217","0","217"
美好,5260,美好-基隆,5267,Sell,2486一詮,"-206","0","206"
美好,5260,美好-基隆,5267,Sell,6679鈺太,"-205","0","205"
美好,5260,美好-基隆,5267,Sell,3006晶豪科,"-189","0","189"
美好,5260,美好-基隆,5267,Sell,8261富鼎,"-180","0","180"
美好,5260,美好-基隆,5267,Sell,5388中磊,"-174","0","174"
美好,5260,美好-基隆,5267,Sell,3362先進光,"-172","0","172"
