BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美好,5260,美好-楊梅,5262,Buy,2303聯電,"19479","25107","5628"
美好,5260,美好-楊梅,5262,Buy,2330台積電,"15793","16535","742"
美好,5260,美好-楊梅,5262,Buy,2360致茂,"4069","8054","3985"
美好,5260,美好-楊梅,5262,Buy,2308台達電,"4007","4007","0"
美好,5260,美好-楊梅,5262,Buy,4958臻鼎-KY,"2336","7589","5253"
美好,5260,美好-楊梅,5262,Buy,3090日電貿,"2179","2317","138"
美好,5260,美好-楊梅,5262,Buy,3533嘉澤,"2005","2005","0"
美好,5260,美好-楊梅,5262,Buy,6488環球晶,"1684","2685","1001"
美好,5260,美好-楊梅,5262,Buy,00631L元大台灣50正2,"1674","3021","1347"
美好,5260,美好-楊梅,5262,Buy,8271宇瞻,"1531","1999","468"
美好,5260,美好-楊梅,5262,Buy,2377微星,"1430","2851","1421"
美好,5260,美好-楊梅,5262,Buy,5347世界,"1344","3487","2143"
美好,5260,美好-楊梅,5262,Buy,2912統一超,"1336","1336","0"
美好,5260,美好-楊梅,5262,Buy,8096擎亞,"1308","1432","124"
美好,5260,美好-楊梅,5262,Buy,6770力積電,"1139","6073","4934"
美好,5260,美好-楊梅,5262,Buy,00405A主動富邦台灣龍耀,"1124","1603","479"
美好,5260,美好-楊梅,5262,Buy,1303南亞,"1106","5672","4566"
美好,5260,美好-楊梅,5262,Buy,3362先進光,"1007","2798","1791"
美好,5260,美好-楊梅,5262,Buy,1301台塑,"978","1474","496"
美好,5260,美好-楊梅,5262,Buy,8261富鼎,"956","1206","250"
美好,5260,美好-楊梅,5262,Buy,3004豐達科,"870","1122","252"
美好,5260,美好-楊梅,5262,Buy,00878國泰永續高股息,"806","1080","274"
美好,5260,美好-楊梅,5262,Buy,00881國泰台灣科技龍頭,"736","736","0"
美好,5260,美好-楊梅,5262,Buy,00690兆豐藍籌30,"735","735","0"
美好,5260,美好-楊梅,5262,Buy,2428興勤,"673","673","0"
美好,5260,美好-楊梅,5262,Buy,6147頎邦,"638","1194","556"
美好,5260,美好-楊梅,5262,Buy,2072世紀風電,"630","630","0"
美好,5260,美好-楊梅,5262,Buy,8150南茂,"620","1007","387"
美好,5260,美好-楊梅,5262,Buy,3481群創,"601","5008","4407"
美好,5260,美好-楊梅,5262,Buy,1216統一,"543","543","0"
美好,5260,美好-楊梅,5262,Buy,2883凱基金,"541","541","0"
美好,5260,美好-楊梅,5262,Buy,00981A主動統一台股增長,"530","830","300"
美好,5260,美好-楊梅,5262,Buy,6533晶心科,"473","473","0"
美好,5260,美好-楊梅,5262,Buy,2359所羅門,"470","1017","547"
美好,5260,美好-楊梅,5262,Buy,0050元大台灣50,"459","2380","1921"
美好,5260,美好-楊梅,5262,Buy,2484希華,"443","510","67"
美好,5260,美好-楊梅,5262,Buy,00945B凱基美國非投等債,"440","440","0"
美好,5260,美好-楊梅,5262,Buy,2892第一金,"432","432","0"
美好,5260,美好-楊梅,5262,Buy,6239力成,"423","5268","4845"
美好,5260,美好-楊梅,5262,Buy,8042金山電,"409","518","109"
美好,5260,美好-楊梅,5262,Buy,2374佳能,"403","403","0"
美好,5260,美好-楊梅,5262,Buy,2027大成鋼,"401","445","44"
美好,5260,美好-楊梅,5262,Buy,4979華星光,"393","393","0"
美好,5260,美好-楊梅,5262,Buy,1810和成,"385","385","0"
美好,5260,美好-楊梅,5262,Buy,6432今展科,"379","451","72"
美好,5260,美好-楊梅,5262,Buy,5475德宏,"364","364","0"
美好,5260,美好-楊梅,5262,Buy,2834臺企銀,"359","359","0"
美好,5260,美好-楊梅,5262,Buy,2884玉山金,"347","386","39"
美好,5260,美好-楊梅,5262,Buy,1802台玻,"329","523","194"
美好,5260,美好-楊梅,5262,Buy,5328華容,"320","1343","1023"
美好,5260,美好-楊梅,5262,Sell,2408南亞科,"-12765","807","13572"
美好,5260,美好-楊梅,5262,Sell,3231緯創,"-7318","8311","15629"
美好,5260,美好-楊梅,5262,Sell,3017奇鋐,"-5161","2530","7691"
美好,5260,美好-楊梅,5262,Sell,3037欣興,"-4937","860","5797"
美好,5260,美好-楊梅,5262,Sell,2317鴻海,"-4625","6549","11174"
美好,5260,美好-楊梅,5262,Sell,3653健策,"-4231","0","4231"
美好,5260,美好-楊梅,5262,Sell,00632R元大台灣50反1,"-4215","105","4320"
美好,5260,美好-楊梅,5262,Sell,3443創意,"-4165","0","4165"
美好,5260,美好-楊梅,5262,Sell,6139亞翔,"-3025","766","3791"
美好,5260,美好-楊梅,5262,Sell,3661世芯-KY,"-3025","292","3317"
美好,5260,美好-楊梅,5262,Sell,3711日月光投控,"-2825","0","2825"
美好,5260,美好-楊梅,5262,Sell,2454聯發科,"-2557","51","2608"
美好,5260,美好-楊梅,5262,Sell,7751竑騰,"-2500","0","2500"
美好,5260,美好-楊梅,5262,Sell,2409友達,"-2475","2714","5189"
美好,5260,美好-楊梅,5262,Sell,2345智邦,"-2351","0","2351"
美好,5260,美好-楊梅,5262,Sell,2476鉅祥,"-2121","0","2121"
美好,5260,美好-楊梅,5262,Sell,2344華邦電,"-2052","2216","4268"
美好,5260,美好-楊梅,5262,Sell,2441超豐,"-1960","0","1960"
美好,5260,美好-楊梅,5262,Sell,8299群聯,"-1909","3843","5752"
美好,5260,美好-楊梅,5262,Sell,2645長榮航太,"-1860","0","1860"
美好,5260,美好-楊梅,5262,Sell,2301光寶科,"-1859","0","1859"
美好,5260,美好-楊梅,5262,Sell,00937B群益ESG投等債20,"-1848","15","1863"
美好,5260,美好-楊梅,5262,Sell,2451創見,"-1707","873","2580"
美好,5260,美好-楊梅,5262,Sell,00933B國泰10Y+金融債,"-1449","635","2084"
美好,5260,美好-楊梅,5262,Sell,00772B中信高評級公司債,"-1324","0","1324"
美好,5260,美好-楊梅,5262,Sell,2337旺宏,"-1312","674","1986"
美好,5260,美好-楊梅,5262,Sell,2382廣達,"-1210","1748","2958"
美好,5260,美好-楊梅,5262,Sell,3105穩懋,"-1206","960","2166"
美好,5260,美好-楊梅,5262,Sell,2327國巨*,"-1163","2166","3329"
美好,5260,美好-楊梅,5262,Sell,2313華通,"-1098","548","1646"
美好,5260,美好-楊梅,5262,Sell,00918大華優利高填息30,"-1076","97","1173"
美好,5260,美好-楊梅,5262,Sell,2354鴻準,"-1057","111","1168"
美好,5260,美好-楊梅,5262,Sell,3363上詮,"-1041","1580","2621"
美好,5260,美好-楊梅,5262,Sell,2481強茂,"-1036","125","1161"
美好,5260,美好-楊梅,5262,Sell,2615萬海,"-1026","0","1026"
美好,5260,美好-楊梅,5262,Sell,00935野村臺灣新科技50,"-1021","54","1075"
美好,5260,美好-楊梅,5262,Sell,2356英業達,"-1009","376","1385"
美好,5260,美好-楊梅,5262,Sell,6187萬潤,"-995","0","995"
美好,5260,美好-楊梅,5262,Sell,00403A主動統一升級50,"-968","910","1878"
美好,5260,美好-楊梅,5262,Sell,3211順達,"-952","306","1258"
美好,5260,美好-楊梅,5262,Sell,6669緯穎,"-912","12","924"
美好,5260,美好-楊梅,5262,Sell,0052富邦科技,"-892","593","1485"
美好,5260,美好-楊梅,5262,Sell,3088艾訊,"-854","115","969"
美好,5260,美好-楊梅,5262,Sell,6226光鼎,"-840","65","905"
美好,5260,美好-楊梅,5262,Sell,2867三商壽,"-807","10","817"
美好,5260,美好-楊梅,5262,Sell,8210勤誠,"-774","0","774"
美好,5260,美好-楊梅,5262,Sell,1815富喬,"-771","69","840"
美好,5260,美好-楊梅,5262,Sell,3189景碩,"-699","0","699"
美好,5260,美好-楊梅,5262,Sell,2049上銀,"-666","0","666"
美好,5260,美好-楊梅,5262,Sell,5483中美晶,"-652","167","819"
