BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美好,5260,美好-苗栗,5265,Buy,00881國泰台灣科技龍頭,"10577","10679","102"
美好,5260,美好-苗栗,5265,Buy,2303聯電,"6103","8002","1899"
美好,5260,美好-苗栗,5265,Buy,2360致茂,"4085","4085","0"
美好,5260,美好-苗栗,5265,Buy,0050元大台灣50,"3364","3883","519"
美好,5260,美好-苗栗,5265,Buy,2308台達電,"3236","4869","1633"
美好,5260,美好-苗栗,5265,Buy,4958臻鼎-KY,"1882","6535","4653"
美好,5260,美好-苗栗,5265,Buy,6770力積電,"1787","2666","879"
美好,5260,美好-苗栗,5265,Buy,7822倍利科,"1542","1542","0"
美好,5260,美好-苗栗,5265,Buy,3481群創,"1359","4594","3235"
美好,5260,美好-苗栗,5265,Buy,6127九豪,"1330","1330","0"
美好,5260,美好-苗栗,5265,Buy,8046南電,"990","990","0"
美好,5260,美好-苗栗,5265,Buy,5328華容,"964","1436","472"
美好,5260,美好-苗栗,5265,Buy,3715定穎投控,"840","1049","209"
美好,5260,美好-苗栗,5265,Buy,2834臺企銀,"836","836","0"
美好,5260,美好-苗栗,5265,Buy,00830國泰費城半導體,"829","829","0"
美好,5260,美好-苗栗,5265,Buy,3293鈊象,"757","765","8"
美好,5260,美好-苗栗,5265,Buy,6155鈞寶,"607","607","0"
美好,5260,美好-苗栗,5265,Buy,3363上詮,"520","520","0"
美好,5260,美好-苗栗,5265,Buy,2312金寶,"504","1312","808"
美好,5260,美好-苗栗,5265,Buy,8261富鼎,"503","842","339"
美好,5260,美好-苗栗,5265,Buy,1326台化,"500","736","236"
美好,5260,美好-苗栗,5265,Buy,2449京元電子,"496","969","473"
美好,5260,美好-苗栗,5265,Buy,1513中興電,"469","469","0"
美好,5260,美好-苗栗,5265,Buy,3105穩懋,"445","1386","941"
美好,5260,美好-苗栗,5265,Buy,8271宇瞻,"442","442","0"
美好,5260,美好-苗栗,5265,Buy,6672騰輝電子-KY,"424","424","0"
美好,5260,美好-苗栗,5265,Buy,5534長虹,"388","388","0"
美好,5260,美好-苗栗,5265,Buy,00888永豐台灣ESG,"374","374","0"
美好,5260,美好-苗栗,5265,Buy,00878國泰永續高股息,"354","354","0"
美好,5260,美好-苗栗,5265,Buy,3630新鉅科,"346","346","0"
美好,5260,美好-苗栗,5265,Buy,7799禾榮科,"344","344","0"
美好,5260,美好-苗栗,5265,Buy,8110華東,"326","367","41"
美好,5260,美好-苗栗,5265,Buy,6727亞泰金屬,"321","321","0"
美好,5260,美好-苗栗,5265,Buy,8150南茂,"306","694","388"
美好,5260,美好-苗栗,5265,Buy,3211順達,"305","616","311"
美好,5260,美好-苗栗,5265,Buy,2887台新新光金,"283","530","247"
美好,5260,美好-苗栗,5265,Buy,00935野村臺灣新科技50,"270","270","0"
美好,5260,美好-苗栗,5265,Buy,2882國泰金,"266","396","130"
美好,5260,美好-苗栗,5265,Buy,6239力成,"255","497","242"
美好,5260,美好-苗栗,5265,Buy,6725矽科宏晟,"248","248","0"
美好,5260,美好-苗栗,5265,Buy,8112至上,"245","327","82"
美好,5260,美好-苗栗,5265,Buy,3088艾訊,"242","485","243"
美好,5260,美好-苗栗,5265,Buy,00701國泰股利精選30,"233","233","0"
美好,5260,美好-苗栗,5265,Buy,6469大樹,"232","232","0"
美好,5260,美好-苗栗,5265,Buy,009826貝萊德世界股票,"231","231","0"
