BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-路竹,0035003300380050,Buy,6669緯穎,"139895","158774","18879"
第一金,5380,第一金-路竹,0035003300380050,Buy,3653健策,"43256","51819","8563"
第一金,5380,第一金-路竹,0035003300380050,Buy,2330台積電,"40221","47594","7373"
第一金,5380,第一金-路竹,0035003300380050,Buy,2027大成鋼,"21920","22193","273"
第一金,5380,第一金-路竹,0035003300380050,Buy,2327國巨*,"16047","39914","23867"
第一金,5380,第一金-路竹,0035003300380050,Buy,3481群創,"15108","30867","15759"
第一金,5380,第一金-路竹,0035003300380050,Buy,3711日月光投控,"12286","19987","7701"
第一金,5380,第一金-路竹,0035003300380050,Buy,2454聯發科,"9798","23010","13212"
第一金,5380,第一金-路竹,0035003300380050,Buy,2313華通,"9169","15411","6242"
第一金,5380,第一金-路竹,0035003300380050,Buy,4938和碩,"8760","8939","179"
第一金,5380,第一金-路竹,0035003300380050,Buy,2412中華電,"8082","8082","0"
第一金,5380,第一金-路竹,0035003300380050,Buy,2303聯電,"6634","10969","4335"
第一金,5380,第一金-路竹,0035003300380050,Buy,2241艾姆勒,"6260","6260","0"
第一金,5380,第一金-路竹,0035003300380050,Buy,2337旺宏,"5842","10018","4176"
第一金,5380,第一金-路竹,0035003300380050,Buy,6290良維,"5043","5258","215"
第一金,5380,第一金-路竹,0035003300380050,Buy,0050元大台灣50,"4786","7466","2680"
第一金,5380,第一金-路竹,0035003300380050,Buy,2347聯強,"4638","4963","325"
第一金,5380,第一金-路竹,0035003300380050,Buy,3374精材,"4367","6643","2276"
第一金,5380,第一金-路竹,0035003300380050,Buy,3362先進光,"4359","8044","3685"
第一金,5380,第一金-路竹,0035003300380050,Buy,00708L期元大S＆P黃金正2,"4085","4085","0"
第一金,5380,第一金-路竹,0035003300380050,Buy,2382廣達,"4054","7369","3315"
第一金,5380,第一金-路竹,0035003300380050,Buy,3443創意,"3985","12692","8707"
第一金,5380,第一金-路竹,0035003300380050,Buy,1326台化,"3882","4466","584"
第一金,5380,第一金-路竹,0035003300380050,Buy,6139亞翔,"3634","5226","1592"
第一金,5380,第一金-路竹,0035003300380050,Buy,3090日電貿,"3478","4188","710"
第一金,5380,第一金-路竹,0035003300380050,Buy,00981A主動統一台股增長,"3431","6228","2797"
第一金,5380,第一金-路竹,0035003300380050,Buy,2324仁寶,"3370","4777","1407"
第一金,5380,第一金-路竹,0035003300380050,Buy,8358金居,"3218","5254","2036"
第一金,5380,第一金-路竹,0035003300380050,Buy,1802台玻,"2889","3676","787"
第一金,5380,第一金-路竹,0035003300380050,Buy,2360致茂,"2854","8739","5885"
第一金,5380,第一金-路竹,0035003300380050,Buy,6138茂達,"2655","2656","1"
第一金,5380,第一金-路竹,0035003300380050,Buy,2891中信金,"2532","2601","69"
第一金,5380,第一金-路竹,0035003300380050,Buy,3026禾伸堂,"2459","2459","0"
