BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6805富世達,"78680","78715","35"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,00632R元大台灣50反1,"23338","24415","1077"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2618長榮航,"21469","21686","217"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5274信驊,"15821","15981","160"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2330台積電,"12930","42357","29427"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2327國巨*,"11676","17379","5703"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2308台達電,"11386","18523","7137"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2382廣達,"8770","9090","320"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3481群創,"5962","13539","7577"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3711日月光投控,"5526","11311","5785"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2454聯發科,"4269","9241","4972"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,8046南電,"4220","6189","1969"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5289宜鼎,"4192","4192","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2357華碩,"4040","4040","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,0050元大台灣50,"2769","6049","3280"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6166凌華,"2680","2804","124"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5880合庫金,"2513","2677","164"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,8358金居,"2413","3099","686"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,1303南亞,"2336","14911","12575"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3234光環,"2236","2236","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3450聯鈞,"2140","6451","4311"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2481強茂,"2128","2898","770"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2303聯電,"2036","7869","5833"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5483中美晶,"1935","5954","4019"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,1722台肥,"1894","2347","453"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2049上銀,"1715","1715","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6139亞翔,"1672","5548","3876"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3374精材,"1588","1628","40"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,1101台泥,"1506","1506","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,1560中砂,"1444","2114","670"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3037欣興,"1374","16476","15102"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2485兆赫,"1317","1396","79"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2884玉山金,"1295","1789","494"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6274台燿,"1270","7959","6689"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,4207環泰,"1243","1243","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6197佳必琪,"1210","1210","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,3406玉晶光,"1044","1044","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2449京元電子,"1003","1978","975"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2801彰銀,"960","963","3"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,00992A主動群益科技創新,"930","986","56"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,00929復華台灣科技優息,"925","925","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,2368金像電,"890","1784","894"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5328華容,"883","2623","1740"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,4916事欣科,"793","1297","504"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,6472保瑞,"783","783","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5609中菲行,"780","780","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,5475德宏,"768","1031","263"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,00662富邦NASDAQ,"768","768","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,8027鈦昇,"711","1053","342"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Buy,00947台新臺灣IC設計,"671","671","0"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,2883凱基金,"-40100","31","40131"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,00665L富邦恒生國企正2,"-23459","39","23498"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,2408南亞科,"-22379","33585","55964"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,00631L元大台灣50正2,"-20884","3630","24514"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,6669緯穎,"-12474","66","12540"
群益金鼎,9100,群益金鼎-新莊,0039003100380047,Sell,3665貿聯-KY,"-9261","8892","18153"
