BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-大甲,9315,Buy,1303南亞,"42805","43719","914"
華南永昌,9300,華南永昌-大甲,9315,Buy,2360致茂,"4211","6186","1975"
華南永昌,9300,華南永昌-大甲,9315,Buy,2486一詮,"4198","4419","221"
華南永昌,9300,華南永昌-大甲,9315,Buy,1326台化,"3617","3676","59"
華南永昌,9300,華南永昌-大甲,9315,Buy,6271同欣電,"3502","4026","524"
華南永昌,9300,華南永昌-大甲,9315,Buy,2303聯電,"2743","3969","1226"
華南永昌,9300,華南永昌-大甲,9315,Buy,3163波若威,"1904","2561","657"
華南永昌,9300,華南永昌-大甲,9315,Buy,2492華新科,"1795","3068","1273"
華南永昌,9300,華南永昌-大甲,9315,Buy,00881國泰台灣科技龍頭,"1508","1508","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,5289宜鼎,"1454","1454","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,00982A主動群益台灣強棒,"1433","1433","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2337旺宏,"1244","3807","2563"
華南永昌,9300,華南永昌-大甲,9315,Buy,2382廣達,"1006","1012","6"
華南永昌,9300,華南永昌-大甲,9315,Buy,2313華通,"992","1401","409"
華南永昌,9300,華南永昌-大甲,9315,Buy,3324雙鴻,"963","963","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,00405A主動富邦台灣龍耀,"786","866","80"
華南永昌,9300,華南永昌-大甲,9315,Buy,2466冠西電,"574","574","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,6213聯茂,"566","1507","941"
華南永昌,9300,華南永昌-大甲,9315,Buy,2002中鋼,"560","562","2"
華南永昌,9300,華南永昌-大甲,9315,Buy,5483中美晶,"547","547","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,1809中釉,"543","543","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2467志聖,"505","505","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2327國巨*,"488","4188","3700"
華南永昌,9300,華南永昌-大甲,9315,Buy,2618長榮航,"439","483","44"
華南永昌,9300,華南永昌-大甲,9315,Buy,1617榮星,"430","521","91"
華南永昌,9300,華南永昌-大甲,9315,Buy,00632R元大台灣50反1,"412","530","118"
華南永昌,9300,華南永昌-大甲,9315,Buy,4939亞電,"397","508","111"
華南永昌,9300,華南永昌-大甲,9315,Buy,4931新盛力,"392","392","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,8110華東,"389","389","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,3441聯一光,"354","354","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2049上銀,"348","348","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,0050元大台灣50,"342","402","60"
華南永昌,9300,華南永昌-大甲,9315,Buy,8341日友,"300","300","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2412中華電,"287","287","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2423固緯,"280","280","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2451創見,"274","559","285"
華南永昌,9300,華南永昌-大甲,9315,Buy,5469瀚宇博,"269","406","137"
華南永昌,9300,華南永昌-大甲,9315,Buy,8299群聯,"254","254","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,3543州巧,"227","227","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,00891中信關鍵半導體,"222","222","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,6672騰輝電子-KY,"215","215","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,9958世紀鋼,"210","210","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,00922國泰台灣領袖50,"205","205","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2233宇隆,"204","204","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2367燿華,"200","240","40"
華南永昌,9300,華南永昌-大甲,9315,Buy,0056元大高股息,"196","497","301"
華南永昌,9300,華南永昌-大甲,9315,Buy,2105正新,"181","181","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,2027大成鋼,"173","394","221"
華南永昌,9300,華南永昌-大甲,9315,Buy,2393億光,"164","164","0"
華南永昌,9300,華南永昌-大甲,9315,Buy,8150南茂,"162","493","331"
華南永昌,9300,華南永昌-大甲,9315,Sell,2408南亞科,"-44687","8623","53310"
華南永昌,9300,華南永昌-大甲,9315,Sell,6239力成,"-31842","325","32167"
華南永昌,9300,華南永昌-大甲,9315,Sell,2357華碩,"-23255","0","23255"
華南永昌,9300,華南永昌-大甲,9315,Sell,2449京元電子,"-21277","495","21772"
華南永昌,9300,華南永昌-大甲,9315,Sell,2308台達電,"-20595","173","20768"
華南永昌,9300,華南永昌-大甲,9315,Sell,00631L元大台灣50正2,"-16857","1965","18822"
華南永昌,9300,華南永昌-大甲,9315,Sell,2301光寶科,"-14788","0","14788"
