BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-竹南,0039003800330056,Buy,6488環球晶,"20537","25942","5405"
元大證券,9800,元大-竹南,0039003800330056,Buy,00631L元大台灣50正2,"14057","20505","6448"
元大證券,9800,元大-竹南,0039003800330056,Buy,4991環宇-KY,"7420","7420","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,3357臺慶科,"5120","5120","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,2337旺宏,"4532","11246","6714"
元大證券,9800,元大-竹南,0039003800330056,Buy,6442光聖,"3014","7319","4305"
元大證券,9800,元大-竹南,0039003800330056,Buy,2303聯電,"2580","16805","14225"
元大證券,9800,元大-竹南,0039003800330056,Buy,2327國巨*,"2372","21268","18896"
元大證券,9800,元大-竹南,0039003800330056,Buy,6214精誠,"2140","2140","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,5483中美晶,"2032","5777","3745"
元大證券,9800,元大-竹南,0039003800330056,Buy,8046南電,"1960","2199","239"
元大證券,9800,元大-竹南,0039003800330056,Buy,2301光寶科,"1919","8374","6455"
元大證券,9800,元大-竹南,0039003800330056,Buy,2603長榮,"1803","2041","238"
元大證券,9800,元大-竹南,0039003800330056,Buy,6561是方,"1618","1618","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,2409友達,"1427","4488","3061"
元大證券,9800,元大-竹南,0039003800330056,Buy,8210勤誠,"1185","4700","3515"
元大證券,9800,元大-竹南,0039003800330056,Buy,2404漢唐,"1135","1135","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,6274台燿,"1028","1470","442"
元大證券,9800,元大-竹南,0039003800330056,Buy,8021尖點,"992","1386","394"
元大證券,9800,元大-竹南,0039003800330056,Buy,00865B國泰US短期公債,"990","990","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,1402遠東新,"990","990","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,2472立隆電,"975","975","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,6947台鎔科技,"958","958","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,3211順達,"938","1637","699"
元大證券,9800,元大-竹南,0039003800330056,Buy,00713元大台灣高息低波,"920","920","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,6227茂綸,"873","996","123"
元大證券,9800,元大-竹南,0039003800330056,Buy,2801彰銀,"842","854","12"
元大證券,9800,元大-竹南,0039003800330056,Buy,3577泓格,"833","833","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,00632R元大台灣50反1,"811","2146","1335"
元大證券,9800,元大-竹南,0039003800330056,Buy,7769鴻勁,"780","976","196"
元大證券,9800,元大-竹南,0039003800330056,Buy,3583辛耘,"739","739","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,3234光環,"695","695","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,8358金居,"662","3025","2363"
元大證券,9800,元大-竹南,0039003800330056,Buy,2484希華,"659","2530","1871"
元大證券,9800,元大-竹南,0039003800330056,Buy,3324雙鴻,"642","2944","2302"
元大證券,9800,元大-竹南,0039003800330056,Buy,00929復華台灣科技優息,"637","637","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,5425台半,"603","688","85"
元大證券,9800,元大-竹南,0039003800330056,Buy,2489瑞軒,"598","604","6"
元大證券,9800,元大-竹南,0039003800330056,Buy,2451創見,"588","1440","852"
元大證券,9800,元大-竹南,0039003800330056,Buy,2834臺企銀,"522","539","17"
元大證券,9800,元大-竹南,0039003800330056,Buy,6196帆宣,"521","526","5"
元大證券,9800,元大-竹南,0039003800330056,Buy,2890永豐金,"463","503","40"
元大證券,9800,元大-竹南,0039003800330056,Buy,2426鼎元,"455","1677","1222"
元大證券,9800,元大-竹南,0039003800330056,Buy,2492華新科,"453","4299","3846"
元大證券,9800,元大-竹南,0039003800330056,Buy,2493揚博,"451","658","207"
元大證券,9800,元大-竹南,0039003800330056,Buy,2027大成鋼,"443","443","0"
元大證券,9800,元大-竹南,0039003800330056,Buy,8112至上,"442","2410","1968"
元大證券,9800,元大-竹南,0039003800330056,Buy,2233宇隆,"426","426","0"
