BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-松江,8883,Buy,2344華邦電,"29483","76799","47316"
國泰證券,8880,國泰-松江,8883,Buy,2603長榮,"20340","20357","17"
國泰證券,8880,國泰-松江,8883,Buy,3491昇達科,"19872","22852","2980"
國泰證券,8880,國泰-松江,8883,Buy,6442光聖,"17443","30586","13143"
國泰證券,8880,國泰-松江,8883,Buy,6488環球晶,"16388","37479","21091"
國泰證券,8880,國泰-松江,8883,Buy,2377微星,"15583","17191","1608"
國泰證券,8880,國泰-松江,8883,Buy,2303聯電,"14588","46345","31757"
國泰證券,8880,國泰-松江,8883,Buy,3163波若威,"13419","21334","7915"
國泰證券,8880,國泰-松江,8883,Buy,3481群創,"11185","76548","65363"
國泰證券,8880,國泰-松江,8883,Buy,3006晶豪科,"10959","14828","3869"
國泰證券,8880,國泰-松江,8883,Buy,2337旺宏,"9816","36182","26366"
國泰證券,8880,國泰-松江,8883,Buy,6831邁科,"8844","8844","0"
國泰證券,8880,國泰-松江,8883,Buy,8358金居,"8028","21375","13347"
國泰證券,8880,國泰-松江,8883,Buy,00865B國泰US短期公債,"7735","9217","1482"
國泰證券,8880,國泰-松江,8883,Buy,6415矽力*-KY,"7421","8371","950"
國泰證券,8880,國泰-松江,8883,Buy,3665貿聯-KY,"7196","14768","7572"
國泰證券,8880,國泰-松江,8883,Buy,00881國泰台灣科技龍頭,"7171","9507","2336"
國泰證券,8880,國泰-松江,8883,Buy,6239力成,"6726","12121","5395"
國泰證券,8880,國泰-松江,8883,Buy,6830汎銓,"6555","8237","1682"
國泰證券,8880,國泰-松江,8883,Buy,3706神達,"6526","8363","1837"
國泰證券,8880,國泰-松江,8883,Buy,6291沛亨,"5802","5802","0"
國泰證券,8880,國泰-松江,8883,Buy,3211順達,"5263","7366","2103"
國泰證券,8880,國泰-松江,8883,Buy,6770力積電,"5144","18637","13493"
國泰證券,8880,國泰-松江,8883,Buy,1815富喬,"5089","12075","6986"
國泰證券,8880,國泰-松江,8883,Buy,2481強茂,"4748","6956","2208"
國泰證券,8880,國泰-松江,8883,Buy,2368金像電,"4154","8994","4840"
國泰證券,8880,國泰-松江,8883,Buy,5483中美晶,"3855","16544","12689"
國泰證券,8880,國泰-松江,8883,Buy,1101台泥,"3791","4061","270"
國泰證券,8880,國泰-松江,8883,Buy,3090日電貿,"3330","3984","654"
國泰證券,8880,國泰-松江,8883,Buy,2801彰銀,"3116","3116","0"
國泰證券,8880,國泰-松江,8883,Buy,2493揚博,"2899","3760","861"
國泰證券,8880,國泰-松江,8883,Buy,5269祥碩,"2894","2903","9"
國泰證券,8880,國泰-松江,8883,Buy,3131弘塑,"2820","5232","2412"
國泰證券,8880,國泰-松江,8883,Buy,8021尖點,"2803","6240","3437"
國泰證券,8880,國泰-松江,8883,Buy,3260威剛,"2795","6913","4118"
國泰證券,8880,國泰-松江,8883,Buy,6727亞泰金屬,"2700","2734","34"
國泰證券,8880,國泰-松江,8883,Buy,00963中信全球高股息,"2686","2688","2"
國泰證券,8880,國泰-松江,8883,Buy,2545皇翔,"2579","2579","0"
國泰證券,8880,國泰-松江,8883,Buy,3529力旺,"2548","13285","10737"
國泰證券,8880,國泰-松江,8883,Buy,3711日月光投控,"2469","27577","25108"
國泰證券,8880,國泰-松江,8883,Buy,6271同欣電,"2460","5621","3161"
國泰證券,8880,國泰-松江,8883,Buy,2360致茂,"2447","2739","292"
國泰證券,8880,國泰-松江,8883,Buy,2486一詮,"2358","5058","2700"
國泰證券,8880,國泰-松江,8883,Buy,5392能率,"2278","2928","650"
國泰證券,8880,國泰-松江,8883,Buy,6290良維,"2166","2632","466"
國泰證券,8880,國泰-松江,8883,Buy,2885元大金,"2131","2134","3"
國泰證券,8880,國泰-松江,8883,Buy,2886兆豐金,"2127","2144","17"
國泰證券,8880,國泰-松江,8883,Buy,2883凱基金,"2078","4080","2002"
國泰證券,8880,國泰-松江,8883,Buy,00988B玉山嚴選非投債,"1963","2003","40"
國泰證券,8880,國泰-松江,8883,Buy,3042晶技,"1910","6216","4306"
國泰證券,8880,國泰-松江,8883,Sell,2330台積電,"-108174","19668","127842"
國泰證券,8880,國泰-松江,8883,Sell,2454聯發科,"-89803","26821","116624"
國泰證券,8880,國泰-松江,8883,Sell,3037欣興,"-69896","56785","126681"
國泰證券,8880,國泰-松江,8883,Sell,2313華通,"-63676","3643","67319"
國泰證券,8880,國泰-松江,8883,Sell,4958臻鼎-KY,"-61248","11666","72914"
國泰證券,8880,國泰-松江,8883,Sell,2308台達電,"-60336","18096","78432"
國泰證券,8880,國泰-松江,8883,Sell,0050元大台灣50,"-43240","9511","52751"
國泰證券,8880,國泰-松江,8883,Sell,3443創意,"-37068","53","37121"
國泰證券,8880,國泰-松江,8883,Sell,3017奇鋐,"-23532","12219","35751"
國泰證券,8880,國泰-松江,8883,Sell,00675L富邦臺灣加權正2,"-20821","7","20828"
國泰證券,8880,國泰-松江,8883,Sell,6213聯茂,"-16036","9196","25232"
國泰證券,8880,國泰-松江,8883,Sell,009816凱基台灣TOP50,"-15518","2086","17604"
國泰證券,8880,國泰-松江,8883,Sell,6669緯穎,"-15335","1111","16446"
國泰證券,8880,國泰-松江,8883,Sell,2317鴻海,"-15237","3827","19064"
國泰證券,8880,國泰-松江,8883,Sell,3189景碩,"-14658","10414","25072"
國泰證券,8880,國泰-松江,8883,Sell,2408南亞科,"-14154","122250","136404"
國泰證券,8880,國泰-松江,8883,Sell,00663L國泰臺灣加權正2,"-12238","10136","22374"
國泰證券,8880,國泰-松江,8883,Sell,6451訊芯-KY,"-12055","0","12055"
國泰證券,8880,國泰-松江,8883,Sell,00631L元大台灣50正2,"-10991","8774","19765"
國泰證券,8880,國泰-松江,8883,Sell,2345智邦,"-9719","3886","13605"
國泰證券,8880,國泰-松江,8883,Sell,3008大立光,"-9350","39546","48896"
國泰證券,8880,國泰-松江,8883,Sell,2383台光電,"-8458","10803","19261"
國泰證券,8880,國泰-松江,8883,Sell,2049上銀,"-8020","3655","11675"
國泰證券,8880,國泰-松江,8883,Sell,2376技嘉,"-6106","2788","8894"
國泰證券,8880,國泰-松江,8883,Sell,4979華星光,"-5789","2047","7836"
國泰證券,8880,國泰-松江,8883,Sell,6274台燿,"-4445","0","4445"
國泰證券,8880,國泰-松江,8883,Sell,3036文曄,"-4041","3669","7710"
國泰證券,8880,國泰-松江,8883,Sell,6446藥華藥,"-3666","2568","6234"
國泰證券,8880,國泰-松江,8883,Sell,00685L群益臺灣加權正2,"-3564","6779","10343"
國泰證券,8880,國泰-松江,8883,Sell,1476儒鴻,"-3564","356","3920"
國泰證券,8880,國泰-松江,8883,Sell,00935野村臺灣新科技50,"-3548","604","4152"
國泰證券,8880,國泰-松江,8883,Sell,0056元大高股息,"-3515","729","4244"
國泰證券,8880,國泰-松江,8883,Sell,2492華新科,"-3471","22639","26110"
國泰證券,8880,國泰-松江,8883,Sell,4749新應材,"-3324","1783","5107"
國泰證券,8880,國泰-松江,8883,Sell,5371中光電,"-3010","2124","5134"
國泰證券,8880,國泰-松江,8883,Sell,2395研華,"-2999","1276","4275"
國泰證券,8880,國泰-松江,8883,Sell,6691洋基工程,"-2883","2","2885"
國泰證券,8880,國泰-松江,8883,Sell,0052富邦科技,"-2812","804","3616"
國泰證券,8880,國泰-松江,8883,Sell,3231緯創,"-2806","47221","50027"
國泰證券,8880,國泰-松江,8883,Sell,00919群益台灣精選高息,"-2643","2223","4866"
國泰證券,8880,國泰-松江,8883,Sell,7777能率亞洲,"-2397","90","2487"
國泰證券,8880,國泰-松江,8883,Sell,6285啟碁,"-2293","19389","21682"
國泰證券,8880,國泰-松江,8883,Sell,5351鈺創,"-2282","2777","5059"
國泰證券,8880,國泰-松江,8883,Sell,2301光寶科,"-2241","35852","38093"
國泰證券,8880,國泰-松江,8883,Sell,2634漢翔,"-2163","4629","6792"
國泰證券,8880,國泰-松江,8883,Sell,3374精材,"-2154","9452","11606"
國泰證券,8880,國泰-松江,8883,Sell,4772台特化,"-2151","713","2864"
國泰證券,8880,國泰-松江,8883,Sell,3105穩懋,"-2149","0","2149"
國泰證券,8880,國泰-松江,8883,Sell,2409友達,"-1886","2399","4285"
國泰證券,8880,國泰-松江,8883,Sell,00725B國泰投資級公司債,"-1880","0","1880"
