BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-高雄,8881,Buy,2327國巨*,"36209","126184","89975"
國泰證券,8880,國泰-高雄,8881,Buy,2408南亞科,"23697","181229","157532"
國泰證券,8880,國泰-高雄,8881,Buy,3711日月光投控,"22874","64071","41197"
國泰證券,8880,國泰-高雄,8881,Buy,3481群創,"21086","75814","54728"
國泰證券,8880,國泰-高雄,8881,Buy,3443創意,"16547","27216","10669"
國泰證券,8880,國泰-高雄,8881,Buy,2337旺宏,"14479","62182","47703"
國泰證券,8880,國泰-高雄,8881,Buy,2492華新科,"13137","23450","10313"
國泰證券,8880,國泰-高雄,8881,Buy,6488環球晶,"12173","63892","51719"
國泰證券,8880,國泰-高雄,8881,Buy,2308台達電,"10671","35791","25120"
國泰證券,8880,國泰-高雄,8881,Buy,2368金像電,"10584","21867","11283"
國泰證券,8880,國泰-高雄,8881,Buy,5483中美晶,"10380","31366","20986"
國泰證券,8880,國泰-高雄,8881,Buy,1303南亞,"10283","63436","53153"
國泰證券,8880,國泰-高雄,8881,Buy,6442光聖,"9022","13573","4551"
國泰證券,8880,國泰-高雄,8881,Buy,2481強茂,"7379","13055","5676"
國泰證券,8880,國泰-高雄,8881,Buy,2382廣達,"7235","10833","3598"
國泰證券,8880,國泰-高雄,8881,Buy,3231緯創,"7159","96301","89142"
國泰證券,8880,國泰-高雄,8881,Buy,8358金居,"7109","19271","12162"
國泰證券,8880,國泰-高雄,8881,Buy,2303聯電,"6642","55157","48515"
國泰證券,8880,國泰-高雄,8881,Buy,2367燿華,"6322","6700","378"
國泰證券,8880,國泰-高雄,8881,Buy,00919群益台灣精選高息,"5442","11878","6436"
國泰證券,8880,國泰-高雄,8881,Buy,2449京元電子,"4957","13444","8487"
國泰證券,8880,國泰-高雄,8881,Buy,00953B群益優選非投等債,"4901","4960","59"
國泰證券,8880,國泰-高雄,8881,Buy,00719B元大美債1-3,"4773","4820","47"
國泰證券,8880,國泰-高雄,8881,Buy,00881國泰台灣科技龍頭,"4471","8787","4316"
國泰證券,8880,國泰-高雄,8881,Buy,6187萬潤,"4269","9761","5492"
國泰證券,8880,國泰-高雄,8881,Buy,2356英業達,"3623","11202","7579"
國泰證券,8880,國泰-高雄,8881,Buy,00984D主動聯博全球非投,"3395","3405","10"
國泰證券,8880,國泰-高雄,8881,Buy,1326台化,"3175","8944","5769"
國泰證券,8880,國泰-高雄,8881,Buy,4989榮科,"3155","7505","4350"
國泰證券,8880,國泰-高雄,8881,Buy,6243迅杰,"3116","3217","101"
國泰證券,8880,國泰-高雄,8881,Buy,3260威剛,"3085","18320","15235"
國泰證券,8880,國泰-高雄,8881,Buy,00713元大台灣高息低波,"3001","4708","1707"
國泰證券,8880,國泰-高雄,8881,Buy,3583辛耘,"2973","2973","0"
國泰證券,8880,國泰-高雄,8881,Buy,00738U期元大道瓊白銀,"2914","4148","1234"
國泰證券,8880,國泰-高雄,8881,Buy,3661世芯-KY,"2904","9570","6666"
國泰證券,8880,國泰-高雄,8881,Buy,5347世界,"2874","8933","6059"
國泰證券,8880,國泰-高雄,8881,Buy,6139亞翔,"2767","5896","3129"
國泰證券,8880,國泰-高雄,8881,Buy,2881富邦金,"2673","4147","1474"
國泰證券,8880,國泰-高雄,8881,Buy,00400A主動國泰動能高息,"2667","5439","2772"
國泰證券,8880,國泰-高雄,8881,Buy,1709和益,"2635","2769","134"
國泰證券,8880,國泰-高雄,8881,Buy,3701大眾控,"2583","4346","1763"
國泰證券,8880,國泰-高雄,8881,Buy,4966譜瑞-KY,"2432","2460","28"
國泰證券,8880,國泰-高雄,8881,Buy,6285啟碁,"2422","6321","3899"
國泰證券,8880,國泰-高雄,8881,Buy,5434崇越,"2317","2627","310"
國泰證券,8880,國泰-高雄,8881,Buy,2527宏璟,"2107","2193","86"
國泰證券,8880,國泰-高雄,8881,Buy,2801彰銀,"1994","2231","237"
國泰證券,8880,國泰-高雄,8881,Buy,7828創新服務,"1983","1985","2"
國泰證券,8880,國泰-高雄,8881,Buy,2348海悅,"1981","2055","74"
國泰證券,8880,國泰-高雄,8881,Buy,9105泰金寶-DR,"1959","2317","358"
國泰證券,8880,國泰-高雄,8881,Buy,00715L期街口布蘭特正2,"1880","1880","0"
國泰證券,8880,國泰-高雄,8881,Sell,2330台積電,"-233332","42113","275445"
國泰證券,8880,國泰-高雄,8881,Sell,0050元大台灣50,"-84740","17771","102511"
國泰證券,8880,國泰-高雄,8881,Sell,3037欣興,"-73062","77032","150094"
國泰證券,8880,國泰-高雄,8881,Sell,00631L元大台灣50正2,"-43998","24015","68013"
國泰證券,8880,國泰-高雄,8881,Sell,6669緯穎,"-43742","7211","50953"
國泰證券,8880,國泰-高雄,8881,Sell,2317鴻海,"-37728","13171","50899"
國泰證券,8880,國泰-高雄,8881,Sell,3189景碩,"-34845","26132","60977"
國泰證券,8880,國泰-高雄,8881,Sell,3017奇鋐,"-21103","27266","48369"
國泰證券,8880,國泰-高雄,8881,Sell,2454聯發科,"-20945","80949","101894"
國泰證券,8880,國泰-高雄,8881,Sell,00663L國泰臺灣加權正2,"-16331","804","17135"
國泰證券,8880,國泰-高雄,8881,Sell,2344華邦電,"-16230","79515","95745"
國泰證券,8880,國泰-高雄,8881,Sell,8112至上,"-14395","3580","17975"
國泰證券,8880,國泰-高雄,8881,Sell,00403A主動統一升級50,"-12716","7785","20501"
國泰證券,8880,國泰-高雄,8881,Sell,2301光寶科,"-12488","43247","55735"
國泰證券,8880,國泰-高雄,8881,Sell,0052富邦科技,"-10939","594","11533"
國泰證券,8880,國泰-高雄,8881,Sell,2313華通,"-10817","4462","15279"
國泰證券,8880,國泰-高雄,8881,Sell,00685L群益臺灣加權正2,"-9765","14574","24339"
